entity,label,displayOrder,plabel
http://purl.obolibrary.org/obo/PCO_0000024,Household,1,
http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,3,
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,2,
http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,,Administrative information
http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Demographics
http://purl.obolibrary.org/obo/EUPATH_0015670,Homemade fluid,1,Diarrhea treament
http://purl.obolibrary.org/obo/EUPATH_0015671,Intravenous fluids,3,Diarrhea treament
http://purl.obolibrary.org/obo/EUPATH_0015672,None prescribed or taken,4,Diarrhea treament
http://purl.obolibrary.org/obo/EUPATH_0015673,ORALITE or ORS,2,Diarrhea treament
http://purl.obolibrary.org/obo/EUPATH_0010241,Amount offered to drink during diarrheal episode,5,Diarrheal episodes
http://purl.obolibrary.org/obo/EUPATH_0010177,Amount offered to eat during diarrheal episode,6,Diarrheal episodes
http://purl.obolibrary.org/obo/EUPATH_0015507,Diarrhea in past 2 weeks,1,Diarrheal episodes
http://purl.obolibrary.org/obo/EUPATH_0010238,Diarrheal episode duration (days),4,Diarrheal episodes
http://purl.obolibrary.org/obo/EUPATH_0010240,Max loose stools per day,3,Diarrheal episodes
http://purl.obolibrary.org/obo/EUPATH_0015508,Moderate to severe diarrhea in past 2 weeks,2,Diarrheal episodes
http://purl.obolibrary.org/obo/EUPATH_0010353,Outcome of diarrheal illness,7,Diarrheal episodes
http://purl.obolibrary.org/obo/EUPATH_0010420,Consent for enrollment given,,Eligibility criteria
http://purl.obolibrary.org/obo/OBI_0001627,Country,,Geographic location
http://purl.obolibrary.org/obo/EUPATH_0010159,1st choice facility SHC,3,Hospital Center
http://purl.obolibrary.org/obo/EUPATH_0010157,1st choice facility code,2,Hospital Center
http://purl.obolibrary.org/obo/EUPATH_0010155,1st choice hospital or health center,1,Hospital Center
http://purl.obolibrary.org/obo/EUPATH_0010165,2nd choice facility SHC,6,Hospital Center
http://purl.obolibrary.org/obo/EUPATH_0010163,2nd choice facility code,5,Hospital Center
http://purl.obolibrary.org/obo/EUPATH_0010161,2nd choice hospital or health center,4,Hospital Center
http://purl.obolibrary.org/obo/EUPATH_0010171,3rd choice facility SHC,9,Hospital Center
http://purl.obolibrary.org/obo/EUPATH_0010169,3rd choice facility code,8,Hospital Center
http://purl.obolibrary.org/obo/EUPATH_0010167,3rd choice hospital or health center,7,Hospital Center
http://purl.obolibrary.org/obo/EUPATH_0010345,Admitted to hospital,1,Hospitalization
http://purl.obolibrary.org/obo/EUPATH_0015550,Hospital admitted 1st choice,2,Hospitalization
http://purl.obolibrary.org/obo/EUPATH_0015703,Hospital admitted 1st choice SHC,3,Hospitalization
http://purl.obolibrary.org/obo/EUPATH_0015551,Hospital admitted 2nd choice,4,Hospitalization
http://purl.obolibrary.org/obo/EUPATH_0015704,Hospital admitted 2nd choice SHC,5,Hospitalization
http://purl.obolibrary.org/obo/EUPATH_0015552,Hospital admitted 3rd choice,6,Hospitalization
http://purl.obolibrary.org/obo/EUPATH_0015705,Hospital admitted 3rd choice SHC,7,Hospitalization
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,Household
http://purl.obolibrary.org/obo/EUPATH_0010013,Previous diarrheal care,,Immediate clinical history
http://purl.obolibrary.org/obo/EUPATH_0000720,Caretaker relationship to participant,,Individuals related to participant
http://purl.obolibrary.org/obo/EUPATH_0015400,Age (months),1,Observation
http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,2,Observation
http://purl.obolibrary.org/obo/EUPATH_0010016,Diarrheal episodes,3,Observation
http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,7,Observation
http://purl.obolibrary.org/obo/EUPATH_0021098,Immediate clinical history,5,Observation
http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,8,Observation
http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,4,Observation
http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,6,Observation
http://purl.obolibrary.org/obo/EUPATH_0015683,Interview date,2,Observation details
http://purl.obolibrary.org/obo/EUPATH_0015469,Interview status,1,Observation details
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,3,Participant
http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,1,Participant
http://purl.obolibrary.org/obo/EUPATH_0010037,Individuals related to participant,2,Participant
http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,4,Participant
http://purl.obolibrary.org/obo/EUPATH_0015547,Diarrheal day sought care at health center,2,Previous diarrheal care
http://purl.obolibrary.org/obo/EUPATH_0010014,Hospital Center,5,Previous diarrheal care
http://purl.obolibrary.org/obo/EUPATH_0010380,Previously sought care,4,Previous diarrheal care
http://purl.obolibrary.org/obo/EUPATH_0015520,Reason for not seeking care,3,Previous diarrheal care
http://purl.obolibrary.org/obo/EUPATH_0015092,Seek outside care,1,Previous diarrheal care
http://purl.obolibrary.org/obo/EUPATH_0015098,Bought a remedy or drug,4,Previously sought care
http://purl.obolibrary.org/obo/EUPATH_0015094,Friend or relative,2,Previously sought care
http://purl.obolibrary.org/obo/EUPATH_0015097,Licensed practitioner,7,Previously sought care
http://purl.obolibrary.org/obo/EUPATH_0015701,Other hospital or health center,8,Previously sought care
http://purl.obolibrary.org/obo/EUPATH_0015093,Pharmacy,5,Previously sought care
http://purl.obolibrary.org/obo/EUPATH_0015095,Traditional healer,3,Previously sought care
http://purl.obolibrary.org/obo/EUPATH_0015096,Unlicensed practitioner,6,Previously sought care
http://purl.obolibrary.org/obo/EUPATH_0015521,Child did not seem to need care,1,Reason for not seeking care
http://purl.obolibrary.org/obo/EUPATH_0015522,Clinic too far from home,2,Reason for not seeking care
http://purl.obolibrary.org/obo/EUPATH_0015523,Cost for travel too high,7,Reason for not seeking care
http://purl.obolibrary.org/obo/EUPATH_0015524,Cost for treatment too high,8,Reason for not seeking care
http://purl.obolibrary.org/obo/EUPATH_0015525,Could not take time off work,4,Reason for not seeking care
http://purl.obolibrary.org/obo/EUPATH_0015527,Flood or bad weather,5,Reason for not seeking care
http://purl.obolibrary.org/obo/EUPATH_0015528,Not happy with clinical services in area,9,Reason for not seeking care
http://purl.obolibrary.org/obo/EUPATH_0015529,Other children at home could not be left alone,10,Reason for not seeking care
http://purl.obolibrary.org/obo/EUPATH_0015702,Political unrest,6,Reason for not seeking care
http://purl.obolibrary.org/obo/EUPATH_0015530,Unable to find transport,3,Reason for not seeking care
http://purl.obolibrary.org/obo/EUPATH_0015674,Days vomiting during diarrheal illness,1,Signs and symptoms
http://purl.obolibrary.org/obo/EUPATH_0015684,Symptoms since illness began or during diarrhea,3,Signs and symptoms
http://purl.obolibrary.org/obo/EUPATH_0015675,Worst day vomiting frequency during diarrheal illness,2,Signs and symptoms
http://purl.obolibrary.org/obo/EUPATH_0015685,Blood in stools,2,Symptoms since illness began or during diarrhea
http://purl.obolibrary.org/obo/EUPATH_0015686,Decreased activity or lethargy,7,Symptoms since illness began or during diarrhea
http://purl.obolibrary.org/obo/EUPATH_0015516,Irritable/less playful,3,Symptoms since illness began or during diarrhea
http://purl.obolibrary.org/obo/EUPATH_0015687,Measured fever of at least 38C or parental perception,1,Symptoms since illness began or during diarrhea
http://purl.obolibrary.org/obo/EUPATH_0015513,Rice watery stool,7,Symptoms since illness began or during diarrhea
http://purl.obolibrary.org/obo/EUPATH_0015514,"Sunken eyes, more than normal",9,Symptoms since illness began or during diarrhea
http://purl.obolibrary.org/obo/EUPATH_0015688,Unable to drink or drank poorly,6,Symptoms since illness began or during diarrhea
http://purl.obolibrary.org/obo/EUPATH_0015689,Very thirsty,4,Symptoms since illness began or during diarrhea
http://purl.obolibrary.org/obo/EUPATH_0015690,Vomiting 3 or more times per day,10,Symptoms since illness began or during diarrhea
http://purl.obolibrary.org/obo/EUPATH_0015515,Wrinkled skin,5,Symptoms since illness began or during diarrhea
http://purl.obolibrary.org/obo/EUPATH_0015669,Diarrhea treament,,Treatment
