IRI,uniqueVar,variable,dataFile,label,definition,category,parentIRI,parentLabel,termType,codebookDescription,codebookValues,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceStringType,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/EUPATH_0021085,Household data collection date,date ,,Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,date of start of interview,,"variable,derived",,,,,yes,,llineup25_survey,,,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044122,household level data 25m survey_final::survey,survey,household level data 25m survey_final,Household study timepoint,"Cross-sectional surveys were conducted at baseline (month 0, prior to distribution of long-lasting insecticide-treated bednets (LLINs)) and at 6 months, 12 months, and 18 months after LLIN distribution. If you would like to view only data from a particular timepoint for all variables, please make sure to also select that timepoint for 'Household study timepoint' (under 'Household').",Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,variable,Survey round,"1: Baseline, 2: 6-month, 3: 12-month, 4: 18-24 months",,,yes,,llineup25_survey,,,yes,,,,,,
http://purl.obolibrary.org/obo/OBI_0001508,household level data 25m survey_final::survey,survey,household level data 25m survey_final,Study timepoint,"Cross-sectional surveys were conducted at baseline (month 0, prior to distribution of long-lasting insecticide-treated bednets (LLINs)) and at 6 months, 12 months, and 18 months after LLIN distribution. If you would like to view only data from a particular timepoint for all variables, please make sure to also select that timepoint for 'Household study timepoint' (under 'Household').",Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,"variable,derived",Survey round,"1: Baseline, 2: 6-month, 3: 12-month, 4: 18-24 months",,,yes,,llineup25_survey,,,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0035024,household level data 25m survey_final::cluster,cluster,household level data 25m survey_final,Cluster ID,"Clusters--defined as one health sub-district--were randomly assigned to one of four study arms. 104 clusters cover 48 districts in Eastern and Western Uganda, and were the unit of randomization for intervention assignment.",Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,variable,Cluster Code / Health sub-district number,Cluster codes 001-104,,,,,llineup25_survey,,,,variableTree,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044123,household level data 25m survey_final::eanum,eanum,household level data 25m survey_final,Enumeration area ID,"The primary sampling units were enumeration areas identified in the 2014 Ugandan national census. Ten enumeration areas were randomly selected in each of the health sub-districts. Within each sampled enumeration area, 5 households were randomly enrolled per study timepoint, for a total of 50 households sampled per cluster per study timepoint.",Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,variable,Enumeration number,1 to 10,,,,,llineup25_survey,,,,,,,,,
,household level data 25m survey_final::enrolled,enrolled,household level data 25m survey_final,Household enrolled,Household enrolled in the survey?,Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,Household administrative information,,"1-Yes, 0-No",,,,,llineup25_survey,,,,,,,,,
,household level data 25m survey_final::exclreason,exclreason,household level data 25m survey_final,Reason of not being enrolled,"If not enrolled, reason for exclusion?",Household,http://purl.obolibrary.org/obo/EUPATH_0020097,Household administrative information,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_00003064,household level data 25m survey_final::swater,swater,household level data 25m survey_final,Drinking water source,Main source of drinking water for members of the household.,Household,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,variable,Specify other source of water | What is the main source of drinking water for members of your household?,"10 - borehole, 11 - pipe into dwelling, 12 - piped into yard/compound, 13 - public tap, 21 - open well in yard/compound, 22 - open public well, 31 - protected well in yard/compound, 32 - protected public well, 41 - protected spring, 42 - unprotected spring, 43 - river/stream, 44 - pond/lake, 45 - dam, 51 - rainwater, 61 - water truck, 71 - bottled water, 96 - other, -8: Refused to answer | String",,,,,llineup25_survey,,,,,,,,,
,household level data 25m survey_final::otherscs,otherscs,household level data 25m survey_final,Other drinking water source,Specify other source of water,Household,http://purl.obolibrary.org/obo/EUPATH_0000731,Household water,variable,,,,,,,llineup25_survey,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0025150,household level data 25m survey_final::tfaclty,tfaclty,household level data 25m survey_final,Toilet type,What kind of toilet facility do members of your household usually use?,Household,,,variable,,,,,,,llineup25_survey,,,,,,,,,
