colOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
2,age,hcq_azithro_non_randomized_reshaped,http://purl.obolibrary.org/obo/EUPATH_0000120,Age at enrollment,,Participant,Participant study details,http://purl.obolibrary.org/obo/EUPATH_0000307,,,variable,
7,azithromycin.treatment,hcq_azithro_non_randomized_reshaped,http://purl.obolibrary.org/obo/EUPATH_0044001,Azithromycin,,Participant,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,,variable,
4,clinical.status,hcq_azithro_non_randomized_reshaped,http://purl.obolibrary.org/obo/EUPATH_0044002,COVID-19 presentation,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,,,variable,
11,hydroxychloroquine.serum.concentration...g.ml,hcq_azithro_non_randomized_reshaped,http://purl.obolibrary.org/obo/EUPATH_0044003,Hydroxychloroquine concentration (g/mL),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,,,variable,see lab test template non-microbiology
6,hydroxychloroquine.treatment,hcq_azithro_non_randomized_reshaped,http://purl.obolibrary.org/obo/DRON_00010111,Hydroxychloroquine,,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,,,variable,
8,location,hcq_azithro_non_randomized_reshaped,http://purl.obolibrary.org/obo/EUPATH_0025072,Health center,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,,,variable,
9,observationday,hcq_azithro_non_randomized_reshaped,http://purl.obolibrary.org/obo/BFO_0000015,Observation type,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,variable,
1,patient,hcq_azithro_non_randomized_reshaped,http://purl.obolibrary.org/obo/EUPATH_0000095,Participant ID,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,variable,
10,pcr,hcq_azithro_non_randomized_reshaped,http://purl.obolibrary.org/obo/EUPATH_0044004,"Severe acute respiratory syndrome coronavirus 2 Ct value, by qRT-PCR result",,Sample,Raw virus data for nasopharyngeal/oropharyngeal swabs,http://purl.obolibrary.org/obo/EUPATH_0032129,,,variable,
12,pcr_dich,hcq_azithro_non_randomized_reshaped,http://purl.obolibrary.org/obo/EUPATH_0044005,"Severe acute respiratory syndrome coronavirus 2, by qRT-PCR",,Sample,Betacoronavirus in nasopharyngeal/oropharyngeal swabs,http://purl.obolibrary.org/obo/EUPATH_0033373,,,variable,
3,sex,hcq_azithro_non_randomized_reshaped,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,,,variable,
5,time.between.onset.of.symptoms.and.inclusion,hcq_azithro_non_randomized_reshaped,http://purl.obolibrary.org/obo/EUPATH_0044006,Time from symptoms to enrollment,,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,,,variable,
,,,http://purl.obolibrary.org/obo/EUPATH_0000307,Participant study details,,Participant,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,,,,
,,,http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,,,,
