Header	Data Dictionary term	JZ comment	Unmapped terms
addresschange_yn	addresschange_yn		Abdominal pain
age_en	age_en		Aches or pains
age_fu	age_fu		Acute pulmonary edema
bednet_chk___1	bednet_chk		Assets
bednet_chk___2	bednet_chk		Asymptomatic malaria
bednet_chk___3	bednet_chk		case_household
bednet_chk___4	bednet_chk		Chest pain
bednet_chk___5	bednet_chk		Chills
bednet_chk___6	bednet_chk		Coma
bednet_chk___7	bednet_chk		Cough
bp	bp		Diarrhea
cen_age		"not in data dictionary, Age is used in Census study in data dictionary"	Dizziness
cen_animals___1	animals_chk		Ear pain
cen_animals___2	animals_chk		Eye pain
cen_animals___3	animals_chk		Fatigue
cen_animals_nonpets_count	animals_nonpets_count		fid
cen_animals_pets_count	animals_pets_count		Headache
cen_bednet___1	bednet		icid
cen_bednet___2	bednet		igh_regnum
cen_bednet___3	bednet		Illness other than malaria
cen_bednet___4	bednet		Jaundice
cen_bednet___5	bednet		Lack of appetite
cen_bednet_count_2	bednet_count_2		Lower back pain
cen_bednet_count_3	bednet_count_3		No illness
cen_bednet_count_4	bednet_count_4		Paleness
cen_bednet_count_5	bednet_count_5		Rash
cen_building_material___1	building_material_chk		rdt_falc_chk
cen_building_material___2	building_material_chk		rdt_op_chk
cen_building_material___3	building_material_chk		rdt_opt_chk
cen_building_material___4	building_material_chk		Renal failure
cen_clinic	clinic		Respiratory distress
cen_completed_by			Severe anemia (<5g/dl)
cen_date			Severe malaria
cen_deo_notes			Splenomegaly
cen_district	district		Spontaneous bleeding
cen_division	division		Sweating
cen_education	education		Uncomplicated malaria
cen_electricity_yesno			Vomiting
cen_fid	cen_fid		
cen_form_version			
cen_gps_lat			
cen_gps_long			
cen_head	head_yn		
cen_household_size	household_size		
cen_indoor_residents	indoor_residents_rad		
cen_larvicide_in_use	larvicide_in_use_rad		
cen_malaria	malaria_yn		
cen_occupation	occupation		
cen_onsite	cen_onsite		
cen_phc_chc	phc_chc		
cen_pincode	pincode		
cen_poverty_line	poverty_line		
cen_repellent___1	repellent_chk		
cen_repellent___2	repellent_chk		
cen_repellent___3	repellent_chk		
cen_repellent___4	repellent_chk		
cen_repellent___5	repellent_chk		
