colOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt
12,126plate300::bodyache,126plate300,SYMP_0000099,Aches or pains,,Observation,Symptoms,EUPATH_0021002,2.2a. Body Aches,"""[0=blank] [1=Yes] [2=No] """,value,
11,226plate001::age,226plate001,EUPATH_0000120,Age at enrollment,,Participant,Participant study details,EUPATH_0000307,1a. Age (#),,variable,
11,126plate001::age,126plate001,EUPATH_0000120,Age at enrollment,,Participant,Participant study details,EUPATH_0000307,1a. Age (#),,variable,
10,226plate001::dob,226plate001,EFO_0004950,Birth date,,Participant,Demographics,EUPATH_0010981,1.1 Date of birth,,variable,
10,126plate001::dob,126plate001,EFO_0004950,Birth date,,Participant,Demographics,EUPATH_0010981,1. Date of Birth,,variable,
24,126plate304::bloodvol,126plate304,OBIB_0000236,Blood sample volume,,Sample,Blood sample,OBI_0000655,1e1. Approx volume blood,,variable,
24,126plate403::bloodvol,126plate403,OBIB_0000236,Blood sample volume,,Sample,Blood sample,OBI_0000655,1e1. Approx volume blood,,variable,
11,126plate011::specblsmear,126plate011,EUPATH_0021081,Blood smear sample,,Sample,Blood sample,OBI_0000655,1a2./7.1b Spec for bl smear  /. Specimen for smear,"""[0=blank] [1=Yes] [2=No] """,variable,
12,226plate212::smearspec,226plate212,EUPATH_0021081,Blood smear sample,,Sample,Blood sample,OBI_0000655,1a2./7.1b Spec for bl smear  /. Specimen for smear,"""[0=blank] [1=yes] [2=no] """,variable,
12,226plate222::smearspec,226plate222,EUPATH_0021081,Blood smear sample,,Sample,Blood sample,OBI_0000655,1a2./7.1b Spec for bl smear  /. Specimen for smear,"""[0=blank] [1=yes] [2=no] """,variable,
10,126plate054::specblsmear,126plate054,EUPATH_0021081,Blood smear sample,,Sample,Blood sample,OBI_0000655,1a2./7.1b Spec for bl smear  /. Specimen for smear,"""[0=blank] [1=Yes] [2=No] """,variable,
12,226plate202::smearspec,226plate202,EUPATH_0021081,Blood smear sample,,Sample,Blood sample,OBI_0000655,1a2./7.1b Spec for bl smear  /. Specimen for smear,"""[0=blank] [1=yes] [2=no] """,variable,
10,126plate093::specblsmear,126plate093,EUPATH_0021081,Blood smear sample,,Sample,Blood sample,OBI_0000655,1a2./7.1b Spec for bl smear  /. Specimen for smear,"""[0=blank] [1=Yes] [2=No] """,variable,
10,126plate305::specblsmear,126plate305,EUPATH_0021081,Blood smear sample,,Sample,Blood sample,OBI_0000655,1a2./7.1b Spec for bl smear  /. Specimen for smear,"""[0=blank] [1=Yes] [2=No] """,variable,
10,126plate315::specblsmear,126plate315,EUPATH_0021081,Blood smear sample,,Sample,Blood sample,OBI_0000655,1a2./7.1b Spec for bl smear  /. Specimen for smear,"""[0=blank] [1=Yes] [2=No] """,variable,
12,226plate055::smearspec,226plate055,EUPATH_0021081,Blood smear sample,,Sample,Blood sample,OBI_0000655,1a2./7.1b Spec for bl smear  /. Specimen for smear,"""[0=blank] [1=yes] [2=no] """,variable,
11,226plate153::smearspec,226plate153,EUPATH_0021081,Blood smear sample,,Sample,Blood sample,OBI_0000655,1a2./7.1b Spec for bl smear  /. Specimen for smear,"""[0=blank] [1=yes] [2=no] """,variable,
10,126plate034::specblsmear,126plate034,EUPATH_0021081,Blood smear sample,,Sample,Blood sample,OBI_0000655,1a2./7.1b Spec for bl smear  /. Specimen for smear,"""[0=blank] [1=Yes] [2=No] """,variable,
10,226plate006::smearspec,226plate006,EUPATH_0021081,Blood smear sample,,Sample,Blood sample,OBI_0000655,1a2./7.1b Spec for bl smear  /. Specimen for smear,"""[0=blank] [1=yes] [2=no] """,variable,
10,226plate014::smearspec,226plate014,EUPATH_0021081,Blood smear sample,,Sample,Blood sample,OBI_0000655,1a2./7.1b Spec for bl smear  /. Specimen for smear,"""[0=blank] [1=yes] [2=no] """,variable,
10,126plate024::specblsmear,126plate024,EUPATH_0021081,Blood smear sample,,Sample,Blood sample,OBI_0000655,1a2./7.1b Spec for bl smear  /. Specimen for smear,"""[0=blank] [1=Yes] [2=No] """,variable,
10,226plate084::smearspec,226plate084,EUPATH_0021081,Blood smear sample,,Sample,Blood sample,OBI_0000655,1a2./7.1b Spec for bl smear  /. Specimen for smear,"""[0=blank] [1=yes] [2=no] """,variable,
