IRI,label,parentLabel,parentIRI,datafile value
http://purl.obolibrary.org/obo/CHEBI_15365,Acetylsalicylic acid,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Acetylsalicylic acid
http://purl.obolibrary.org/obo/CHEBI_16664,Albendazole,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Albendazole
http://purl.obolibrary.org/obo/CHEBI_2676,Amoxicillin,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Amoxicillin
http://purl.obolibrary.org/obo/CHEBI_28971,Ampicillin,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Ampicillin
http://purl.obolibrary.org/obo/CHEBI_195280,Artemether,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Artemether
http://purl.obolibrary.org/obo/EUPATH_1000009,Artesunate amodiaquine,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Artesunate amodiaquine
http://purl.obolibrary.org/obo/CHEBI_75782,Vitamin B complex,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Vitamin b complex
http://purl.obolibrary.org/obo/CHEBI_32123,Hyoscine butylbromide,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Hyoscine butylbromide
http://purl.obolibrary.org/obo/EUPATH_1000010,Cough syrup,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Cough syrup
http://purl.obolibrary.org/obo/EUPATH_1000011,Coartem,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Coartem
http://purl.obolibrary.org/obo/CHEBI_29007,Ceftriaxone,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Ceftriaxone
http://purl.obolibrary.org/obo/CHEBI_100241,Ciprofloxacin,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Ciprofloxacin
http://purl.obolibrary.org/obo/CHEBI_3764,Clotrimazole,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Clotrimazole
http://purl.obolibrary.org/obo/CHEBI_41879,Dexamethasone,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Dexamethasone
http://purl.obolibrary.org/obo/EUPATH_1000012,Erythromicin,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Erythromicin
http://purl.obolibrary.org/obo/EUPATH_1000013,Folic acid iron,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Folic acid iron
http://purl.obolibrary.org/obo/CHEBI_46081,Fluconazole,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Fluconazole
http://purl.obolibrary.org/obo/EUPATH_1000014,Gentamcin eye drops,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Gentamcin eye drops
http://purl.obolibrary.org/obo/CHEBI_27779,Griseofulvin,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Griseofulvin
http://purl.obolibrary.org/obo/CHEBI_33130,Aluminum hydroxide,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Aluminum hydroxide
http://purl.obolibrary.org/obo/CHEBI_5855,Ibuprofen,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Ibuprofen
http://purl.obolibrary.org/obo/CHEBI_6909,Metronidazole,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Metronidazole
http://purl.obolibrary.org/obo/EUPATH_1000015,Multivitamin,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Multivitamin
http://purl.obolibrary.org/obo/CHEBI_62088,Metamizole,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Metamizole
http://purl.obolibrary.org/obo/CHEBI_7660,Nystatin,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Nystatin
http://purl.obolibrary.org/obo/CHEBI_7772,Omeprazole,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Omeprazole
http://purl.obolibrary.org/obo/EUPATH_1000016,Otitis,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Otitis
http://purl.obolibrary.org/obo/CHEBI_46195,Paracetamol,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Paracetamol
http://purl.obolibrary.org/obo/CHEBI_26216,Potassium permanganate,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Potassium permanganate
http://purl.obolibrary.org/obo/EUPATH_1000017,Exophene,Concomitant medication name,http://purl.obolibrary.org/obo/EUPATH_0041164,Exophene
