IRI,label,variable,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/EUPATH_0061010,Time since intervention started,studyvisit_num,nectar2_030523,Days after treatment start,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Days after treatment start,%10.0g,variable,,,,yes,yes,,NECTAR2,days,,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0035095,Month,enrol_month_year,nectar2_030523,Month/year of enrolment,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,Month/year of enrolment,%9s,variable,,,,yes,yes,,NECTAR2,,,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0015457,Study arm,trt_arm,nectar2_030523,"Treatment arm (1=DP, 2=DP-TQ 0.41mg/kg, 3=DP-TQ 0.83mg/mg, 4=DP-TQ 1.66mg/kg)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,"Treatment arm (1=DP, 2=DP-TQ 0.41mg/kg, 3=DP-TQ 0.83mg/mg, 4=DP-TQ 1.66mg/kg)",%17.0g,variable,,,,,,,NECTAR2,,,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,age_cat,nectar2_030523,Age categories (5 years),Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Age categories (5 years),%9.0g,variable,,,,,,,NECTAR2,,,,,,,,,
http://purl.obolibrary.org/obo/PATO_0000047,Sex,sex_bin,nectar2_030523,"Sex binary (Female = 0, Male =1)",Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,"Sex binary (Female = 0, Male =1)",%9.0g,variable,,,,,,,NECTAR2,,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000414,Weight,weight,nectar2_030523,Weight in kg,Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,Weight in kg,%10.0g,variable,,,,,,,NECTAR2,kg,,,,,,,,
http://purl.obolibrary.org/obo/CMO_0000026,Hemoglobin,hbrsult,nectar2_030523,Hb concentration g/dL,Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,Hb concentration g/dL,%10.0g,variable,,,,,,,NECTAR2,g/dL,http://purl.obolibrary.org/obo/UO_0000208,,,,,,,
http://purl.obolibrary.org/obo/OBI_0003073,Temperature,temp,nectar2_030523,Temperature in celsius,Participant,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,Temperature in celsius,%10.0g,variable,,,,,,,NECTAR2,C,http://purl.obolibrary.org/obo/UO_0000027,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000550,"Plasmodium falciparum asexual stages, by microscopy result",mic_pf_asc_ul,nectar2_030523,Microscopy Pf asexuals per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,Microscopy Pf asexuals per uL,%9.0g,variable,,,,,,,NECTAR2,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000546,"Plasmodium falciparum gametocytes, by microscopy result",mic_pf_gct_ul,nectar2_030523,Microscopy Pf gametocytes per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,Microscopy Pf gametocytes per uL,%9.0g,variable,,,,,,,NECTAR2,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000423,"Plasmodium species, by microscopy",mic_pf_pos,nectar2_030523,Microscopy positivity Pf,Sample,http://purl.obolibrary.org/obo/EUPATH_0033308,Plasmodium in blood,Microscopy positivity Pf,%9.0g,variable,,,,,,,NECTAR2,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0064201,"Plasmodium gametocytes, by qRT-PCR result",qrtpcr_gct_ul,nectar2_030523,qRTPCR total gametocytes per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,qRTPCR total gametocytes per uL,%9.0g,variable,,,,,,,NECTAR2,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0064204,"Plasmodium male gametocytes, by qRT-PCR result",qrtpcr_malgct_ul,nectar2_030523,qRTPCR male gametocytes per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,qRTPCR male gametocytes per uL,%9.0g,variable,need new term,,,,,,NECTAR2,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0064205,"Plasmodium female gametocytes, by qRT-PCR result",qrtpcr_femgct_ul,nectar2_030523,qRTPCR female gametocytes per uL,Sample,http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,qRTPCR female gametocytes per uL,%9.0g,variable,need new term,,,,,,NECTAR2,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020120,Mosquitoes dissected count,mosq_total,nectar2_030523,Mosquitoes dissected,Sample,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,Mosquitoes dissected,%9.0g,variable,,,,,,,NECTAR2,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020242,Mosquitoes with oocysts count,mosq_pos,nectar2_030523,Mosquitoes positive for oocysts,Sample,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,Mosquitoes positive for oocysts,%9.0g,variable,,,,,,,NECTAR2,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0064202,Mean oocyst in mosquitoes count,mean_ooc_all,nectar2_030523,Mean oocysts accross all dissected mosquitoes,Sample,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,Mean oocysts accross all dissected mosquitoes,%9.0g,variable,,,,,,,NECTAR2,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0064203,Mean oocyst in infected mosquitoes count,mean_ooc_pos,nectar2_030523,Mean oocysts accross all infected mosquitoes,Sample,http://purl.obolibrary.org/obo/EUPATH_0020239,Membrane feeding,Mean oocysts accross all infected mosquitoes,%9.0g,variable,,,,,,,NECTAR2,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0003040,Blood test,,,,,http://purl.obolibrary.org/obo/OBI_0000070,Laboratory test,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,,,,,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0003263,Raw eukaryota data for blood,,,,,http://purl.obolibrary.org/obo/OBI_0003244,Raw test result for blood,,,,,,,,,,,,,,,,,,,
