IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,forceTostring,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0001169,Age,base_2017_2019-send::age,,base_2017_2019-send,Age (years),Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Age (years),NULL,variable,,yes,,Guatemala_cohort,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,,,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0057547,Any Histoplasma capsulatum test performed,base_2017_2019-send::pruebas_realizadas_histo,,base_2017_2019-send,Histoplasma capsulatum tests performed,Sample,,Any sample eukaryote testing,Histoplasma capsulatum tests performed,No_tamizado = 0; Ag = 1; `Ag+Culture` = 2; `Ag+Culture+Isolator` = 3; `Ag+Culture+Isolator+PCR` = 4; `Ag+Culture+PCR` = 5; `Ag+Isolator` = 6; `Ag+Isolator+PCR` = 7; Culture = 8; `Culture+Isolator+PCR` = 9; `Culture+PCR` = 10; Isolator = 11; PCR = 12; `Culture+Isolator` = 13; `Ag+PCR` = 14; `Isolator+PCR` = 15,variable,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0057588,Any Mycobacterium tuberculosis test performed,base_2017_2019-send::pruebas_realizadas_tb,,base_2017_2019-send,TB tests performed,Sample,,Any sample bacteria testing,TB tests performed,No_tamizado = 0; `Culture+Isolator+Smear+PCR` = 1; `Culture+PCR` = 2; `Culture+Smear` = 3; `Culture+Smear+PCR` = 4; Isolator = 5; `Isolator+PCR` = 6; `Isolator+Smear+PCR` = 7; `Smear+PCR` = 8; `Culture+Isolator+PCR` = 9; `Culture+Isolator+Smear` = 10; `Culture+Isolator` = 11; Culture = 12; PCR = 13; Smear = 14,variable,,,,Guatemala_cohort,,,,,,,,,
,Any sample bacteria testing,,,,,Sample,,Any sample microbiology test procedures,,,category,,,,Guatemala_cohort,,,,,,,,,
,Any sample eukaryote testing,,,,,Sample,,Any sample microbiology test procedures,,,category,,,,Guatemala_cohort,,,,,,,,,
,Any sample microbiology test,,,,,Sample,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test,,,category,,,,Guatemala_cohort,,,,,,,,,
,Any sample microbiology test procedures,,,,,Sample,,Any sample microbiology test,,,category,,,,Guatemala_cohort,,,,,,,,,
,Bacteria in any sample,,,,,Sample,,Any sample microbiology test,,,category,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0033293,Bacteria in blood,,,,,Sample,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,category,,,,Guatemala_cohort,,,,,,,,,
,Bacteria in bone,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0057505,Bone microbiology test,,,category,,,,Guatemala_cohort,,,,,,,,,
,Bacteria in bone marrow,,,,,Sample,,Bone marrow microbiology test,,,category,,,,Guatemala_cohort,,,,,,,,,
,Bacteria in bronchoalveolar lavage,,,,,Sample,,Bronchoalveolar lavage microbiology test,,,category,,,,Guatemala_cohort,,,,,,,,,
,Bacteria in cerebrospinal fluid,,,,,Sample,http://purl.obolibrary.org/obo/OBI_0003240,Cerebrospinal fluid microbiology test,,,category,,,,Guatemala_cohort,,,,,,,,,
,Bacteria in gastrointestinal sample,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0057528,Gastrointestinal microbiology test,,,category,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0032002,Bacteria in induced sputum,,,,,Sample,http://purl.obolibrary.org/obo/OBI_0003242,Induced sputum microbiology test,,,category,,,,Guatemala_cohort,,,,,,,,,
,Bacteria in lymph,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0057555,Lymph microbiology test,,,category,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0038594,Bacteria in other sample,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0038350,Other sample microbiology test,,,category,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0032010,Bacteria in pleural fluid,,,,,Sample,http://purl.obolibrary.org/obo/OBI_0003283,Pleural fluid microbiology test,,,category,,,,Guatemala_cohort,,,,,,,,,
,Bacteria in skin,,,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0057581,Skin microbiology test,,,category,,,,Guatemala_cohort,,,,,,,,,
,Bacteria in urine,,,,,Sample,http://purl.obolibrary.org/obo/OBI_0003286,Urine microbiology test,,,category,,,,Guatemala_cohort,,,,,,,,,
http://www.ebi.ac.uk/efo/EFO_0004950,Birth date,base_2017_2019-send::birthdate,,base_2017_2019-send,Birth date,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,Birth date,NULL,variable,,yes,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,,,Sample,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test,,,category,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020125,Blood microbiology tests procedures,,,,,Sample,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,,,category,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0003040,Blood test,,,,,Sample,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test,,,category,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/CMO_0000105,BMI,base_2017_2019-send::imc,,base_2017_2019-send,Body mass index (BMI),Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,Body mass index (BMI),NULL,variable,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0057503,BMI categorization,base_2017_2019-send::bmi_range,,base_2017_2019-send,BMI categorization,Participant,http://purl.obolibrary.org/obo/EUPATH_0000649,Anthropometry,BMI categorization,Underweight = 1; Normal = 2; Overweight = 3; Obsese = 4,variable,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0057505,Bone microbiology test,,,base_2017_2019-send,,Sample,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test,,,category,,,,Guatemala_cohort,,,,,,,,,
,Bronchoalveolar lavage microbiology test,,,,,Sample,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test,,,category,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0020001,Cause of death,base_2017_2019-send::exitus_reason,,base_2017_2019-send,"Possible causes of death. As the previous one (Exitus_reason_grouped), we have not used it.",Participant,http://purl.obolibrary.org/obo/EUPATH_0000671,Death information,"Possible causes of death. As the previous one (Exitus_reason_grouped), we have not used it.",Alive = 0; Toxoplasmosis = 1; Pneumonia = 2; `Mycoses?` = 3; Sepsis = 4; Non_Crypto_meningitis = 5; Exitus_by_OI_Screened = 6; Exitus_not_related = 7; Unknown = 8; Discrepances_with_HIV_unit = 9,variable,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0057520,CD4 cell obtained date,base_2017_2019-send::date_cd4,,base_2017_2019-send,Date of CD4 count. Defined as a cell count obtained 90 days before or after the moment of the OI screening.,Sample,http://purl.obolibrary.org/obo/OBI_0002649,Blood microbiology test,Date of CD4 count. Defined as a cell count obtained 90 days before or after the moment of the OI screening.,NULL,variable,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0057508,CD4 cells,base_2017_2019-send::cd4_cell_count,,base_2017_2019-send,CD4 count (/uL),Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,CD4 count (/uL),NULL,variable,,,,Guatemala_cohort,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0057509,CD4 cells < 100/uL,base_2017_2019-send::below_100_above,,base_2017_2019-send,CD4 count < 100 /uL,Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,CD4 count < 100 /uL,`<100` = 0; `>=100` = 1,variable,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0057510,CD4 cells < 200/uL,base_2017_2019-send::below_200_above,,base_2017_2019-send,CD4 count < 200 /uL,Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,CD4 count < 200 /uL,`<200` = 0; `>=200` = 1,variable,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0057511,CD4 cells < 350/uL,base_2017_2019-send::below_350_above,,base_2017_2019-send,CD4 count < 350 /uL,Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,CD4 count < 350 /uL,`<350` = 0; `>=350` = 1,variable,,,,Guatemala_cohort,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0057512,CD4 cells categorization,base_2017_2019-send::cd4_interval_new,,base_2017_2019-send,CD4 count categorization,Sample,http://purl.obolibrary.org/obo/OBI_0003040,Blood test,CD4 count categorization,Unknown = 0; `<50` = 1; `50-99` = 2; `100-199` = 3; `200-349` = 4; `>=350` = 5,variable,,,,Guatemala_cohort,/uL,http://purl.obolibrary.org/obo/UO_0000316,,,,,,,
http://purl.obolibrary.org/obo/OBI_0003240,Cerebrospinal fluid microbiology test,,,,,Sample,http://purl.obolibrary.org/obo/OGMS_0000056,Laboratory test,,,category,,,,Guatemala_cohort,,,,,,,,,
