variable	variable2	values	mappedTerm	valueOrder
score_rwanda_mapping_dataset::alb.l12m.school	score_rwanda_mapping_dataset::alb.l12m.school	0	No	2
score_rwanda_mapping_dataset::alb.l12m.school	score_rwanda_mapping_dataset::alb.l12m.school	1	Yes	1
score_rwanda_mapping_dataset::dam.within.5km	score_rwanda_mapping_dataset::dam.within.5km	0	Absence	2
score_rwanda_mapping_dataset::dam.within.5km	score_rwanda_mapping_dataset::dam.within.5km	1	Presence	1
score_rwanda_mapping_dataset::irrigationcanal.within.5km	score_rwanda_mapping_dataset::irrigationcanal.within.5km	0	Absence	2
score_rwanda_mapping_dataset::irrigationcanal.within.5km	score_rwanda_mapping_dataset::irrigationcanal.within.5km	1	Presence	1
score_rwanda_mapping_dataset::lake.within.5km	score_rwanda_mapping_dataset::lake.within.5km	0	Absence	2
score_rwanda_mapping_dataset::lake.within.5km	score_rwanda_mapping_dataset::lake.within.5km	1	Presence	1
score_rwanda_mapping_dataset::marsh.swamp.within.5km	score_rwanda_mapping_dataset::marsh.swamp.within.5km	0	Absence	2
score_rwanda_mapping_dataset::marsh.swamp.within.5km	score_rwanda_mapping_dataset::marsh.swamp.within.5km	1	Presence	1
score_rwanda_mapping_dataset::otherwater.within.5km	score_rwanda_mapping_dataset::otherwater.within.5km	0	Absence	2
score_rwanda_mapping_dataset::otherwater.within.5km	score_rwanda_mapping_dataset::otherwater.within.5km	1	Presence	1
score_rwanda_mapping_dataset::pzq.l12m.school	score_rwanda_mapping_dataset::pzq.l12m.school	0	No	2
score_rwanda_mapping_dataset::pzq.l12m.school	score_rwanda_mapping_dataset::pzq.l12m.school	1	Yes	1
score_rwanda_mapping_dataset::ricefield.within.5km	score_rwanda_mapping_dataset::ricefield.within.5km	0	Absence	2
score_rwanda_mapping_dataset::ricefield.within.5km	score_rwanda_mapping_dataset::ricefield.within.5km	1	Presence	1
score_rwanda_mapping_dataset::river.within.5km	score_rwanda_mapping_dataset::river.within.5km	0	Absence	2
score_rwanda_mapping_dataset::river.within.5km	score_rwanda_mapping_dataset::river.within.5km	1	Presence	1
score_rwanda_mapping_dataset::sex	score_rwanda_mapping_dataset::sex	0	Female	
score_rwanda_mapping_dataset::sex	score_rwanda_mapping_dataset::sex	1	Male	
score_rwanda_mapping_dataset::ankylo.kk_01	score_rwanda_mapping_dataset::ankylo.kk_01	0	Negative	2
score_rwanda_mapping_dataset::ankylo.kk_01	score_rwanda_mapping_dataset::ankylo.kk_01	1	Positive	1
score_rwanda_mapping_dataset::ascaris.kk_01	score_rwanda_mapping_dataset::ascaris.kk_01	0	Negative	2
score_rwanda_mapping_dataset::ascaris.kk_01	score_rwanda_mapping_dataset::ascaris.kk_01	1	Positive	1
score_rwanda_mapping_dataset::cca	score_rwanda_mapping_dataset::cca	0	Negative	3
score_rwanda_mapping_dataset::cca	score_rwanda_mapping_dataset::cca	1	Trace	2
score_rwanda_mapping_dataset::cca_tracepos_01	score_rwanda_mapping_dataset::cca_tracepos_01	0	Negative	2
score_rwanda_mapping_dataset::cca_tracepos_01	score_rwanda_mapping_dataset::cca_tracepos_01	1	Positive	1
score_rwanda_mapping_dataset::haematuria	score_rwanda_mapping_dataset::haematuria	0	Negative	2
score_rwanda_mapping_dataset::haematuria	score_rwanda_mapping_dataset::haematuria	1	Positive	1
score_rwanda_mapping_dataset::smansoni.kk_01	score_rwanda_mapping_dataset::smansoni.kk_01	0	Negative	2
score_rwanda_mapping_dataset::smansoni.kk_01	score_rwanda_mapping_dataset::smansoni.kk_01	1	Positive	1
score_rwanda_mapping_dataset::trich.kk_01	score_rwanda_mapping_dataset::trich.kk_01	0	Negative	2
score_rwanda_mapping_dataset::trich.kk_01	score_rwanda_mapping_dataset::trich.kk_01	1	Positive	1
score_rwanda_mapping_dataset::cca	score_rwanda_mapping_dataset::cca	2	Positive	1
score_rwanda_mapping_dataset::cca	score_rwanda_mapping_dataset::cca	3	Positive	1
score_rwanda_mapping_dataset::cca	score_rwanda_mapping_dataset::cca	4	Positive	1
score_rwanda_mapping_dataset::sentinelsite	score_rwanda_mapping_dataset::sentinelsite	Yes	Yes	1
score_rwanda_mapping_dataset::sentinelsite	score_rwanda_mapping_dataset::sentinelsite	No	No	2
score_rwanda_mapping_dataset::kkschool	score_rwanda_mapping_dataset::kkschool	Yes	Yes	1
score_rwanda_mapping_dataset::kkschool	score_rwanda_mapping_dataset::kkschool	No	No	2
score_rwanda_mapping_dataset::sch.risk	score_rwanda_mapping_dataset::sch.risk	low risk	Low risk	1
score_rwanda_mapping_dataset::sch.risk	score_rwanda_mapping_dataset::sch.risk	high risk	High risk	2
