?IRI	?label	?parentIRI	?parentLabel	?codebookDescription	?ontology_label	?definition	?ontology_parentIRI	?ontology_parentLabel
http://purl.obolibrary.org/obo/EUPATH_0032201	"Acinetobacter, by bacteriology"	http://purl.obolibrary.org/obo/EUPATH_0033294	Acinetobacter in blood	Acinetobacter Species blood culture positive	presence of Acinetobacter unspecified in blood	"A bacteria in blood datum that specifies whether Acinetobacter was detected, without specifying the taxon further."		
http://purl.obolibrary.org/obo/EUPATH_0032259	"Acinetobacter baumannii, by bacteriology"	http://purl.obolibrary.org/obo/EUPATH_0032131	Acinetobacter in induced sputum	Acinetobacter Baumannii induced sputum culture positive	presence of Acinetobacter baumannii in induced sputum	An Acinetobacter baumannii in induced sputum datum that specifies whether the organism was detected.		
http://purl.obolibrary.org/obo/EUPATH_0032261	"Acinetobacter calcoaceticus, by bacteriology"	http://purl.obolibrary.org/obo/EUPATH_0032131	Acinetobacter in induced sputum	Acinetobacter Calcoaceticus induced sputum culture positive	presence of Acinetobacter calcoaceticus in induced sputum	An Acinetobacter calcoaceticus in induced sputum datum that specifies whether the organism was detected.		
http://purl.obolibrary.org/obo/EUPATH_0032265	"Acinetobacter, by bacteriology"	http://purl.obolibrary.org/obo/EUPATH_0032131	Acinetobacter in induced sputum	Acinetobacter Species induced sputum culture positive	presence of Acinetobacter in induced sputum	An Acinetobacter in induced sputum datum that specifies whether the organism was detected.		
http://purl.obolibrary.org/obo/EUPATH_0032263	"Acinetobacter lwoffii, by bacteriology"	http://purl.obolibrary.org/obo/EUPATH_0032131	Acinetobacter in induced sputum	Acinetobacter Lwoffii induced sputum culture positive	presence of Acinetobacter lwoffii in induced sputum	An Acinetobacter in induced sputum datum that specifies whether Acinetobacter lwoffii was detected.		
http://purl.obolibrary.org/obo/EUPATH_0032258	"Acinetobacter baumannii, by Gram stain"	http://purl.obolibrary.org/obo/EUPATH_0032131	Acinetobacter in induced sputum	Acinetobacter baumannii induced sputum culture gram strain confirmed				
http://purl.obolibrary.org/obo/EUPATH_0032260	"Acinetobacter calcoaceticus, by Gram stain"	http://purl.obolibrary.org/obo/EUPATH_0032131	Acinetobacter in induced sputum	Acinetobacter calcoaceticus induced sputum culture gram strain confirmed				
http://purl.obolibrary.org/obo/EUPATH_0032262	"Acinetobacter lwoffii, by Gram stain"	http://purl.obolibrary.org/obo/EUPATH_0032131	Acinetobacter in induced sputum	Acinetobacter lwoffii induced sputum culture gram strain confirmed				
http://purl.obolibrary.org/obo/EUPATH_0032264	"Acinetobacter, by Gram stain"	http://purl.obolibrary.org/obo/EUPATH_0032131	Acinetobacter in induced sputum	Acinetobacter species induced sputum culture gram strain confirmed				
http://purl.obolibrary.org/obo/EUPATH_0038399	"Acinetobacter, by bacteriology"	http://purl.obolibrary.org/obo/EUPATH_0038645	Acinetobacter in other sample					
http://purl.obolibrary.org/obo/EUPATH_0015289	"Adenovirus non-40/41, by ELISA"	http://purl.obolibrary.org/obo/EUPATH_0011964	Adenovirus in stool	Calculated: Adenovirus _Non4041	presence of Adenoviridae excluding human mastadenovirus F in feces by enzyme-linked immunosorbent assay	A virus in feces datum that specifies whether Adenoviridae excluding human mastadenovirus F were detected by enzyme-linked immunosorbent assay		
http://purl.obolibrary.org/obo/EUPATH_0010599	"Adenovirus, by ELISA"	http://purl.obolibrary.org/obo/EUPATH_0011964	Adenovirus in stool	Adenovirus detected?. Indeterminate test result is coded as no.. Source=Calculated. 1=yes;0=no	presence of Adenoviridae in feces by enzyme-linked immunosorbent assay	A eukaryota in feces datum by enzyme-linked immunosorbent assay datum that specifies whether the virus was detected.		
http://purl.obolibrary.org/obo/EUPATH_0015288	"Adenovirus 40/41, by ELISA"	http://purl.obolibrary.org/obo/EUPATH_0011964	Adenovirus in stool	Calculated: Adenovirus 4041	presence of Human mastadenovirus F in feces by enzyme-linked immunosorbent assay	A virus in feces datum that specifies whether Human mastadenovirus F was detected by enzyme-linked immunosorbent assay.		
http://purl.obolibrary.org/obo/EUPATH_0032267	"Aeromonas hydrophila, by bacteriology"	http://purl.obolibrary.org/obo/EUPATH_0032132	Aeromonas in induced sputum	Aeromonas Hydrophila induced sputum culture positive	presence of Aeromonas hydrophila in induced sputum	An Aeromonas hydrophila in induced sputum datum that specifies whether the organism was detected.		
