file	category	id
data_dengue_coordinate_malaysia_2015	household_repeated_measures	{{hr}}+Kes.No+Epid.Tahun..Tkh.Daftar.
data_dengue_coordinate_malaysia_2016	household_repeated_measures	{{hr}}+Kes.No+Epid.Tahun..Tkh.Daftar.
data_dengue_coordinate_malaysia_2017	household_repeated_measures	{{hr}}+Kes.No+Epid.Tahun..Tkh.Daftar.
data_dengue_coordinate_malaysia_2018	household_repeated_measures	{{hr}}+Kes.No+Epid.Tahun..Tkh.Daftar.
data_dengue_coordinate_malaysia_2019	household_repeated_measures	{{hr}}+Kes.No+Epid.Tahun..Tkh.Daftar.
data_dengue_coordinate_malaysia_2015	participant_repeated_measures	{{pr}}+Kes.No+Epid.Tahun..Tkh.Daftar.
data_dengue_coordinate_malaysia_2016	participant_repeated_measures	{{pr}}+Kes.No+Epid.Tahun..Tkh.Daftar.
data_dengue_coordinate_malaysia_2017	participant_repeated_measures	{{pr}}+Kes.No+Epid.Tahun..Tkh.Daftar.
data_dengue_coordinate_malaysia_2018	participant_repeated_measures	{{pr}}+Kes.No+Epid.Tahun..Tkh.Daftar.
data_dengue_coordinate_malaysia_2019	participant_repeated_measures	{{pr}}+Kes.No+Epid.Tahun..Tkh.Daftar.
