type	ID	Name	Definition	Synonyms	URI	is obsolete
class	ARRAY_0000001	General Information			http://purl.obolibrary.org/obo/ARRAY_0000001	false
class	ARRAY_0000002	Clinical Information			http://purl.obolibrary.org/obo/ARRAY_0000002	false
class	ARRAY_0000003	Laboratory Methods and Results			http://purl.obolibrary.org/obo/ARRAY_0000003	false
class	ARRAY_0000004	Availability of molecular data			http://purl.obolibrary.org/obo/ARRAY_0000004	false
class	ARRAY_0000005	Informed Consent			http://purl.obolibrary.org/obo/ARRAY_0000005	false
class	ARRAY_0000006	General Information of Study Subject			http://purl.obolibrary.org/obo/ARRAY_0000006	false
class	ARRAY_0000007	Specimen Collection Information			http://purl.obolibrary.org/obo/ARRAY_0000007	false
class	ARRAY_0000008	Sample Collection Location			http://purl.obolibrary.org/obo/ARRAY_0000008	false
class	ARRAY_0000009	Information of Study Sample Collected From			http://purl.obolibrary.org/obo/ARRAY_0000009	false
class	ARRAY_0000010	Overall Status			http://purl.obolibrary.org/obo/ARRAY_0000010	false
class	ARRAY_0000011	Fever			http://purl.obolibrary.org/obo/ARRAY_0000011	false
class	ARRAY_0000012	Other signs/symptoms/diseases			http://purl.obolibrary.org/obo/ARRAY_0000012	false
class	ARRAY_0000013	Parasite detection			http://purl.obolibrary.org/obo/ARRAY_0000013	false
class	ARRAY_0000014	Gametocyte detection			http://purl.obolibrary.org/obo/ARRAY_0000014	false
class	ARRAY_0000015	Presenceof parasite species			http://purl.obolibrary.org/obo/ARRAY_0000015	false
subClassOf	is a			rdfs:subClassOf	false
