colOrder,variable,dataFile,IRI,label,definition,category,codebookDescription,codebookValues,termType,parentIRI,parentLabel,notesForOnt,notesForProvider,notesForDL,variable_dataFile,uniqueVar,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
1,pid,nhs 111 data feed,,,,,BL added for unique identifier,,,,,NA,NA,NA,PID,nhs 111 data feed::pid,int,1,NA,NA,1 to 1000,1000,0,
3,date.of.birth,nhs 111 data feed,http://www.ebi.ac.uk/efo/EFO_0004950,Birth date,,,,,,,,NA,NA,NA,Date.of.Birth,nhs 111 data feed::date.of.birth,lgl,NA,date?,NA,n/a,0,1,no data
4,home.postcode,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Home.Postcode,nhs 111 data feed::home.postcode,lgl,NA,NA,NA,n/a,0,1,no data
5,postcode.of.location..from.where.call.was.made.,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Postcode.of.location..from.where.call.was.made.,nhs 111 data feed::postcode.of.location..from.where.call.was.made.,lgl,NA,NA,NA,n/a,0,1,no data
6,contract_name,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Contract_Name,nhs 111 data feed::contract_name,chr,North West London,NA,NA,"Hillingdon, London Central West 111, North West London",3,0,
7,ccg_name,nhs 111 data feed,,,,,Clinical Commissioning Group,,,,,NA,NA,NA,CCG_Name,nhs 111 data feed::ccg_name,chr,NHS HILLINGDON CCG,NA,NA,>10 unique values,37,0,
8,call_centre,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Call_Centre,nhs 111 data feed::call_centre,chr,111 Ipswich,NA,NA,>10 unique values,13,0,
9,telephony_line,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Telephony_line,nhs 111 data feed::telephony_line,chr,Ealing,NA,NA,"Brent, Ealing, Harrow, Hillingdon, Hounslow, London Central West, North West London",7,0,
10,caseref,nhs 111 data feed,,,,,,hash#,,,,NA,NA,NA,CaseRef,nhs 111 data feed::caseref,chr,6430b6a1-5258-477a-be60-29a5a782fe84,NA,NA,>10 unique values,1000,0,
11,caseno,nhs 111 data feed,,,,,,,,,,NA,NA,NA,CaseNo,nhs 111 data feed::caseno,int,37734,NA,NA,10060 to 99976,993,0,
12,providergroup,nhs 111 data feed,,,,,,,,,,NA,NA,NA,ProviderGroup,nhs 111 data feed::providergroup,chr,NULL,NA,NA,>10 unique values,331,0,
13,nacs,nhs 111 data feed,,,,,National Administrative Code Service (NACS) codes,,,,,NA,NA,NA,NACS,nhs 111 data feed::nacs,chr,NULL,NA,NA,>10 unique values,347,0,
14,providergroupccg,nhs 111 data feed,,,,,,,,,,NA,NA,NA,ProviderGroupCCG,nhs 111 data feed::providergroupccg,chr,NULL,NA,NA,>10 unique values,33,0,
15,yob,nhs 111 data feed,http://purl.obolibrary.org/obo/EUPATH_0030005,Birth year,,,,,,,,NA,NA,NA,YOB,nhs 111 data feed::yob,int,1983,NA,NA,1926 to 2012,83,0,
16,dos_shownfordx,nhs 111 data feed,,,,,,,,,,NA,NA,NA,DOS_ShownForDX,nhs 111 data feed::dos_shownfordx,int,1,NA,NA,0 to 1,2,0,
17,dos_service,nhs 111 data feed,,,,,,,,,,NA,NA,NA,DOS_Service,nhs 111 data feed::dos_service,chr,0,NA,NA,"0, 1, NULL",3,0,
18,firstassessment__system__dxcode,nhs 111 data feed,,,,,"First diagnosis code, system",,,,,NA,NA,NA,FirstAssessment__System__DxCode,nhs 111 data feed::firstassessment__system__dxcode,chr,Dx22,NA,NA,>10 unique values,63,0,
19,firstassessment_final_dxcode,nhs 111 data feed,,,,,"First diagnosis code, final",,,,,NA,NA,NA,FirstAssessment_Final_DxCode,nhs 111 data feed::firstassessment_final_dxcode,chr,Dx22,NA,NA,>10 unique values,66,0,
20,finalassessment__system__dxcode,nhs 111 data feed,,,,,"Final diagnosis code, system",,,,,NA,NA,NA,FinalAssessment__System__DxCode,nhs 111 data feed::finalassessment__system__dxcode,chr,NULL,NA,NA,>10 unique values,38,0,
21,finalassessment_final_dxcode,nhs 111 data feed,,,,,"Final diagnosis code, final",,,,,NA,NA,NA,FinalAssessment_Final_DxCode,nhs 111 data feed::finalassessment_final_dxcode,chr,NULL,NA,NA,>10 unique values,41,0,
22,callerterminatedcall,nhs 111 data feed,,,,,Caller terminated call,,,,,NA,NA,NA,CallerTerminatedCall,nhs 111 data feed::callerterminatedcall,int,0,NA,NA,0 to 1,2,0,
23,warmtransferred,nhs 111 data feed,,,,,??,,,,,NA,NA,NA,WarmTransferred,nhs 111 data feed::warmtransferred,int,0,NA,NA,0 to 1,2,0,
24,callback,nhs 111 data feed,,,,,??,,,,,NA,NA,NA,CallBack,nhs 111 data feed::callback,int,0,NA,NA,0 to 1,2,0,
25,referral_datetime,nhs 111 data feed,,,,,,,,,,NA,NA,NA,Referral_Datetime,nhs 111 data feed::referral_datetime,chr,07:35.0,date?,NA,>10 unique values,700,0,
26,servicecareitemid,nhs 111 data feed,,,,,,,,,,NA,NA,NA,ServiceCareItemID,nhs 111 data feed::servicecareitemid,chr,NULL,NA,NA,>10 unique values,290,0,
