codebookOrder,overallOrder,order,variable,dataset,label,IRI,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,notesForOnt,JZ cmments
29,,,childid,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Participant ID ,http://purl.obolibrary.org/obo/EUPATH_0000095,,,,,1. Child ID.,,,
333,,,visitdate,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Visit date ,http://purl.obolibrary.org/obo/EUPATH_0000091,,,,,2. Date of intervew.,,,
302,,,site,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Country ,http://purl.obolibrary.org/obo/OBI_0001627,,,,,3. Site.,"1=The Gambia, 2=Mali, 3=Mozambique, 4=Kenya, 5=India, 6=Bangladesh, 7=Pakistan",,
13,,,agestratum,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat",Age group ,http://purl.obolibrary.org/obo/EUPATH_0010367,,,,,A01: Eligibility information. Child's age stratum (in months) according to the census.,"0=NOT IN CODEBOOK, 1=0 to 11 months, 2=12 to 23 months, 3=24 to 59 months",,
34,,,consent,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Consent for enrollment given ,http://purl.obolibrary.org/obo/EUPATH_0010420,,,,,"A03: Eligibility information. Was consent given by the parent, primary caretaker, or guardian. If ""refused"" or ""not available after 3 attempts, stop here","1=Yes, 2=Refused, 3=Not available after 3 attempts",,
228,,,primcare,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Caretaker relationship to participant ,http://purl.obolibrary.org/obo/EUPATH_0000720,,,,,"A04: Eligibility information. Are you a primary caretaker of the child. If ""no"", ask if a primary caretaker is available. If not available, make an appointment for a return visit.","1=No, 2=Yes",,
119,,,gender,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Sex ,http://purl.obolibrary.org/obo/PATO_0000047,,,,,A05: Eligibility information. Is the child a boy or girl.,"0=NOT IN CODEBOOK, 1=Boy, 2=Girl",,
17,,,brth_date,gems1_huas_data.sas7bdat,Birth date ,http://www.ebi.ac.uk/efo/EFO_0004950,,,,,"A06: Eligibility information. Birth date of the child. Use ""00"" for day if unknown",,,
9,,,age,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Age (months) ,http://purl.obolibrary.org/obo/EUPATH_0015400,,,,,A06.1: Eligibility information. Age (months). 15 is used for missing day in birthdate,,,
11,,,agecat,gems1_huas_data.sas7bdat,Age group ,http://purl.obolibrary.org/obo/EUPATH_0010367,,,,,A06.2: Eligibility information. Age category.,"1=0 to 11 months, 2=12 to 23 months, 3=24 to 59 months, 4=60+ months, 5=Interview date missing, 6=Birthdate missing or invalid, 7=<0 months",,
12,,,agegender,gems1_huas_data.sas7bdat,,,,,,,A06.3: Eligibility information. Age/gender category.,"1=Male, 0-11 months, 2=Female, 0-11 months, 3=Male, 12-23 months, 4=Female, 12-23 months, 5=Male, 24-59 months, 6=Female, 24-59 months, 99=Missing/error",,
20,,,brth_yr,gems1_huas_data.sas7bdat,Birth year ,http://purl.obolibrary.org/obo/EUPATH_0030005,,,,,A06.4: Eligibility information. Year of birth.,3=free text,,6.4 - 6.6 make the birth date
19,,,brth_mo,gems1_huas_data.sas7bdat,,,,,,,A06.5: Eligibility information. Month of birth.,,,6.4 - 6.6 make the birth date
16,,,brth_da,gems1_huas_data.sas7bdat,,,,,,,A06.6: Eligibility information. Day of birth.,,,6.4 - 6.6 make the birth date
304,,,status,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,A07: Eligibility information. Status of interview.,"1=Conducted, 2=Not conducted",,
160,,,interview,"gems1_huas_data.sas7bdat, gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,,,,,"A07.2: Eligibility information. Interview status (Conducted if status=1 & id_child=2 & consent=1 & agecat=1,2,3).","1=Conducted, 10=Child >59 months, 11=Interview date missing, 12=Birthdate missing or invalid, 2=Not identified, 3=Child died, 4=Refused consent, 5=Not available after 3 attempts, 6=Not conducted - other, 7=Consent question not answered, 8=ID child question not answered, 9=Interview status question nt answered, 0=NOT IN CODEBOOK",,
270,,,relation,gems1_huas_data.sas7bdat,Interviewee relationship to participant ,http://purl.obolibrary.org/obo/EUPATH_0010123,,,,,B08: Household information. What is your relationship to the child.,"1=Mother, 10=Other relation by blood or marriage, 2=Father, 3=Sister, 4=Brother, 5=Grandmother, 6=Grandfather, 7=Aunt, 8=Uncle, 9=No relation",,
174,,,mom_live,gems1_huas_data.sas7bdat,Mothers residence ,http://purl.obolibrary.org/obo/EUPATH_0010127,,,,,B09: Household information. Where does the child's mother live.,"1=Lives in household, 2=Abroad, 3=Died, 4=Lives outside of household, 5=Whereabouts unknown",,
53,,,dad_live,gems1_huas_data.sas7bdat,Father's residence ,http://purl.obolibrary.org/obo/EUPATH_0000676,,,,,B10: Household information. Where does the child's father live.,"1=Lives in household, 2=Abroad, 3=Died, 4=Lives outside of household, 5=Whereabouts unknown",,
226,,,prim_schl,gems1_huas_data.sas7bdat,Primary caretakers education level ,http://purl.obolibrary.org/obo/EUPATH_0010129,,,,,B11: Household information. How far did you (the primary caretaker) go in school.,"1=No formal schooling, 2=Less than primary, 3=Completed primary, 4=Post-secondary, 5=Completed secondary, 6=Religious education only, NA=NA",,
214,,,ppl_house,gems1_huas_data.sas7bdat,Persons living in house ,http://purl.obolibrary.org/obo/EUPATH_0000019,,,,,B12: Household information. How many people have been living regularly in your household for the past 6 months.,,,
303,,,slp_rooms,gems1_huas_data.sas7bdat,Sleeping rooms in dwelling ,http://purl.obolibrary.org/obo/EUPATH_0000025,,,,,B13: Household information. How many rooms in your household are used for sleeping.,,,
340,,,yng_chldrn,gems1_huas_data.sas7bdat,Children under 60 months in dwelling ,http://purl.obolibrary.org/obo/EUPATH_0010232,,,,,B14: Household information. How many children younger than 60 months live in this household.,,,
227,,,prim_young,gems1_huas_data.sas7bdat,,,,,,,B15: Household information. How many children younger than 60 months in this household are under your primary care.,,,
118,,,floor,gems1_huas_data.sas7bdat,Floor material ,http://purl.obolibrary.org/obo/EUPATH_0000006,,,,,B16: Household information. What is the predominant floor inside the house.,"1=Earth/sand, 10=Carpet, 2=Dung, 3=Other, specify, 4=Wood planks, 5=Palm/bamboo, 6=Parquet or polished wood, 7=Vinyl or asphalt strips, 8=Ceramic tile, 9=Cement",,
150,,,house_bike,gems1_huas_data.sas7bdat,Bicycle or rickshaw ,http://purl.obolibrary.org/obo/EUPATH_0015001,,,,,B17: Household information. Multifilter: Does your house have:  A bicycle. Must be functioning. Select all that apply.,"0=No, 1=Yes",,
151,,,house_boat,gems1_huas_data.sas7bdat,Boat with a motor ,http://purl.obolibrary.org/obo/EUPATH_0000179,,,,,B17: Household information. Multifilter: Does your house have:  A boat with a motor. Must be functioning. Select all that apply.,"0=No, 1=Yes",,
152,,,house_car,gems1_huas_data.sas7bdat,Car or truck ,http://purl.obolibrary.org/obo/EUPATH_0000171,,,,,B17: Household information. Multifilter: Does your house have:  A car or truck. Must be functioning. Select all that apply.,"0=No, 1=Yes",,
158,,,house_scoot,gems1_huas_data.sas7bdat,Motorcycle or scooter ,http://purl.obolibrary.org/obo/ENVO_01000615,,,,,B17: Household information. Multifilter: Does your house have:  A motorcycle or scooter. Must be functioning. Select all that apply.,"0=No, 1=Yes",,
157,,,house_radio,gems1_huas_data.sas7bdat,Radio ,http://purl.obolibrary.org/obo/ENVO_01000577,,,,,B17: Household information. Multifilter: Does your house have:  A radio. Must be functioning. Select all that apply.,"0=No, 1=Yes",,
154,,,house_fridge,gems1_huas_data.sas7bdat,Refrigerator ,http://purl.obolibrary.org/obo/ENVO01000583,,,,,B17: Household information. Multifilter: Does your house have:  A refrigerator. Must be functioning. Select all that apply.,"0=No, 1=Yes",,
156,,,house_phone,gems1_huas_data.sas7bdat,Telephone (mobile or non-mobile) ,http://purl.obolibrary.org/obo/ENVO_01000580,,,,,B17: Household information. Multifilter: Does your house have:  A telephone (mobile or non-mobile). Must be functioning. Select all that apply.,"0=No, 1=Yes",,
159,,,house_tele,gems1_huas_data.sas7bdat,Television ,http://purl.obolibrary.org/obo/ENVO_01000579,,,,,B17: Household information. Multifilter: Does your house have:  A television. Must be functioning. Select all that apply.,"0=No, 1=Yes",,
153,,,house_elec,gems1_huas_data.sas7bdat,Electricity ,http://purl.obolibrary.org/obo/EUPATH_0021084,,,,,B17: Household information. Multifilter: Does your house have:  Electricity. Must be functioning. Select all that apply.,"0=No, 1=Yes",,
155,,,house_none,gems1_huas_data.sas7bdat,None of the above ,http://purl.obolibrary.org/obo/EUPATH_0015011,,,,,B17.1: Household information. Multifilter: Does your house have:  None of the above. Must be functioning. Select all that apply.,"0=No, 1=Yes, NA=NA",,
57,,,deh_coma,gems1_huas_data.sas7bdat,,,,,,,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Coma/loss of conciousness. Select all that apply.,"0=No, 1=Yes",Multifilter,
58,,,deh_decurin,gems1_huas_data.sas7bdat,,,,,,,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Decreased urination. Select all that apply.,"0=No, 1=Yes",Multifilter,
60,,,deh_dry,gems1_huas_data.sas7bdat,,,,,,,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Dry mouth. Select all that apply.,"0=No, 1=Yes",Multifilter,
61,,,deh_lethrgy,gems1_huas_data.sas7bdat,,,,,,,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Lethargy. Select all that apply.,"0=No, 1=Yes",Multifilter,
64,,,deh_sunkeyes,gems1_huas_data.sas7bdat,,,,,,,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Sunken eyes. Select all that apply.,"0=No, 1=Yes",Multifilter,
65,,,deh_thirst,gems1_huas_data.sas7bdat,,,,,,,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Thirsty. Select all that apply.,"0=No, 1=Yes",Multifilter,
66,,,deh_wrnkskin,gems1_huas_data.sas7bdat,,,,,,,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Wrinkled skin. Select all that apply.,"0=No, 1=Yes",Multifilter,
63,,,deh_othr,gems1_huas_data.sas7bdat,,,,,,,"C18.1: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Other, specify. Select all that apply.","0=No, 1=Yes",Multifilter,
59,,,deh_dk,gems1_huas_data.sas7bdat,,,,,,,C18.2: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Don't know. Select all that apply.,"0=No, 1=Yes",Multifilter,
62,,,deh_none,gems1_huas_data.sas7bdat,,,,,,,C18.3: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  None of the above. Select all that apply.,"0=No, 1=Yes",Multifilter,
67,,,dehydr_spec,gems1_huas_data.sas7bdat,,,,,,,"C18.4: Parents perception of illness and use of health care facility. Specify if deh_other=1 (other, specify). Select all that apply.",,,
281,,,sd_lrgperday,gems1_huas_data.sas7bdat,,,,,,,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  A large number or amount of stools per day. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,
277,,,sd_blood,gems1_huas_data.sas7bdat,,,,,,,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Blood in stool. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,
284,,,sd_vomit,gems1_huas_data.sas7bdat,,,,,,,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Diarrhea and vomiting. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,
280,,,sd_fever,gems1_huas_data.sas7bdat,,,,,,,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Fever associated with diarrhea. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,
282,,,sd_mucus,gems1_huas_data.sas7bdat,,,,,,,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Mucus/pus in stool. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,
278,,,sd_dehydr,gems1_huas_data.sas7bdat,,,,,,,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Presence of dehydration. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,
283,,,sd_rice,gems1_huas_data.sas7bdat,,,,,,,C19: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Rice watery stool. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,
279,,,sd_dk,gems1_huas_data.sas7bdat,,,,,,,C19.1: Parents perception of illness and use of health care facility. Multifilter: What are the types of diarrhea that can result in serious harm or even death of a child?  Don't know. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,
127,,,hlthctr1,gems1_huas_data.sas7bdat,,,,,,,"C20.1: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of first choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr1=090",,,
128,,,hlthctr2,gems1_huas_data.sas7bdat,,,,,,,"C20.3: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of second choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr2=090",,,
129,,,hlthctr3,gems1_huas_data.sas7bdat,,,,,,,"C20.5: Parents perception of illness and use of health care facility. What are the health centers that you use/would use when your child is sick with diarrhea? (Center of third choice code, enter 999 for unknown, 090 if facility was not coded). Specify if hlthctr3=090",,,
305,,,trnsport,gems1_huas_data.sas7bdat,,,,,,,C21: Parents perception of illness and use of health care facility. How do you/would you usually get to the health center of first choice.,"0=NOT IN CODEBOOK, 1=Walk, 2=Commercial transport, 3=Personal transport, 4=Combination of the above, NA=NA",,
306,,,trnsport_time,gems1_huas_data.sas7bdat,,,,,,,C22: Parents perception of illness and use of health care facility. How long does/would it take to get to your center of first choice (using the transport method indicated in trnsport).,"0=NOT IN CODEBOOK, 1=Less than 15 minutes, 2=15 minutes to 30 minutes, 3=30 minutes to 1 hour, 4=1 hour to 4 hours, 5=More than 4 hours, 6=Don't know, NA=NA",,
74,,,diff_cost,gems1_huas_data.sas7bdat,,,,,,,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Costs too much money. Select all that apply.,"0=No, 1=Yes",Multifilter,
75,,,diff_flood,gems1_huas_data.sas7bdat,,,,,,,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Flood. Select all that apply.,"0=No, 1=Yes",Multifilter,
79,,,diff_rain,gems1_huas_data.sas7bdat,,,,,,,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Heavy rain. Select all that apply.,"0=No, 1=Yes",Multifilter,
73,,,diff_chldcare,gems1_huas_data.sas7bdat,,,,,,,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Lack of childcare for other children. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,
82,,,diff_trnsprt,gems1_huas_data.sas7bdat,,,,,,,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Lack of transport. Select all that apply.,"0=No, 1=Yes",,
78,,,diff_politic,gems1_huas_data.sas7bdat,,,,,,,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Political unrest. Select all that apply.,"0=No, 1=Yes",Multifilter,
80,,,diff_reloc,gems1_huas_data.sas7bdat,,,,,,,C23: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Temporary relocation. Select all that apply.,"0=No, 1=Yes",Multifilter,
77,,,diff_othr,gems1_huas_data.sas7bdat,,,,,,,"C23.1: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Other, specify. Select all that apply.","0=No, 1=Yes",Multifilter,
76,,,diff_noprob,gems1_huas_data.sas7bdat,,,,,,,C23.2: Parents perception of illness and use of health care facility. Multifilter: Are there circumstances that sometimes make it difficult for you to reach your center of first choice? Never a problem. Select all that apply.,"0=No, 1=Yes, NA=NA",Multifilter,
81,,,diff_spec,gems1_huas_data.sas7bdat,,,,,,,"C23.3: Parents perception of illness and use of health care facility. Specify if diff_othr=1 (other, specify). Select all that apply.",,,
338,,,who_decid,gems1_huas_data.sas7bdat,,,,,,,"C24: Parents perception of illness and use of health care facility. If the child is sick, who decides whether the child should go to a health center. Choose only one response.","1=Mother, 10=Other relation by blood or marriage, specify, 2=Father, 3=Sister, 4=Brother, 5=Grandmother, 6=Grandfather, 7=Aunt, 8=Uncle, 9=No relation, NA=NA",,
107,,,drh2wks,gems1_huas_data.sas7bdat,Passed 3 or more abnormally loose stools in last 24hrs,EUPATH_0010410,,,,,"D25: Diarrhea history. Hs the child had an illness with diarrhea (3 or more loose or watery stools during a 24-hr period) in the last 2 weeks. If ""No"" go to part G, if ""Yes"" continue","1=No, 2=Yes",,"one of Eligibility criteria in GEMS1 project, may not correct, need to think use different label and IRI."
166,,,max_stools,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Max loose stools per day ,http://purl.obolibrary.org/obo/EUPATH_0010240,,,,,D26: Diarrhea history. What is your best estimate of the maximum number of loose stools per day your child had during his/her diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=3-6 times per dy, 2=7-10 times per day, 3=More than 10 times per day, 4=Don't know, NA=NA",,This is a variable of 'Diarrheal episodes'
173,,,mod_severe,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat",,,,,,,D26.1: Diarrhea history. Moderate to severe diarrhea (drh_sunkeneyes=2 or dhr_wrnkskin=2 or hosptrt_intfld=1 or drh_blood=2 or admit=2). Only complete for children who had diarrhea in the last 2 weeks,"1=Moderate to severe diarrhea, 2=Had diarrhea, not moderate to severe, 3=No diarrhea in the last 2 weeks, 99=Missing/error",,
89,,,drh_blood,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",Blood in stools ,http://purl.obolibrary.org/obo/EUPATH_0015059,,,,,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Blood in stool. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, 9=NOT IN CODEBOOK, NA=NA",,This variable is under 'Symptoms since illness began'. 
90,,,drh_coma,gems1_huas_data.sas7bdat,,,,,,,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Coma / loss of conciousness. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
95,,,drh_decurin,gems1_huas_data.sas7bdat,,,,,,,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Decreased urination. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,"Do we need to add a multifilter category 'symptoms during diarrhea' under ""signs and symptoms' for all variables belong to D27. Diarrhea history?"
97,,,drh_dry,gems1_huas_data.sas7bdat,,,,,,,D27: Diarrhea history. Multifilter: Did the child have any of the following symptoms during his/her diarrheal illness? Dry mouth. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=Don't know, NA=NA",Multifilter,
