variable,dataset,keepDiscard,notesforDL,type,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,Flag,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider
admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue","0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=NOT IN CODEBOOK, 9=NOT IN CODEBOOK, NA=NA",,,,,159,62,61,,response values 0 & 3 & 9 not in codebook
admit_ctr1,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E35: Health care utilization. To which hospital was the child admitted (health facility code for center of 1st choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,,,,160,63,62,,
admit_ctr1_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,NA: Health care utilization.,"0, 1",,,,,NA,79,NA,,
admit_ctr2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E35.1: Health care utilization. To which hospital was the child admitted (health facility code for center of 2nd choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,,,,161,64,63,,
admit_ctr2_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,NA: Health care utilization.,1,,,,,NA,80,NA,,
admit_ctr3,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E35.2: Health care utilization. To which hospital was the child admitted (health facility code for center of 3rd choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks,,,,,,162,65,64,,
admit_ctr3_shc,gems1_huas_lite_data_6_sites.sas7bdat,,,num,NA: Health care utilization.,,,,,,NA,81,NA,,
admit_spec,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,chr,"E35.3: Health care utilization. If the facility was not coded, specify. Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks",,,,,,163,66,65,,
advise,gems1_huas_data.sas7bdat,,,num,"E36: Health care utilization. If the child did not receive care at a hospital/health center, were you advised to take him/her to a hospital/health center. Skip if E34=yes. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E38, if yes continue","0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,,,,164,NA,NA,,response value 0 not in codebook
age,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,A06.1: Eligibility information. Age (months). 15 is used for missing day in birthdate,,,,,,363,7,72,,
age_weight,gems1_huas_data.sas7bdat,,,num,,,,,,,399,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
agecat,gems1_huas_data.sas7bdat,,,num,A06.2: Eligibility information. Age category.,"1=0 to 11 months, 2=12 to 23 months, 3=24 to 59 months, 4=60+ months, 5=Interview date missing, 6=Birthdate missing or invalid, 7=<0 months",,,,,364,NA,NA,,
agegender,gems1_huas_data.sas7bdat,,,num,A06.3: Eligibility information. Age/gender category.,"1=Male, 0-11 months, 2=Female, 0-11 months, 3=Male, 12-23 months, 4=Female, 12-23 months, 5=Male, 24-59 months, 6=Female, 24-59 months, 99=Missing/error",,,,,366,NA,NA,,
agestratum,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat",,,num,A01: Eligibility information. Child's age stratum (in months) according to the census.,"0=NOT IN CODEBOOK, 1=0 to 11 months, 2=12 to 23 months, 3=24 to 59 months",,,,,11,NA,77,,response value 0 not in codebook
agree_doc,gems1_huas_data.sas7bdat,,,num,"G49: Health care attitudes. If a doctor or nurse recommended that you take your child for care at the nearest sentinel health center (specify which one), would you be likely to agree to do this. Section G: skip for children who had diarrhea in the last 2 weeks. If yes, go to G51. If no, continue.","0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA",,,,,293,NA,NA,,response value 0 not in codebook
anydiarhea,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,415,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
aswt,gems1_huas_lite_data_6_sites.sas7bdat,,,num,,,,,,,NA,83,NA,,variable not in HUAS codebook (CRF01 HUAS)
brth_da,gems1_huas_data.sas7bdat,,,num,A06.6: Eligibility information. Day of birth.,,,,,,19,NA,NA,,
brth_date,gems1_huas_data.sas7bdat,,,date,"A06: Eligibility information. Birth date of the child. Use ""00"" for day if unknown",,,,,,17,NA,NA,,
brth_date_str,gems1_huas_data.sas7bdat,,,chr,,,,,,,16,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
brth_mo,gems1_huas_data.sas7bdat,,,num,A06.5: Eligibility information. Month of birth.,,,,,,18,NA,NA,,
brth_yr,gems1_huas_data.sas7bdat,,,num,A06.4: Eligibility information. Year of birth.,3=free text,,,,,20,NA,NA,,
care,gems1_huas_lite_data_kenya.sas7bdat,,,num,,"1, 2, 3",,,,,NA,NA,81,,variable not in HUAS codebook (CRF01 HUAS)
care1_op,gems1_huas_data.sas7bdat,,,num,E33.1: Health care utilization. What is your opinion of the care your child received at sentinel health center 1. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, NA=NA",,,,,151,NA,NA,,response value 0 not in codebook
care2_op,gems1_huas_data.sas7bdat,,,num,E33.3: Health care utilization. What is your opinion of the care your child received at sentinel health center 2. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, NA=NA",,,,,153,NA,NA,,response value 0 not in codebook
care3_op,gems1_huas_data.sas7bdat,,,num,E33.5: Health care utilization. What is your opinion of the care your child received at sentinel health center 3. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,"0=NOT IN CODEBOOK, 1=Excellent, 2=Good, 3=Fair, 4=Poor, NA=NA",,,,,155,NA,NA,,response value 0 not in codebook
carerec1,gems1_huas_data.sas7bdat,,,num,E33: Health care utilization. Health center 1 code (mention sentinel health center listed in E31.3). Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,,,,,150,NA,NA,,
carerec2,gems1_huas_data.sas7bdat,,,num,E33.2: Health care utilization. Health center 2 code (mention sentinel health center listed in E31.4). Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,,,,,152,NA,NA,,
carerec3,gems1_huas_data.sas7bdat,,,num,E33.4: Health care utilization. Health center 3 code (mention sentinel health center listed in E31.5). Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,,,,,154,NA,NA,,
careseek,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,414,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
childid,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,1. Child ID.,,,,,,2,2,6,,
chldget_blood,gems1_huas_data.sas7bdat,,,num,H55: Attitudes about diarrheal illness. Multifilter: Do you worry that your child will get one of the following before his/her 5th birthday? Bloody diarrhea.,"1=No, 2=Yes, 3=Don't know, NA=NA",,,,,321,NA,NA,,
chldget_loose,gems1_huas_data.sas7bdat,,,num,H55: Attitudes about diarrheal illness. Multifilter: Do you worry that your child will get one of the following before his/her 5th birthday? Simple loose/watery diarrhea.,"1=No, 2=Yes, 3=Don't know, NA=NA",,,,,320,NA,NA,,
chldget_rice,gems1_huas_data.sas7bdat,,,num,H55: Attitudes about diarrheal illness. Multifilter: Do you worry that your child will get one of the following before his/her 5th birthday? Rice watery/cholera-like illness.,"1=No, 2=Yes, 3=Don't know, NA=NA",,,,,322,NA,NA,,
comm_bld,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,429,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
comm_rwd,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,428,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
comm_slwd,gems1_huas_data.sas7bdat,,,num,,"0, 1",,,,,427,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
comment,gems1_huas_data.sas7bdat,,,chr,,", Day 15",,,,,362,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
common_drh,gems1_huas_data.sas7bdat,,,num,H53: Attitudes about diarrheal illness. What is the most common diarrheal illness affecting children younger than 60 months of age in your community. Select only 1,"1=Simple loose/watery diarrhea, 2=Rice watery/cholera-like illness, 3=Don't know, 4=Bloody diarrhea, 5=Other, specify, NA=NA",,,,,315,NA,NA,,
common_spec,gems1_huas_data.sas7bdat,,,chr,"H53.1: Attitudes about diarrheal illness. Other, specify.",,,,,,316,NA,NA,,
consent,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,"A03: Eligibility information. Was consent given by the parent, primary caretaker, or guardian. If ""refused"" or ""not available after 3 attempts, stop here","1=Yes, 2=Refused, 3=Not available after 3 attempts",,,,,13,10,11,,
ctr1_consult,gems1_huas_data.sas7bdat,,,num,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,230,NA,NA,,
ctr1_diag,gems1_huas_data.sas7bdat,,,num,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,232,NA,NA,,
ctr1_drug,gems1_huas_data.sas7bdat,,,num,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,231,NA,NA,,
ctr1_othr,gems1_huas_data.sas7bdat,,,num,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,234,NA,NA,,
ctr1_total,gems1_huas_data.sas7bdat,,,num,"F42.6: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,,,,235,NA,NA,,
ctr1_trnsprt,gems1_huas_data.sas7bdat,,,num,"F42.6: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from hospital/center of 1st choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,233,NA,NA,,
ctr2_consult,gems1_huas_data.sas7bdat,,,num,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,236,NA,NA,,
ctr2_diag,gems1_huas_data.sas7bdat,,,num,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,238,NA,NA,,
ctr2_drug,gems1_huas_data.sas7bdat,,,num,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,237,NA,NA,,
ctr2_othr,gems1_huas_data.sas7bdat,,,num,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,240,NA,NA,,
ctr2_total,gems1_huas_data.sas7bdat,,,num,"F42.7: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,,,,241,NA,NA,,
ctr2_trnsprt,gems1_huas_data.sas7bdat,,,num,"F42.7: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from hospital/center of 2nd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,239,NA,NA,,
ctr3_consult,gems1_huas_data.sas7bdat,,,num,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for consultation at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,242,NA,NA,,
ctr3_diag,gems1_huas_data.sas7bdat,,,num,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for diagnostics at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,244,NA,NA,,
ctr3_drug,gems1_huas_data.sas7bdat,,,num,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for drugs at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,243,NA,NA,,
ctr3_othr,gems1_huas_data.sas7bdat,,,num,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for other charges at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,247,NA,NA,,
ctr3_total,gems1_huas_data.sas7bdat,,,num,"F42.8: Health care expenses. What was the TOTAL of your or your household estimated out-of-pocket expenses at hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency. Use the ""Total"" boxes only if the respondent cannot break down the expenses. DO NOT calculate ""total"" from all the columns.",,,,,,248,NA,NA,,
ctr3_trnsprt,gems1_huas_data.sas7bdat,,,num,"F42.8: Health care expenses. What are your or your household estimated out-of-pocket expenses for transportation to/from hospital/center of 3rd choice. Only complete part F if the answer to E29 is ""yes"". Have respondent answer for only those facilities that were used in E31 and provde the expense in the local currency.",,,,,,245,NA,NA,,
dad_live,gems1_huas_data.sas7bdat,,,num,B10: Household information. Where does the child's father live.,"1=Lives in household, 2=Abroad, 3=Died, 4=Lives outside of household, 5=Whereabouts unknown",,,,,36,NA,NA,,
dayseek,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",,,num,E32: Health care utilization. On what day of the child's diarrhea did you seek care t the sentinel hospital/health center. Skip if q31_sentinel=2/3/99. Only complete for children who had diarrhea in the last 2 weeks,,,,,,149,61,60,,
dayslost_care,gems1_huas_data.sas7bdat,,,num,"F46: Health care expenses. How much time have you spent taking care of the child when otherwise you would have been doing productive unpaid activities (e.g. housework, taking care of other children, farming, studying, or attending school). Only complete part F if the answer to E29 is ""yes"". 1/2 morning or afternoon=0.25 days; morning or afternoon=0.5days; nything less than half a morning or afternoon=0 days",,,,,,271,NA,NA,,
dayslost_othrcre,gems1_huas_data.sas7bdat,,,num,"F47: Health care expenses. How much time have other caregivers spent taking care of the child when otherwise they would have been doing productive unpaid activities (e.g. housework, taking care of other children, farming, studying, or attending school). Only complete part F if the answer to E29 is ""yes"". 1/2 morning or afternoon=0.25 days; morning or afternoon=0.5days; nything less than half a morning or afternoon=0 days",,,,,,272,NA,NA,,
decid_spec,gems1_huas_data.sas7bdat,,,chr,"C24.1: Parents perception of illness and use of health care facility. Specify if who_decid=10 (other, specify).","""""=NA, ADOPTIVE FATHER=Adoptive father, ANYONE CAN DECIDE=Anyone can decide, BOTH PARENTS=Both parents, CO-WIFE=Co-wife, COUSIN=Cousin, GRAND PRER DE PAMERE=Great grandmother, GREAT GRANDMOTHER=Great grandmother, HUSBAND'S AUNT=Great Aunt, MOTHER IN LAW=Gra",,,,,98,NA,NA,,
deh_coma,gems1_huas_data.sas7bdat,,,num,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Coma/loss of conciousness. Select all that apply.,"0=No, 1=Yes",,,,,63,NA,NA,,
deh_decurin,gems1_huas_data.sas7bdat,,,num,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Decreased urination. Select all that apply.,"0=No, 1=Yes",,,,,58,NA,NA,,
deh_dk,gems1_huas_data.sas7bdat,,,num,C18.2: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Don't know. Select all that apply.,"0=No, 1=Yes",,,,,66,NA,NA,,
deh_dry,gems1_huas_data.sas7bdat,,,num,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Dry mouth. Select all that apply.,"0=No, 1=Yes",,,,,57,NA,NA,,
deh_lethrgy,gems1_huas_data.sas7bdat,,,num,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Lethargy. Select all that apply.,"0=No, 1=Yes",,,,,62,NA,NA,,
deh_none,gems1_huas_data.sas7bdat,,,num,C18.3: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  None of the above. Select all that apply.,"0=No, 1=Yes",,,,,65,NA,NA,,
deh_othr,gems1_huas_data.sas7bdat,,,num,"C18.1: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Other, specify. Select all that apply.","0=No, 1=Yes",,,,,60,NA,NA,,
deh_sunkeyes,gems1_huas_data.sas7bdat,,,num,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Sunken eyes. Select all that apply.,"0=No, 1=Yes",,,,,59,NA,NA,,
deh_thirst,gems1_huas_data.sas7bdat,,,num,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Thirsty. Select all that apply.,"0=No, 1=Yes",,,,,64,NA,NA,,
deh_wrnkskin,gems1_huas_data.sas7bdat,,,num,C18: Parents perception of illness and use of health care facility. Multifilter: What do you look for to see if a child is dehydrated?  Wrinkled skin. Select all that apply.,"0=No, 1=Yes",,,,,61,NA,NA,,
dehydr_spec,gems1_huas_data.sas7bdat,,,chr,"C18.4: Parents perception of illness and use of health care facility. Specify if deh_other=1 (other, specify). Select all that apply.",,,,,,67,NA,NA,,
dfseq1,gems1_huas_data.sas7bdat,,,num,,1,,,,,10,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfseq10,gems1_huas_data.sas7bdat,,,num,,1,,,,,257,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfseq11,gems1_huas_data.sas7bdat,,,num,,1,,,,,275,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfseq12,gems1_huas_data.sas7bdat,,,num,,1,,,,,308,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfseq13,gems1_huas_data.sas7bdat,,,num,,1,,,,,328,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfseq14,gems1_huas_data.sas7bdat,,,num,,1,,,,,348,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfseq2,gems1_huas_data.sas7bdat,,,num,,1,,,,,32,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfseq3,gems1_huas_data.sas7bdat,,,num,,1,,,,,46,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfseq4,gems1_huas_data.sas7bdat,,,num,,1,,,,,86,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfseq5,gems1_huas_data.sas7bdat,,,num,,1,,,,,103,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
dfseq6,gems1_huas_data.sas7bdat,,,num,,1,,,,,133,NA,NA,,variable not in HUAS codebook (CRF01 HUAS)
