variable,variable_huas,variable_lite,variable_kenya,dataFile,type,colOrder_huas,colOrder_lite,colOrder_kenya,notesForDL,notesForProvider,codebookValues,codebookDescription
admit,ADMIT,ADMIT,admit,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,159,62,61,,response values 0 & 3 & 9 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, 3=NOT IN CODEBOOK, 9=NOT IN CODEBOOK, NA=NA","E34: Health care utilization. Was the child admitted to a hospital/health center for treatment of diarrheal illness. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E36, if yes continue"
admit_ctr1,ADMIT_CTR1,ADMIT_CTR1,admit_ctr1,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,160,63,62,,,,E35: Health care utilization. To which hospital was the child admitted (health facility code for center of 1st choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks
admit_ctr1_shc,NA,ADMIT_CTR1_SHC,NA,gems1_huas_lite_data_6_sites.sas7bdat,num,NA,79,NA,,,"0, 1",NA: Health care utilization.
admit_ctr2,ADMIT_CTR2,ADMIT_CTR2,admit_ctr2,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,161,64,63,,,,E35.1: Health care utilization. To which hospital was the child admitted (health facility code for center of 2nd choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks
admit_ctr2_shc,NA,ADMIT_CTR2_SHC,NA,gems1_huas_lite_data_6_sites.sas7bdat,num,NA,80,NA,,,1,NA: Health care utilization.
admit_ctr3,ADMIT_CTR3,ADMIT_CTR3,admit_ctr3,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,162,65,64,,,,E35.2: Health care utilization. To which hospital was the child admitted (health facility code for center of 3rd choice). Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks
admit_ctr3_shc,NA,ADMIT_CTR3_SHC,NA,gems1_huas_lite_data_6_sites.sas7bdat,num,NA,81,NA,,,,NA: Health care utilization.
admit_spec,ADMIT_SPEC,ADMIT_SPEC,admit_spec,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",chr,163,66,65,,,,"E35.3: Health care utilization. If the facility was not coded, specify. Skip if E34=no. Only complete for children who had diarrhea in the last 2 weeks"
advise,ADVISE,NA,NA,gems1_huas_data.sas7bdat,num,164,NA,NA,,response value 0 not in codebook,"0=NOT IN CODEBOOK, 1=No, 2=Yes, NA=NA","E36: Health care utilization. If the child did not receive care at a hospital/health center, were you advised to take him/her to a hospital/health center. Skip if E34=yes. Only complete for children who had diarrhea in the last 2 weeks. If no, go to E38, if yes continue"
age,age,AGE,age,"gems1_huas_lite_data_kenya.sas7bdat, gems1_huas_data.sas7bdat, gems1_huas_lite_data_6_sites.sas7bdat",num,363,7,72,,,,A06.1: Eligibility information. Age (months). 15 is used for missing day in birthdate
