"IRI","label","displayOrder","variable","dataFile","definition","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","replaces","unitLabel","unitIRI","is_featured","hidden"
"http://purl.obolibrary.org/obo/PCO_0000024","Household","1","","","","Household","","http://www.w3.org/2002/07/owl#Thing","","","category","","","","","yes"
"http://purl.obolibrary.org/obo/EUPATH_0015001","Bicycle or rickshaw","1","house_bike","gems1_huas_data.sas7bdat","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","B17: Household information. Multifilter: Does your house have:  A bicycle. Must be functioning. Select all that apply.","0=No, 1=Yes","value","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000179","Boat with a motor","2","house_boat","gems1_huas_data.sas7bdat","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","B17: Household information. Multifilter: Does your house have:  A boat with a motor. Must be functioning. Select all that apply.","0=No, 1=Yes","value","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0000171","Car or truck","3","house_car","gems1_huas_data.sas7bdat","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","B17: Household information. Multifilter: Does your house have:  A car or truck. Must be functioning. Select all that apply.","0=No, 1=Yes","value","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0021084","Electricity","4","house_elec","gems1_huas_data.sas7bdat","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","B17: Household information. Multifilter: Does your house have:  Electricity. Must be functioning. Select all that apply.","0=No, 1=Yes","value","","","","",""
"http://purl.obolibrary.org/obo/ENVO_01000615","Motorcycle or scooter","5","house_scoot","gems1_huas_data.sas7bdat","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","B17: Household information. Multifilter: Does your house have:  A motorcycle or scooter. Must be functioning. Select all that apply.","0=No, 1=Yes","value","","","","",""
"http://purl.obolibrary.org/obo/EUPATH_0015011","None of the above","10","house_none","gems1_huas_data.sas7bdat","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","B17.1: Household information. Multifilter: Does your house have:  None of the above. Must be functioning. Select all that apply.","0=No, 1=Yes, NA=NA","value","","","","",""
"http://purl.obolibrary.org/obo/ENVO_01000577","Radio","6","house_radio","gems1_huas_data.sas7bdat","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","B17: Household information. Multifilter: Does your house have:  A radio. Must be functioning. Select all that apply.","0=No, 1=Yes","value","","","","",""
"http://purl.obolibrary.org/obo/ENVO_01000583","Refrigerator","7","house_fridge","gems1_huas_data.sas7bdat","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","B17: Household information. Multifilter: Does your house have:  A refrigerator. Must be functioning. Select all that apply.","0=No, 1=Yes","value","","","","",""
"http://purl.obolibrary.org/obo/ENVO_01000580","Telephone (mobile or non-mobile)","8","house_phone","gems1_huas_data.sas7bdat","","Household","Assets","http://purl.obolibrary.org/obo/EUPATH_0000144","B17: Household information. Multifilter: Does your house have:  A telephone (mobile or non-mobile). Must be functioning. Select all that apply.","0=No, 1=Yes","value","","","","",""
