IRI,label,variable,dataFile,displayOrder,codebookDescription,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_01000739,Habitat,Ciara_V4.txt::env_feature,Ciara_V4.txt,"","","","","",ENVO_00002297,"","","","","","","",""
OBI_0001622,Title,Ciara_V4.txt::title,Ciara_V4.txt,"","","","","","","","","","","","","",""
EUPATH_0000614,Ear thickness,Ciara_V4.txt::Thickness,Ciara_V4.txt,"","","","","","",mm,http://purl.obolibrary.org/obo/UO_0000016,"","","","","",""
EUPATH_0000619,Number of treatments,Ciara_V4.txt::No. Treatment,Ciara_V4.txt,"","","","","","","","","","","","","",""
EUPATH_0000621,Lesion size,Ciara_V4.txt::Lesion Size,Ciara_V4.txt,"","","","","","",mm squared,http://purl.obolibrary.org/obo/UO_0000082,"","","","","",""
EUPATH_0000632,Skin lesion duration,Ciara_V4.txt::Lesion Duration,Ciara_V4.txt,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
EUPATH_0000639,Study group,Ciara_V4.txt::Group,Ciara_V4.txt,"","","","","","","","","","","","","",""
EUPATH_0000640,Animal cage num in experiment,Ciara_V4.txt::Exp_Cage ID,Ciara_V4.txt,"","","","","","","","","","","","","",""
EUPATH_0009010,Animal cage num,Ciara_V4.txt::Cage ID,Ciara_V4.txt,"","","","","","","","","","","","","",""
EUPATH_0009011,Lesion score,Ciara_V4.txt::Lesion score,Ciara_V4.txt,"","","","","","","","","","","","","",""
EUPATH_0009012,Skin charateristics,Ciara_V4.txt::BodyType,Ciara_V4.txt,"","","","","","","","","","","","","",""
EUPATH_0009013,Cured,Ciara_V4.txt::Cured,Ciara_V4.txt,"","","","","","","","","","","","","",""
EUPATH_0009014,DTH testing result,Ciara_V4.txt::DTH,Ciara_V4.txt,"","","","","","",mm squared,http://purl.obolibrary.org/obo/UO_0000082,"","","","","",""
OBI_0003071,Subject ID,Ciara_V4.txt::host_subject_id,Ciara_V4.txt,"","","","","",EUPATH_0000606,"","","",everywhere,"","","",yes
OBI_0003074,Subject common name,Ciara_V4.txt::host_common_name,Ciara_V4.txt,"","","","","",EUPATH_0000512,"","","","","","","",""
OBI_0003084,Sample collection time post infection (days),Ciara_V4.txt::Days post-infection,Ciara_V4.txt,"","","","","",EUPATH_0000613,"","","","","","","",""
OGMS_0000090,Treatment,Ciara_V4.txt::Treatment,Ciara_V4.txt,"","","","","","","","","","","","","",""
PATO_0000047,Sex,Ciara_V4.txt::host_sex,Ciara_V4.txt,"","","","","","","","","","","","","",""
UBERON_0000061,Host body site,Ciara_V4.txt::body_site,Ciara_V4.txt,"","","","","","","","","","","","","",""
UBERON_0000463,Host body product,Ciara_V4.txt::body_product,Ciara_V4.txt,"","","","","","","","","","","","","",""
UBERON_0000466,Host body habitat,Ciara_V4.txt::body_habitat,Ciara_V4.txt,"","","","","","","","","","","","","",""
EUPATH_0000617,Skin type swabbed,Ciara_V4.txt::Site,Ciara_V4.txt,"","","","","","","","","","","","","",""
EUPATH_0000747,DNA extraction date,Ciara_V4.txt::ExtractionDate,Ciara_V4.txt,"","","","","","","","","","","","","",""
OBI_0100051,Sample type,Ciara_V4.txt::sample_type,Ciara_V4.txt,"","","","","","","","","","","","","",""
EUPATH_0000604,Sequencing batch,Ciara_V4.txt::run_prefix_prep,Ciara_V4.txt,"","","","","","","","","","","","","",""
SO_0001000,Region of 16S rRNA sequenced,Ciara_V4.txt::region,Ciara_V4.txt,"","","","","","","","","","","","","",""
