IRI,label,variable,dataFile,category,parentLabel,displayOrder,codebookDescription,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_01000739,Habitat,MALED_healthy.txt::env_feature,MALED_healthy.txt,Community,Environment information,,,,,,ENVO_00002297,,,,,,,,
ENVO_00000009,Country,MALED_healthy.txt::country,MALED_healthy.txt,Community,Geographic location,,,,,,,,,yes,,,,,
EUPATH_0011894,Height-for-age z-score,MALED_healthy.txt::HAZ,MALED_healthy.txt,Participant,Anthropometry,,,yes,,,,,,,,,,,
EUPATH_0000733,Weight-for-age z-score,MALED_healthy.txt::WAZ,MALED_healthy.txt,Participant,Anthropometry,,,yes,,,,,,,,,,,
EUPATH_0011895,Weight-for-height z-score,MALED_healthy.txt::WHZ,MALED_healthy.txt,Participant,Anthropometry,,,yes,,,,,,,,,,,
OBI_0001169,Age,MALED_healthy.txt::Age (months),MALED_healthy.txt,Participant,Demographics,,,yes,yes,yes,,months,http://purl.obolibrary.org/obo/UO_0000035,yes,,,,,
OBI_0003071,Subject ID,MALED_healthy.txt::Child ID,MALED_healthy.txt,Participant,Participant,,,,,,,,,,everywhere,,,,yes
UBERON_0000466,Host body habitat,MALED_healthy.txt::body_habitat,MALED_healthy.txt,Sample,Sample,,,,,,,,,,,,,,
UBERON_0000463,Host body product,MALED_healthy.txt::body_product,MALED_healthy.txt,Sample,Sample,,,,,,,,,,,,,,
UBERON_0000061,Host body site,MALED_healthy.txt::body_site,MALED_healthy.txt,Sample,Sample,,,,,,,,,,,,,,
OBI_0100051,Sample type,MALED_healthy.txt::sample_type,MALED_healthy.txt,Sample,Sample details,,,,,,,,,,,,,,
EUPATH_0009025,SRA Sample ID,MALED_healthy.txt::SRA_Sample,MALED_healthy.txt,Sample,Sample details,,,,,,,,,,variableTree,,,,
SO_0001000,Region of 16S rRNA sequenced,MALED_healthy.txt::region,MALED_healthy.txt,Sequencing assay,Sequencing,,,,,,,,,,,,,,
EUPATH_0009026,SRA Run ID,MALED_healthy.txt::Run,MALED_healthy.txt,Sequencing assay,Sequencing,,,,,,,,,,variableTree,,,,
EUPATH_0009027,SRA Experiment ID,MALED_healthy.txt::Experiment,MALED_healthy.txt,Sequencing assay,Sequencing assay,,,,,,,,,,variableTree,,,,
EUPATH_0009358,Sample notes,MALED_healthy.txt::sample_notes,MALED_healthy.txt,Sample,Sample details,,,,,,,,,,variableTree,,,,
OBI_0001616,Provider Sample ID,,MALED_healthy.txt,,,,,,,,,,,,everywhere,,,,
EUPATH_0009017,Duplicate ClinEpi sample ID,,MALED_healthy.txt,,,,,,,,,,,,everywhere,,,,
EUPATH_0009359,ClinEpiDB.org study,MALED_healthy.txt::clinepidb_study,MALED_healthy.txt,Sample,Sample details,,Name of the corresponding study on ClinEpiDB.org where additional clinical and/or epidemiological data for this sample can be found.,,,,,,,yes,,,,,
