colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,newLabel
1,,,site,umsp,http://purl.obolibrary.org/obo/EUPATH_0000406,Clinic location,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,Site or health facility,"11 - Aduku
15 - Kamwezi
16 - Kasambya
17 - Kihihi
19 - Nagongera
20 - Walukuba
30 - Amolatar
31 - Dokolo
32 - Anyeke
34 - Orum
35 - Alebtong
36 - Aboke
40 - Awach
41 - Lalogi
42 - Patongo
43 - Pajule
44 - Atiach
45 - Padibe
46 - Namukorwa
47 - Opia
50 - Maddu
51 - Kakuuto
52 - Bbaale
53 - Semuto
54 - Kigorobya
55 - Kibaale
56 - Karambi
57 - Kataraka
58 - Kaserem
59 - Lumino
60 - Lokolia
62 - Toroma
63 - Lobule
64 - Nadunget
65 - Koch Goma",variable,,,,
2,,,date,umsp,http://purl.obolibrary.org/obo/EUPATH_0000091,Clinical visit date,,observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,Date of visit,,variable,,,,
3,,,parish,umsp,http://purl.obolibrary.org/obo/EUPATH_0040014,Parish,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,Village code,,variable,,,,
3,,,village,umsp,http://purl.obolibrary.org/obo/EUPATH_0000452,Village,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,Village code,,variable,,,,
4,,,age,umsp,http://purl.obolibrary.org/obo/EUPATH_0000113,Age,Age since birth at time of visit,participant,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,Age in years,,variable,,,,
5,,,agecategories,umsp,http://purl.obolibrary.org/obo/EUPATH_0000113,Age category,,participant,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,Age categories,"0 - < 5 years 
1 - 5-15 years
2 - > 15 years
3 - age missing",variable,,,,
6,,,sex,umsp,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,Sex of patient,"0 - Male
1 - Female
9 - Missing",variable,,,,
7,,,weight,umsp,http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),,observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Weight in kg,0 - missing,variable,,,,
8,,,height,umsp,http://purl.obolibrary.org/obo/EUPATH_0000175,Height (cm),,observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Height in cm,0 - missing,variable,,,,
9,,,paliativecare,,http://purl.obolibrary.org/obo/EUPATH_0040011,Palliative care referal ,,observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Whether patient refered for palliative care,"1 - Yes
0 - No
9 - Missing",variable,,,,
11,,,tobaccouse,,http://purl.obolibrary.org/obo/EUPATH_0040016,Reported tobacco use,,observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Tobacco use,"1 - Yes
0 - No
9 - Missing",variable,,,,
12,,,alcoholuse,,http://purl.obolibrary.org/obo/EUPATH_0040017,Reported alcohol use,,observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Alcohol use,"1 - Yes
0 - No
9 - Missing",variable,,,,
13,,,fever,umsp,http://purl.obolibrary.org/obo/EUPATH_0000100,Subjective fever,,observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Subjective fever,"1 - Yes
0 - No
9 - Missing",variable,,,,
14,,,malariatestdone,umsp,http://purl.obolibrary.org/obo/EUPATH_0040010,Plasmodium test type,,sample,Microbiology tests performed,http://purl.obolibrary.org/obo/EUPATH_0011800,Type of malaria test done,"1 - Microscopy
2 - RDT
3 - Not Done
9 - Missing",variable,,can a person have both?,,
