Term Ontology IRI	Display Label	Term parent ontology IRI	Term parent display label	Data Dictionary Label (es)	Column Name (es)	Term Type	Data Dictionary Label (en)	Amazonia Preferred Label (en)	form	file_name_in_box.net	table	quest_num_in forms	values	time_of_collection
				EUPATH_0000263	eupath/icemr.owl#column_name	EUPATH_0000271	EUPATH_0000332	EUPATH_0000264	eupath/icemr/amazonia.owl#form	eupath/icemr/amazonia.owl#file_name_in_box_net	eupath/icemr/amazonia.owl#table	eupath/icemr/amazonia.owl#quest_num_in_forms	eupath/icemr/amazonia.owl#allow_values	eupath/icemr/amazonia.owl#collection
http://purl.obolibrary.org/obo/EUPATH_0000339	Animal Information	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	Información de los Animales		category	Animal Information							
http://purl.obolibrary.org/obo/OGMS_0000015	Clinical History	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	Historial clinico		category	Clinical History							
http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	http://www.w3.org/2002/07/owl#Thing		Vivienda		category	Dwelling							
http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	Instalaciones		category	Facilities							
http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	http://www.w3.org/2002/07/owl#Thing		Ubicación geográfica		category	Geographic location							
http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	Descubrimientos de laboratorio		category	Laboratory Findings							
http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	Medicación		category	Medication							
http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	http://www.w3.org/2002/07/owl#Thing		Partícipe		category	Participant							
http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	Participante Detalles del estudio		category	Participant Study Details							
http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	Características físicas		category	Physical Characteristics							
http://purl.obolibrary.org/obo/OGMS_0000083	Physical Examination	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	Examen físico		category	Physical Examination							
http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	Factores socioeconómicos		category	Socioeconomic Factors							
http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	Los síntomas		category	Symptoms							
http://purl.obolibrary.org/obo/EUPATH_0000340	Traveling Details	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	Detalles que viajan		category	Traveling Details							
http://purl.obolibrary.org/obo/EUPATH_0000341	Vector Intervention	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	Intervención del vector		category	Vector Intervention							
http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	http://www.w3.org/2002/07/owl#Thing		Visitar		category	Visit							
http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	visita detalles		category	Visit Details							
http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	Detalles de Empleo		category	Employment Details	Employment Details						
http://purl.obolibrary.org/obo/EUPATH_0000343	Animals on property	http://purl.obolibrary.org/obo/EUPATH_0000339	Animal Information	Animales que viven en la casa	Animales que viven en la casa	variable	Animals on the property	Animales que viven en la casa	F1	censo_exel_proy1.xlsx	House	71	categorical, 1-2	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000346	Infections w/ p. viv	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical History	MalViv	MalViv	variable	Number of infections with P. vivax in lifetime	Número de infecciones con P. vivax en toda su vida	F1	censo_exel_proy1.xlsx	Malaria	23	numerical/77=not remember)	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000347	Infections w/ p. viv last year	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical History	MalVivano	MalVivano	variable	Number of infections with P. vivax in the last year	Número de infecciones con P. vivax en el último año	F1	censo_exel_proy1.xlsx	Malaria	24	numerical/77=not remember)	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000348	Infections w/ p.fal	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical History	MalFal	MalFal	variable	Number of infections with P. falciparum in lifetime	Número de infecciones con P. falciparum en toda su vida	F1	censo_exel_proy1.xlsx	Malaria	25	numerical/77=not remember)	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000349	Infections w/ p.fal last year	http://purl.obolibrary.org/obo/OGMS_0000015	Clinical History	MalFalano	MalFalano	variable	Number of infections with P. falciparum in the last year	Número de infecciones con P. falciparum en el último año	F1	censo_exel_proy1.xlsx	Malaria	26	numerical/77=not remember)	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000350	Days worked per week (Primary)	http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	diassemp	diassemp	variable	Number of days per week at job	Dias por semana de trabajo	F1	censo_exel_proy1.xlsx	Labor	35	numerical/99=NA	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000351	Days worked per week (Secondary)	http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	diasseml	diasseml	variable	Number of days per week at other job	Dias por semana de otro trabajo	F1	censo_exel_proy1.xlsx	Labor	43		only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000354	Job (Primary)	http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	traprin	traprin	variable	Primary economic activity	Principal actividad económica	F1	censo_exel_proy1.xlsx	Labor	34	categorical, 1-14/99=NA	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000355	Job (Secondary)	http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	lab	lab	variable	Secondary activity	Especificar otro trabajo	F1	censo_exel_proy1.xlsx	Labor	42	categorical, 1-14/99=NA	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000356	Job description (Primary)	http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	destra	destra	variable	Job description	Descripción de trabajo	F1	censo_exel_proy1.xlsx	Labor	33	text/99=NA	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000357	Job description (Secondary)	http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	labotr	labotr	variable	Other job description 	Especificar otro trabajo (opcion 14)	F1	censo_exel_proy1.xlsx	Labor	42.14	text	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000358	Job in the last month (Secondary)	http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	Otrlab	Otrlab	variable	Other economic activity in the last month (secondary activity)	Otro trabajo en el último mes	F1	censo_exel_proy1.xlsx	Labor	41	categorical, 1-2	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000359	Occupation	http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	trabaj	trabaj	variable	Type of occuaption	Tipo de trabajo	F1	censo_exel_proy1.xlsx	Labor	32	categorical, 1-6	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000360	Pay period (Primary)	http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	Frepagp	Frepagp	variable	Pay period (primary activity)	Frecuencia de pago	F1	censo_exel_proy1.xlsx	Labor	40	categorical, 1-5/99=NA	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000361	Pay period (Secondary)	http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	Frepagl	Frepagl	variable	Pay period (Other job)	Frecuencia de pago del otro trabajo	F1	censo_exel_proy1.xlsx	Labor	48	categorical, 1-5/99=NA	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000362	Received payment (Primary)	http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	Recpagp	Recpagp	variable	Received payment (primary activity)	Recibe un pago por su actividad principal	F1	censo_exel_proy1.xlsx	Labor	38	categorical, 1-2/99=NA	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000363	Received payment (Secondary)	http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	Recpagl	Recpagl	variable	Received payment (Other job)	Recibe un pago por el otro trabajo	F1	censo_exel_proy1.xlsx	Labor	46	categorical, 1-2/99=NA	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000364	Salary in soles (Primary)	http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	Cantip	Cantip	variable	Salary in soles (primary activity)	Ingresos en soles	F1	censo_exel_proy1.xlsx	Labor	39	numerical/99=NA	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000365	Salary in soles (Secondary)	http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	Cantil	Cantil	variable	Salary in soles (Other job)	Cantidad en soles del otro trabajo	F1	censo_exel_proy1.xlsx	Labor	47	numerical/99=NA	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000366	Work Hours/Day (Primary)	http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	Hordiap	Hordiap	variable	Number of hours per day at job	Horas por dia de trabajo	F1	censo_exel_proy1.xlsx	Labor	36	numerical/99=NA	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000367	Work Hours/Day (Secondary)	http://purl.obolibrary.org/obo/EUPATH_0000342	Employment Details	Hordial	Hordial	variable	Number of hours per day at other job	Horas por dia de otro trabajo	F1	censo_exel_proy1.xlsx	Labor	44	numerical/99=NA	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000023	Cooking fuel	http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	combus	combus	variable	Cooking fuel	Combustible para cocinar	F1	censo_exel_proy1.xlsx	House	63	categorical, 1-5	only at enrollment
http://purl.obolibrary.org/obo/ENVO_00003064	Drinking water source	http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	fueagu	fueagu	variable	Drinking water source	Fuente de agua	F1	censo_exel_proy1.xlsx	House	56	categorical, 1-10	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000368	Garbage disposal	http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	basu	basu	variable	Garbage disposal	Eliminación de basura	F1	censo_exel_proy1.xlsx	House	62	categorical, 1-6	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000335	Human waste disposal	http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	excre	excre	variable	Excreta disposal	Eliminación de excretas	F1	censo_exel_proy1.xlsx	House	64	categorical, 1-7	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000369	Community	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	Codmunidad	Codmunidad	variable	Community	Comunidad	F1	censo_exel_proy1.xlsx	House location	3.1	text encoded, categorical	only at enrollment
http://purl.obolibrary.org/obo/EUPATH_0000370	Study location	http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	areest	areest	variable	Study location	Area del estudio	F1	censo_exel_proy1.xlsx	House location	1	categorical, 1-2	only at enrollment
