Isolate source	Isolate source category	Mapped Ontology Term IRI	Mapped Ontology Term Label
a blood of field rodent	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
avian blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
bird blood	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood (Buffy coat layer)	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood (erythrocyte asexual stage)	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood blot of infected patient	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood cell of female dairy cow	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood cells of a dairy cow	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood cells of female dairy cow	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood day 0	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood day 14	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood day 21	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood day 28	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood day 35	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood day 42	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood day 7	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood donor	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from 18-year old female sheep	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from 1-year old female sheep	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from 1-year old male cow	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from 3-year old female goat	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from 4-month old female goat	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from 5-year old female cow	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from 6-year old female cow	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from 7-month old female lamb	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from 7-month old male calf	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from 7-year old female cow	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from 7-year old male cow	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from 9-month old female sheep	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from a dog	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from a hospitalized woman	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
Blood from a Japanese patient	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from a malaria patient	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Agelaius phoeniceus	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Alethe diademata	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Andropadus latirostris and Phyllastrephus laterinus	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from animal with a subclinical infection	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from animal with acute, fatal babesiosis	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from animal with clinical babesiosis	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Apodemus speciosus Aw3	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Apodemus speciosus Hatahiyodori	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Apodemus speciosus Takanosu16	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Apodemus speciosus Tsukiyo2	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Baelophus bicolor	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from brown bear 1021	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Brown Bear As5804	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from cattle	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Cinclocerthia ruficauda	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Coereba flaveola	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from dog 5319	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from dog 5332	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from from Burmese man coinfected with Leishmania sp. 'siamensis' and HIV	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from goat No. 4	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from goat No. 6	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Helmitheros vermivorus and Dendroica magnolia	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from infected patient	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from Loxigilla noctis	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from malaria patient	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
blood from mink AS4904	blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood
