Ontology Term IRIs	Ontology Term Label	EuPathDB Preferred Labels	PRISM variables
http://purl.obolibrary.org/obo/EUPATH_0000026	land area measured in acres	# acres	NUMALAND
http://purl.obolibrary.org/obo/EUPATH_0000027	number of meals per day	# meals / day	HHMEALS
http://purl.obolibrary.org/obo/EUPATH_0000028	number of days eating meat in a week	# meat meals / wk	HHNUMT
http://purl.obolibrary.org/obo/EUPATH_0000019	number of people per household	# people / household	NUMPEOP
http://purl.obolibrary.org/obo/EUPATH_0000025	number of rooms	# rooms	HHROOMS
http://purl.obolibrary.org/obo/EUPATH_0000031	number of female anopheles mosquitoes by CDC trap	#F anopheles (CDC trap)	
http://purl.obolibrary.org/obo/OBI_0001169	age since birth measurement datum	age	age
http://purl.obolibrary.org/obo/EUPATH_0000113	age since birth at time of visit	age at time of visit	
http://purl.obolibrary.org/obo/EUPATH_0000018	air brick	air brick	
http://purl.obolibrary.org/obo/EUPATH_0000063	artemether-lumefantrine drug product	artemether-lumefantrine	Coartem (Artemether-lumefantrine)
http://purl.obolibrary.org/obo/EUPATH_0000089	diagnosis of asymptomatic parasitemia	asymptomatic parasitemia	
http://purl.obolibrary.org/obo/EUPATH_0000034	alpha thalassemia genotype	a-thalassemia genotype	alphathal
http://purl.obolibrary.org/obo/EUPATH_0000126	sample available information	available sample	
http://purl.obolibrary.org/obo/EUPATH_0000116	average number of female Anoepheles	avg F Anopheles	
http://purl.obolibrary.org/obo/EUPATH_0000118	average number of sporozoite-positive female Anopheles	avg num F Anopheles positive	
http://purl.obolibrary.org/obo/EUPATH_0000117	average number of female Anopheles tested for sporozoite	avg num F Anopheles tested	
http://purl.obolibrary.org/obo/EUPATH_0000114	average asexual parasite density of a participant with asymptomatic parasitemia	avg parasite density with asymp parasitemia	
http://purl.obolibrary.org/obo/EUPATH_0000115	average asexual parasite density of a participant with malaria	avg parasite density with malaria	
http://purl.obolibrary.org/obo/EUPATH_0000119	average sporozoite rate of female Anopheles	avg sporozoite rate	
http://purl.obolibrary.org/obo/EUPATH_0000048	blood smear reading as positive or negative	blood smear reading (+/-)	Bsdich
http://purl.obolibrary.org/obo/OBIB_0000036	buffy coat specimen	buffy coat	
http://purl.obolibrary.org/obo/EUPATH_0000001	building material	building material	
http://purl.obolibrary.org/obo/DRON_00021246	Chloroquine Injectable Solution	chloroquine (injectable)	
http://purl.obolibrary.org/obo/DRON_00021247	Chloroquine Oral Tablet	chloroquine (oral)	
http://purl.obolibrary.org/obo/EUPATH_0000049	clinical visit	visit type	visittype
http://purl.obolibrary.org/obo/EUPATH_0000091	clinical visit date	clinical visit date	
http://purl.obolibrary.org/obo/EUPATH_0000040	diagnosis of complicated malaria	complicated malaria	complicatedmalaria
http://purl.obolibrary.org/obo/EUPATH_0000042	diagnoses of complicated malaria with danger signs	complicated malaria with danger signs	
http://purl.obolibrary.org/obo/EUPATH_0000023	cooking fuel material	cooking fuel type	FUELTYPE
http://purl.obolibrary.org/obo/OGMS_0000073	diagnosis	diagnosis	
http://purl.obolibrary.org/obo/EUPATH_0000030	distance to health facility in km	dist to health facility	DHFCTY
http://purl.obolibrary.org/obo/ENVO_00003064	drinking water	drinking water source	SWATER
http://purl.obolibrary.org/obo/EUPATH_0000099	dwelling facility	dwelling facility	
http://purl.obolibrary.org/obo/EUPATH_0000093	dwelling information	dwelling information	
http://purl.obolibrary.org/obo/EUPATH_0000002	dwelling	dwelling type	housetype
http://purl.obolibrary.org/obo/EUPATH_0000053	dwelling ventilation	dwelling ventilation	
http://purl.obolibrary.org/obo/EUPATH_0000015	eaves	eaves	
http://purl.obolibrary.org/obo/EUPATH_0000022	household having electricity information	electricity?	
http://purl.obolibrary.org/obo/EUPATH_0000097	febrile	febrile	febrile
http://purl.obolibrary.org/obo/EUPATH_0000100	subjective fever	fever	fever
http://purl.obolibrary.org/obo/EUPATH_0000127	blood specimen on filter paper	filter paper	
http://purl.obolibrary.org/obo/EUPATH_0000006	floor material	floor material	
http://purl.obolibrary.org/obo/EUPATH_0000029	frequency of not satisfying food needs	food problems / wk	HHPSF
http://purl.obolibrary.org/obo/EUPATH_0000033	glucose 6 phosphate dehydrogenase genotype	G6PD genotype	G6PD
http://purl.obolibrary.org/obo/OBI_0001305	genotype information	genotype	
http://purl.obolibrary.org/obo/EUPATH_0000047	hemoglobin level in gm per dL	Hb (g/dl)	hemoglobin
http://purl.obolibrary.org/obo/EUPATH_0000035	sickle hemoglobin genotype	HbS genotype	hbs
http://purl.obolibrary.org/obo/EUPATH_0000094	household identifier	household ID	
http://purl.obolibrary.org/obo/EUPATH_0000087	household information	household information	
http://purl.obolibrary.org/obo/EUPATH_0000014	household wealth index	household wealth index	wealth_index
http://purl.obolibrary.org/obo/OGMS_0000018	laboratory finding	laboratory finding	
http://purl.obolibrary.org/obo/EUPATH_0000024	lighting material	lighting type	SENERGY
http://purl.obolibrary.org/obo/EUPATH_0000090	diagnosis of malaria - unspecified	malaria	anymalaria
http://purl.obolibrary.org/obo/EUPATH_0000058	malaria medication	malaria medication	
http://purl.obolibrary.org/obo/EUPATH_0000057	medication material	medication	
http://purl.obolibrary.org/obo/EUPATH_0000059	non-malaria medication	non-malaria medication	
http://purl.obolibrary.org/obo/EUPATH_0000120	number of CDC light trap collections	num Anopheles collections	
http://purl.obolibrary.org/obo/EUPATH_0000124	number of non-routine clinical visits	num non-routine visits	
http://purl.obolibrary.org/obo/EUPATH_0000123	number of clinical visits with asymptomatic parasitemia	num visits with asymp parasitemia	
http://purl.obolibrary.org/obo/EUPATH_0000122	number of clinical visits resulting in a malaria diagnosis	num visits with malaria	
http://purl.obolibrary.org/obo/EUPATH_0000092	asexual parasite density in count per ul	parasite density	parasitedensity
http://purl.obolibrary.org/obo/EUPATH_0000096	participant characteristics	participant characteristics	
http://purl.obolibrary.org/obo/EUPATH_0000095	human participant identifier	participant ID	
http://purl.obolibrary.org/obo/EUPATH_0000128	peripheral blood mononuclear cell specimen	PBMC	
http://purl.obolibrary.org/obo/OBI_0100016	blood plasma specimen	plasma	
http://purl.obolibrary.org/obo/EUPATH_0000062	quinine drug product	quinine	Quinine injection, Quinine tablets
http://purl.obolibrary.org/obo/EUPATH_0000129	red blood cell specimen	RBC pellet	
http://purl.obolibrary.org/obo/EUPATH_0000003	roof material	roof material	
http://purl.obolibrary.org/obo/EUPATH_0000050	routine clinical visit	routine clinical visit	routinevisit
http://purl.obolibrary.org/obo/EUPATH_0000043	diagnosis of severe malaria	severe malaria	
http://purl.obolibrary.org/obo/EUPATH_0000046	severe malaria symptom or sign	severe malaria symptom	sevmalcat
http://purl.obolibrary.org/obo/PATO_0000047	biological sex	sex	gender, SEX
http://purl.obolibrary.org/obo/EUPATH_0000036	diagnosis of malaria	symptomatic malaria	
http://purl.obolibrary.org/obo/EUPATH_0000110	organismal body temperature measurement datum	temperature	temperature
http://purl.obolibrary.org/obo/EUPATH_0000021	toilet	toilet type	TFACLTY
http://purl.obolibrary.org/obo/EUPATH_0000125	number of routine clinical visits	total num routine visits	
http://purl.obolibrary.org/obo/EUPATH_0000121	number of clinical visits	total num visits	
http://purl.obolibrary.org/obo/EUPATH_0000054	county in Uganda	County in Uganda	district, siteid
http://purl.obolibrary.org/obo/EUPATH_0000038	diagnosis of uncomplicated malaria	uncomplicated malaria	uncomplicatedmalaria
http://purl.obolibrary.org/obo/EUPATH_0000088	diagnosis of uncomplicated malaria in the 1st trimester of pregnancy	uncomplicated malaria with pregnancy	
http://purl.obolibrary.org/obo/EUPATH_0000009	wall material	wall material	
http://purl.bioontology.org/ontology/MEDDRA/10017076	Fracture	fracture (bone)	
http://purl.bioontology.org/ontology/SNOMEDCT/125666000	Burn	burns	
http://purl.bioontology.org/ontology/SNOMEDCT/125670008	Foreign body	foreign body	
http://purl.bioontology.org/ontology/SNOMEDCT/128936008	Bacterial infection of skin	bacterial skin infection	
http://purl.bioontology.org/ontology/SNOMEDCT/282026002	Soft tissue injury	soft tissue injury	
http://purl.bioontology.org/ontology/SNOMEDCT/31986002	Animal bite	animal bite	
http://purl.bioontology.org/ontology/SNOMEDCT/7520000	Pyrexia of unknown origin	fever without source (fws)	
http://purl.obolibrary.org/obo/DOID_0050134	cutaneous mycosis	skin infection, fungal	
http://purl.obolibrary.org/obo/DOID_0050288	penicilliosis	penicilliosis	
http://purl.obolibrary.org/obo/DOID_0050486	exanthem	rash, allergic	
http://purl.obolibrary.org/obo/DOID_0060312	angular cheilitis	angular chelitis	
http://purl.obolibrary.org/obo/DOID_0060320	inguinal hernia	hernia - inguinal	
http://purl.obolibrary.org/obo/DOID_0060322	mastoiditis	mastoiditis	
http://purl.obolibrary.org/obo/DOID_0060324	dental abscess	dental abscess	
http://purl.obolibrary.org/obo/DOID_10003	sensorineural hearing loss	hearing loss / deficit	
http://purl.obolibrary.org/obo/DOID_10264	mumps	mumps	
http://purl.obolibrary.org/obo/DOID_10301	parotitis	parotitis	
http://purl.obolibrary.org/obo/DOID_10456	tonsillitis	tonsillitis	
http://purl.obolibrary.org/obo/DOID_10459	common cold	common cold / flu	
http://purl.obolibrary.org/obo/DOID_10754	otitis media	otitis media - nonsuppurative or otitis media - suppurative	
http://purl.obolibrary.org/obo/DOID_11338	tetanus	tetanus	
http://purl.obolibrary.org/obo/DOID_1176	bronchial disease	bronchospasm	
http://purl.obolibrary.org/obo/DOID_1227	neutropenia	neutropenia - general	
http://purl.obolibrary.org/obo/DOID_12328	marasmus	marasmus	
http://purl.obolibrary.org/obo/DOID_12365	malaria	malaria	
http://purl.obolibrary.org/obo/DOID_12384	dysentery	dysentery	
http://purl.obolibrary.org/obo/DOID_13117	paronychia	nail infection, fungal or paronychia	
http://purl.obolibrary.org/obo/DOID_13148	acute cystitis	urinary tract infection	
http://purl.obolibrary.org/obo/DOID_13250	diarrhea	diarrhea - acute or diarrhea - persistent (> 14 days)	
http://purl.obolibrary.org/obo/DOID_13258	typhoid fever	typhoid	
http://purl.obolibrary.org/obo/DOID_1456	glossitis	glossitis	
http://purl.obolibrary.org/obo/DOID_1498	cholera	cholera	
http://purl.obolibrary.org/obo/DOID_1508	candidiasis	candiasis - oral	
http://purl.obolibrary.org/obo/DOID_1555	urticaria	urticaria	
http://purl.obolibrary.org/obo/DOID_1602	lymphadenitis	lymphadenitis	
http://purl.obolibrary.org/obo/DOID_2089	constipation	constipation	
http://purl.obolibrary.org/obo/DOID_216	dental caries	dental caries	
http://purl.obolibrary.org/obo/DOID_2176	carbuncle	carbuncle/furuncle	
http://purl.obolibrary.org/obo/DOID_2275	pharyngitis	pharyngitis or upper respiratory tract infection (urti)	
http://purl.obolibrary.org/obo/DOID_2321	dyspepsia	dyspepsia / gastritis	
http://purl.obolibrary.org/obo/DOID_2326	gastroenteritis	gastroenteritis	
http://purl.obolibrary.org/obo/DOID_2355	anemia	anaemia - general	
http://purl.obolibrary.org/obo/DOID_2723	dermatitis	dermatitis - atopic or dermatitis - papular pruiritic eruptions or dermatitis - seborrhoeic or dermatitis - unspecified	
http://purl.obolibrary.org/obo/DOID_2841	asthma	asthma exacerbation	
http://purl.obolibrary.org/obo/DOID_2942	bronchiolitis	bronchiolitis	
http://purl.obolibrary.org/obo/DOID_3087	gingivitis	gingivitis - acute necrotizing ulcerative or gingivitis - unspecified	
http://purl.obolibrary.org/obo/DOID_3128	anus disease	anal fissure	
http://purl.obolibrary.org/obo/DOID_3488	cellulitis	cellulitis	
http://purl.obolibrary.org/obo/DOID_4337	tinea capitis	tinea capitis	
http://purl.obolibrary.org/obo/DOID_4409	folliculitis	folliculitis	
http://purl.obolibrary.org/obo/DOID_4481	allergic rhinitis	allergic rhinitis	
http://purl.obolibrary.org/obo/DOID_4989	pancreatitis	pancreatitis	
http://purl.obolibrary.org/obo/DOID_5330	dental pulp disease	pulp space infection	
http://purl.obolibrary.org/obo/DOID_552	pneumonia	pneumonia or Pneumonia - severe	
http://purl.obolibrary.org/obo/DOID_6195	conjunctivitis	conjunctivitis	
http://purl.obolibrary.org/obo/DOID_6196	reactive arthritis	reactive arthritis	
http://purl.obolibrary.org/obo/DOID_750	peptic ulcer disease	peptic ulcer disease	
http://purl.obolibrary.org/obo/DOID_824	periodontitis	periodontitis - acute necrotizing ulcerative or periodontitis - unspecified	
http://purl.obolibrary.org/obo/DOID_8295	scabies	scabies	
http://purl.obolibrary.org/obo/DOID_848	arthritis	arthritis	
http://purl.obolibrary.org/obo/DOID_8504	impetigo	impetigo	
http://purl.obolibrary.org/obo/DOID_8506	bullous pemphigoid	pemphigoid	
http://purl.obolibrary.org/obo/DOID_8536	herpes zoster	herpes zoster	
http://purl.obolibrary.org/obo/DOID_8566	herpes simplex	herpes simplex - orolabial	
http://purl.obolibrary.org/obo/DOID_8622	measles	measles or measles-like illness	
http://purl.obolibrary.org/obo/DOID_8659	chickenpox	chicken pox	
http://purl.obolibrary.org/obo/DOID_8672	viral exanthem	viral exanthem (not otherwise specified)	
http://purl.obolibrary.org/obo/DOID_876	pyomyositis	pyomyositis	
http://purl.obolibrary.org/obo/DOID_883	parasitic helminthiasis infectious disease	helminth infection	
http://purl.obolibrary.org/obo/DOID_9307	rectal prolapse	rectal prolapse	
http://purl.obolibrary.org/obo/DOID_9368	keratoconjunctivitis	keratoconjunctivitis	
http://purl.obolibrary.org/obo/DOID_9463	otitis externa	otitis externa	
http://purl.obolibrary.org/obo/DOID_9471	meningitis	meningitis - bacterial	
http://purl.obolibrary.org/obo/DOID_9663	aphthous stomatitis	oral ulcers - recurrent or oral ulcers - single episode	
http://purl.obolibrary.org/obo/DOID_9909	hordeolum	stye	
http://purl.obolibrary.org/obo/DOID_9993	hypoglycemia	hypoglycaemia	
http://purl.obolibrary.org/obo/EUPATH_0000037	presence of bacteria in the blood	bacteremia	
http://purl.obolibrary.org/obo/EUPATH_0000039	presence of virus in the blood	viremia	
http://purl.obolibrary.org/obo/HP_0000421	Epistaxis	epistaxis	
http://purl.obolibrary.org/obo/HP_0000692	Misalignment of teeth	mal-aligned teeth	
http://purl.obolibrary.org/obo/HP_0000989	Pruritus	pruritis	
http://purl.obolibrary.org/obo/HP_0001944	Dehydration	dehydration	
http://purl.obolibrary.org/obo/HP_0002013	Vomiting	vomiting	
http://purl.obolibrary.org/obo/HP_0002027	Abdominal pain	abdominal pain - unspecified	
http://purl.obolibrary.org/obo/HP_0002315	Headache	headache - unspecified	
http://purl.obolibrary.org/obo/HP_0003249	Genital ulcers	genital ulcer, unspecified	
http://purl.obolibrary.org/obo/HP_0004395	Malnutrition	malnutrition - moderate or malnutrition - severe	
http://purl.obolibrary.org/obo/HP_0011801	Enlargement of parotid gland	parotid enlargement or parotid enlargement - hiv related	
http://purl.obolibrary.org/obo/HP_0011848	Abdominal colic	abdominal colic	
http://purl.obolibrary.org/obo/HP_0012531	Pain	pain	
http://purl.obolibrary.org/obo/HP_0100845	Anaphylactic shock	anaphylactic reaction	
http://purl.obolibrary.org/obo/HP_0200039	Skin pustule	pustular skin infection	
http://purl.obolibrary.org/obo/HP_0200043	Verrucae	wart, flat (verruca planus)	
http://purl.obolibrary.org/obo/SYMP_0000174	wasting	wasting, unexplained severe	
http://purl.obolibrary.org/obo/SYMP_0000475	underweight	underweight	
http://purl.obolibrary.org/obo/SYMP_0000596	convulsion	convulsion / seizure	
http://purl.obolibrary.org/obo/SYMP_0000672	abscess	abscess	
http://purl.obolibrary.org/obo/SYMP_0019148	septicemia	septicaemia	
http://www.ebi.ac.uk/efo/EFO_0000546	injury	wound	
http://purl.obolibrary.org/obo/EUPATH_0000032	date of birth		dob
