"colOrder","variable","dataFile","IRI","label","definition","category","parentIRI","parentLabel","codebookDescription","codebookValues","termType","notesForOnt","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth"
"1","mordor_mortality_public::phase","mordor_mortality_public","","study phase","","Community","","","Inter-census interval number","","variable","","yes","yes","","mordor","","","yes","","","","",""
"2","mordor_mortality_public::district","mordor_mortality_public","","district of study area","","Community","","","District of study area","","variable","","","","","mordor","","","","","","","",""
"3","mordor_mortality_public::csi","mordor_mortality_public","","CSI of study area","","Community","","","CSI of study area","","variable","","","","","mordor","","","","","","","",""
"4","mordor_mortality_public::clusterid","mordor_mortality_public","","cluster/community ID","","Community","","","Unique cluster ID C1 to C594","","variable","","yes","","","mordor","","","yes","","","","",""
"5","mordor_mortality_public::childid","mordor_mortality_public","","chid/individual ID","","Participant","","","Unique child ID M1 to M164019","","variable","","yes","","","mordor","","","","","","","",""
"8","mordor_mortality_public::gender","mordor_mortality_public","http://purl.obolibrary.org/obo/PATO_0000047","sex","","Participant","http://purl.obolibrary.org/obo/EUPATH_0010981","Demographics","Child gender","","variable","","","","","mordor","","","","","","","",""
"9","mordor_mortality_public::begin.dose","mordor_mortality_public","","dose at enrollment","","Participant","","","Treatment dose at beginning census","","variable","","yes","","","mordor","","","","","","","",""
"11","mordor_mortality_public::begin.age","mordor_mortality_public","","age at enrollment","","Participant","http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details","Child age at beginning census","","variable","","yes","","","mordor","months","http://purl.obolibrary.org/obo/UO_0000035","","","","","",""
"12","mordor_mortality_public::end.age","mordor_mortality_public","","age at endpoint","","Participant","http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details","Child age at end census","","variable","","","","","mordor","months","http://purl.obolibrary.org/obo/UO_0000035","","","","","",""
"13","mordor_mortality_public::begin.weight","mordor_mortality_public","","weight at enrollment","","Participant","http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","Child weight at beginning census","","variable","","yes","","","mordor","kg","http://purl.obolibrary.org/obo/UO_0000009","","","","","",""
"14","mordor_mortality_public::end.weight","mordor_mortality_public","","weight at endpoint","","Participant","http://purl.obolibrary.org/obo/EUPATH_0000649","Anthropometry","Child weight at end census","","variable","","yes","","","mordor","kg","http://purl.obolibrary.org/obo/UO_0000009","","","","","",""
"6","mordor_mortality_public::mort","mordor_mortality_public","","Indicator of child mortality, recorded at end census","","Participant","","","Indicator of child mortality, recorded at end census","","variable","","yes","","","mordor","","","","","","","",""
"7","mordor_mortality_public::moved","mordor_mortality_public","","Indicator of children's relocation, recorded at end census","","Participant","","","Indicator of whether the child moved during the inter-census interval, recorded at end census","","variable","","yes","","","mordor","","","","","","","",""
"15","mordor_mortality_public::death.date","mordor_mortality_public","http://purl.obolibrary.org/obo/EUPATH_0000150","date of death","","Participant","http://purl.obolibrary.org/obo/EUPATH_0000671","Death information","Death date","YYYY-MM-DD","variable","","yes","","","mordor","","","","","","","",""
"16","mordor_mortality_public::person.time","mordor_mortality_public","","cumulative persontime","","Participant","","","Person time contributed by the child","","variable","","yes","","","mordor","person-day","","","","","","",""
"17","mordor_mortality_public::treatment.group","mordor_mortality_public","","study arm","","Participant","","","Treatment group","","variable","","yes","","","mordor","","","","","","","",""
"10","mordor_mortality_public::end.dose","mordor_mortality_public","","dose at endpoint","","Participant","","","","","variable","","yes","","","mordor","","","","","","","",""
