variable,IRI,parentIRI,parentLabel,label,dataset,category
X52B._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_1,Observation
X52C._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_1,Observation
X52D._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_1,Observation
X52E._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_1,Observation
X52F._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_1,Observation
X52G._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_1,Observation
X52H._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_1,Observation
X52I._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_1,Observation
X52J._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_1,Observation
X52K._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_1,Observation
X52L._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_1,Observation
X52M._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_1,Observation
X52N._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_1,Observation
X52O._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_1,Observation
X53B._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_1,Observation
X53C._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_1,Observation
X53D._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_1,Observation
X53E._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_1,Observation
X53F._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_1,Observation
X53G._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_1,Observation
X53H._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_1,Observation
X53I._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_1,Observation
X53J._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_1,Observation
X53K._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_1,Observation
X53L._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_1,Observation
X53M._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_1,Observation
X53N._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_1,Observation
X53O._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_1,Observation
X54B._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_1,Observation
X54C._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_1,Observation
X54D._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_1,Observation
X54E._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_1,Observation
X54F._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_1,Observation
X54G._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_1,Observation
X54H._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_1,Observation
X54I._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_1,Observation
X54J._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_1,Observation
X54K._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_1,Observation
X54L._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_1,Observation
X54M._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_1,Observation
X54N._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_1,Observation
X54O._Method,EUPATH_0023015,EUPATH_0000740,Malaria treatment,Route of drug administration,inpatient_treatment_drug_1,Observation
X55._Additional_antimalarial.,,EUPATH_0000740,Malaria treatment,Take second antimalarial,inpatient_treatment_drug_2,Observation
X56._Rx_name,EUPATH_0000058,EUPATH_0000740,Malaria treatment,Malaria medication,inpatient_treatment_drug_2,Observation
X57A._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_2,Observation
X57B._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_2,Observation
X57C._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_2,Observation
X57D._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_2,Observation
X57E._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_2,Observation
X57F._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_2,Observation
X57G._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_2,Observation
X57H._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_2,Observation
X57I._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_2,Observation
X57J._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_2,Observation
X57K._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_2,Observation
X57L._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_2,Observation
X57M._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_2,Observation
X57N._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_2,Observation
X57O._Timepoint,EUPATH_0023016,EUPATH_0000740,Malaria treatment,Drug timepoint,inpatient_treatment_drug_2,Observation
X58A._Dose,EUPATH_0023014,EUPATH_0000740,Malaria treatment,Drug dose,inpatient_treatment_drug_2,Observation
