variable,dataFile,dataSet,keepDiscard,colOrder,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,timeVarying,flag,Notes
Assay_Id,diagnostics assay,South Asia,discard,17,chr,01/01/0001,date?,%d/%m/%Y,n/a,n/a,>10 unique values,2319,0,once,NA,"Seems to be Participant ID, but sometimes was autochanged to date format. Have Participant ID in file anyway, so don't need"
Bacteria_seen_in_slide,diagnostics assay,South Asia,keep,16,chr,NA,NA,NA,n/a,n/a,"Missing, No, Yes, NA",3,0,once,NA,Possible values: Missing      No     Yes
Date,diagnostics assay,South Asia,discard,2,chr,4/23/12,date?,%Y-%m-%d,n/a,n/a,>10 unique values,902,0,once,NA,"Date the sample was processed, not date it was collected"
Gametocyte_Density,diagnostics assay,South Asia,keep,10,int,88888888,NA,NA,0,99999999,0 to 99999999,255,0,once,NA,
Hematocrit,diagnostics assay,South Asia,keep,12,dbl,0,NA,NA,0,99,0 to 99,121,0,once,NA,
HemoCue_report,samp_coll_form_3,South Asia,discard,7,chr,[document],NA,NA,n/a,n/a,"[document], NA",1,0,once,NA,
Initial_Gametocytemia,diagnostics assay,South Asia,keep,9,dbl,88.88,NA,NA,0,99.99,0 to 99.99,41,0,once,NA,
Initial_Pf_Parasitemia,diagnostics assay,South Asia,keep,6,dbl,0.03,NA,NA,0,99.99,0 to 99.99,283,0,once,NA,
Initial_Pm_Parasitemia,diagnostics assay,South Asia,keep,7,dbl,0,NA,NA,0,99.99,0 to 99.99,4,0,once,NA,
Initial_Pv_Parasitemia,diagnostics assay,South Asia,keep,5,dbl,0,NA,NA,0,99.99,0 to 99.99,212,0,once,NA,
Measurement_Time,diagnostics assay,South Asia,discard,3,chr,11:00PM,NA,NA,n/a,n/a,>10 unique values,123,0,once,NA,Time the sample was processed
Parasite_Density,diagnostics assay,South Asia,keep,8,int,88888888,NA,NA,0,99999999,0 to 99999999,1072,0,once,NA,
Participant_ID,diagnostics assay,South Asia,keep,1,int,1010001,NA,NA,1010001,1050079,1010001 to 1050079,2319,0,once,duplicated variable,Same as X1._Participant_ID
Participant_ID,enrollment_form,South Asia,NA,1,int,1010001,NA,NA,1010001,1012132,1010001 to 1012132,2132,0,once,duplicated variable,NA
Participant_ID,enrollment_form_labkey_correctid,South Asia,NA,1,int,1010001,NA,NA,1010001,1050079,1010001 to 1050079,2933,0,once,duplicated variable,NA
Participant_ID,inpatient_care_chart_review,South Asia,keep,1,int,101199,NA,NA,101199,1050079,101199 to 1050079,853,0,once,duplicated variable,Same as X1._Participant_ID
Participant_ID,inpatient_treatment_drug_1,South Asia,keep,1,int,1010003,NA,NA,1010003,1050079,1010003 to 1050079,904,0,once,duplicated variable,Same as X1._Participant_ID
Participant_ID,inpatient_treatment_drug_2,South Asia,keep,1,int,1010003,NA,NA,1010003,1050079,1010003 to 1050079,834,0,once,duplicated variable,
Participant_ID,inpatient_treatment_drug_3,South Asia,keep,1,int,1010003,NA,NA,1010003,1050079,1010003 to 1050079,594,0,once,duplicated variable,
Participant_ID,inpatient_treatment_drug_4,South Asia,keep,1,int,1010003,NA,NA,1010003,1050079,1010003 to 1050079,401,0,once,duplicated variable,
Participant_ID,inpatient_treatment_drug_5,South Asia,keep,1,int,1010003,NA,NA,1010003,1050079,1010003 to 1050079,282,0,once,duplicated variable,
Participant_ID,questionnaire_form_1,South Asia,keep,1,int,1010001,NA,NA,103134,1050079,103134 to 1050079,2613,0,once,duplicated variable,Same as X1._Participant_ID
Participant_ID,questionnaire_form_2,South Asia,keep,1,int,1010001,NA,NA,101597,1050079,101597 to 1050079,2563,0,once,duplicated variable,Same as X1._Participant_ID
Participant_ID,questionnaire_form_3,South Asia,keep,1,int,1010001,NA,NA,101295,10200423,101295 to 10200423,2560,0,once,duplicated variable,Same as X1._Participant_ID
Participant_ID,samp_coll_form_2,South Asia,keep,1,int,1010001,NA,NA,4,1050079,4 to 1050079,2623,0,once,duplicated variable,
Participant_ID,samp_coll_form_3,South Asia,keep,1,int,1010001,NA,NA,1010001,1050079,1010001 to 1050079,2494,0,once,duplicated variable,Same as X1._Participant_ID
Participant_ID,sample_collection_form,South Asia,keep,1,int,10011895,NA,NA,10077,10011895,10077 to 10011895,2547,0,once,duplicated variable,Same as X1._Participant_ID
Patient_Hemoglobin,diagnostics assay,South Asia,keep,11,dbl,0,NA,NA,0,23.1,0 to 23.1,138,0,once,NA,
Processing_Protocol,diagnostics assay,South Asia,discard,4,int,1,NA,NA,0,13,0 to 13,11,0,once,NA,
RDT,diagnostics assay,South Asia,keep,15,chr,Pf,NA,NA,n/a,n/a,"Pf, Pv, mixed_Pf/Pv, negative",4,0,once,NA,possible values: mixed_Pf/Pv    negative          Pf          Pv 
RDT_scan,samp_coll_form_3,South Asia,discard,3,chr,[document],NA,NA,n/a,n/a,"[document], NA",1,0,once,NA,
Smear_Report,samp_coll_form_3,South Asia,discard,5,chr,NA,NA,NA,n/a,n/a,"[document], NA",1,0,once,NA,
Thick_blood,diagnostics assay,South Asia,keep,13,chr,Pf,NA,NA,n/a,n/a,"Pf, Pv, mixed_Pf/Pv, negative",4,0,once,NA,possible values: mixed_Pf/Pv    negative          Pf          Pv 
Thin_blood,diagnostics assay,South Asia,keep,14,chr,Pf,NA,NA,n/a,n/a,"Pf, Pv, mixed_Pf/Pv, negative",4,0,once,NA,possible values: mixed_Pf/Pv    negative          Pf          Pv 
X1._Participant_ID,enrollment_form,NA,discard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Same as Participant_ID
X10._Temperature_.deg_Fahrenheit.,sample_collection_form,South Asia,keep,2,dbl,98.8,NA,NA,0,107.6,0 to 107.6,137,0,once,NA,"If no temp, 000.0"
X100._Discharge,inpatient_care_chart_review,South Asia,keep,32,chr,02-No,NA,NA,n/a,n/a,"-88-Missing, 01-Yes, 02-No, NA",3,0,repeated,NA,"01, 01 - Yes | 02, 02 - No | -88, -88 - Missing | -99, -99 - Uncertain"
X101._Death,inpatient_care_chart_review,South Asia,keep,33,chr,02-No,NA,NA,n/a,n/a,"-88-Missing, 01-Yes, 02-No, NA",3,0,repeated,NA,"01, 01 - Yes | 02, 02 - No | -88, -88 - Missing | -99, -99 - Uncertain"
X11._Temperature_reading_time_.24h.,sample_collection_form,South Asia,keep,3,chr,1:16_PM,NA,NA,n/a,n/a,>10 unique values,425,0,once,NA,
X12._Temperature_reading_date,sample_collection_form,South Asia,keep,4,chr,12/31/16,date?,%Y-%m-%d,n/a,n/a,>10 unique values,997,0,once,NA,
X13._Thermometer_used,sample_collection_form,South Asia,discard,5,int,1,NA,NA,0,3,0 to 3,4,0,once,NA,"This seems to be too specific to the study, the number of the thermometer used to record temperature"
X14._Blood_volume_collected_.ml.,sample_collection_form,South Asia,keep,6,dbl,6.2,NA,NA,0,99.9,0 to 99.9,60,0,once,NA,"If not collected, 00.0"
X15._Collection_time_.24h.,sample_collection_form,South Asia,keep,7,chr,1:15_PM,NA,NA,n/a,n/a,>10 unique values,382,0,once,NA,
X16._Collection_date,sample_collection_form,South Asia,keep,8,chr,12/31/16,date?,%Y-%m-%d,n/a,n/a,>10 unique values,1001,0,once,NA,
