file	category	id
ClinicalVisits	Community	{{c}}+hhid
ClinicalVisits	Household	hhid
ClinicalVisits	Participant	id
ClinicalVisits	Observation	uniqueid
ClinicalVisits	Sample	{{s}}+uniqueid
PRISM Nagongera cohort study all clinic visits database through September 30th 2017	Community	{{c}}+hhid
PRISM Nagongera cohort study all clinic visits database through September 30th 2017	Household	hhid
PRISM Nagongera cohort study all clinic visits database through September 30th 2017	Participant	id
PRISM Nagongera cohort study all clinic visits database through September 30th 2017	Observation	uniqueid
PRISM Nagongera cohort study all clinic visits database through September 30th 2017	Sample	{{s}}+uniqueid
Cohorthouseholdenrollmentsurveyhouseholdleveldatafinal	Community	{{c}}+hhid
Cohorthouseholdenrollmentsurveyhouseholdleveldatafinal	Household	hhid
genotyping	Community	
genotyping	Household	
genotyping	Participant	id
HospitalAdmissions	Community	
HospitalAdmissions	Household	
HospitalAdmissions	Participant	id
HospitalAdmissions	Observation	uniqueid
IndividualStudyParticipants	Community	{{c}}+hhid
IndividualStudyParticipants	Household	hhid
IndividualStudyParticipants	Participant	id
PRISM Nagongera cohort study individual study participant database through June 30th 2017	Community	{{c}}+hhid
PRISM Nagongera cohort study individual study participant database through June 30th 2017	Household	hhid
PRISM Nagongera cohort study individual study participant database through June 30th 2017	Participant	id
LightTraps	Community	{{c}}+hhid
LightTraps	Household	hhid
LightTraps	HouseholdObservation	{{hrm}}+uniqueid
CDC light trap data Nagongera through September 2017 FINAL	Community	{{c}}+hhid
CDC light trap data Nagongera through September 2017 FINAL	Household	hhid
CDC light trap data Nagongera through September 2017 FINAL	HouseholdObservation	{{hrm}}+uniqueid
ParticipantDeaths	Community	
ParticipantDeaths	Household	
ParticipantDeaths	Participant	id
PRISM Nagongera deaths through September 30th 2017	Community	
PRISM Nagongera deaths through September 30th 2017	Household	
PRISM Nagongera deaths through September 30th 2017	Participant	id
prism_samples_st	Community	
prism_samples_st	Household	
prism_samples_st	Participant	SubjectID
prism_samples_st	Observation	use date to merge with other observation/sample data
prism_samples_st	Sample	use date to merge with other observation/sample data
PrismCohortHouseholdStructures	Community	{{c}}+hhid
PrismCohortHouseholdStructures	Household	hhid
updated_lamp_results	Community	
updated_lamp_results	Household	
updated_lamp_results	Participant	id
updated_lamp_results	Observation	use date to merge with other observation data
