IRI,label,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
ENVO_00000009,Country,CAMP.txt::country,CAMP.txt,"","","","","","","","","","","","","",""
ENVO_01000739,Habitat,CAMP.txt::env_feature,CAMP.txt,"","","","","",ENVO_00002297,"","","","","","","",""
EUPATH_0000604,Sequencing batch,CAMP.txt::run_prefix_prep,CAMP.txt,"","","","","","","","","","","","","",""
EUPATH_0009004,Pet ownership,CAMP.txt::VHUP_#,CAMP.txt,"","","","","","","","","","","","","",""
EUPATH_0009005,Animal sterilization,CAMP.txt::Animal sterilization,CAMP.txt,"","","","","","","","","","","","","",""
EUPATH_0009015,Pathogen species,CAMP.txt::Parasite_found_species,CAMP.txt,"","","","","","","","","","","","","",""
EUPATH_0009016,Pathogen type,CAMP.txt::Parasite_found_type,CAMP.txt,"","","","","","","","","","","","","",""
EUPATH_0010375,Case or control participant,CAMP.txt::case_control,CAMP.txt,"","","","","","","","","","","","","",""
OBI_0001169,Age,CAMP.txt::age,CAMP.txt,"","","","","","",years,http://purl.obolibrary.org/obo/UO_0000036,"","","","","",""
OBI_0001622,Title,CAMP.txt::title,CAMP.txt,"","","","","","","","","","","","","",""
OBI_0003074,Subject common name,CAMP.txt::host_common_name,CAMP.txt,"","","","","",EUPATH_0000512,"","","","","","","",""
OBI_0100051,Sample type,CAMP.txt::sample_type,CAMP.txt,"","","","","","","","","","","","","",""
PATO_0000047,Sex,CAMP.txt::host_sex,CAMP.txt,"","","","","","","","","","","","","",""
SO_0001000,Region of 16S rRNA sequenced,CAMP.txt::region,CAMP.txt,"","","","","","","","","","","","","",""
UBERON_0000061,Host body site,CAMP.txt::body_site,CAMP.txt,"","","","","","","","","","","","","",""
UBERON_0000463,Host body product,CAMP.txt::body_product,CAMP.txt,"","","","","","","","","","","","","",""
UBERON_0000466,Host body habitat,CAMP.txt::body_habitat,CAMP.txt,"","","","","","","","","","","","","",""
