IRI,label,variable,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,Ciara_V4.txt::env_feature,"","","","","",ENVO_00002297,"","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000604,Sequencing batch,Ciara_V4.txt::run_prefix_prep,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000614,Ear thickness,Ciara_V4.txt::Thickness,"","","","","","",mm,http://purl.obolibrary.org/obo/UO_0000016,"","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000617,Skin type swabbed,Ciara_V4.txt::Site,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000619,Number of treatments,Ciara_V4.txt::No. Treatment,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000621,Lesion size,Ciara_V4.txt::Lesion Size,"","","","","","",mm squared,http://purl.obolibrary.org/obo/UO_0000082,"","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000632,Skin lesion duration,Ciara_V4.txt::Lesion Duration,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000639,Study group,Ciara_V4.txt::Group,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000640,Animal cage num in experiment,Ciara_V4.txt::Exp_Cage ID,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000747,DNA extraction date,Ciara_V4.txt::ExtractionDate,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009010,Animal cage num,Ciara_V4.txt::Cage ID,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009011,Lesion score,Ciara_V4.txt::Lesion score,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009012,Skin charateristics,Ciara_V4.txt::BodyType,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009013,Cured,Ciara_V4.txt::Cured,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009014,DTH testing result,Ciara_V4.txt::DTH,"","","","","","",mm squared,http://purl.obolibrary.org/obo/UO_0000082,"","","","","",""
http://purl.obolibrary.org/obo/OBI_0001622,Title,Ciara_V4.txt::title,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,Ciara_V4.txt::host_subject_id,"","","","","",EUPATH_0000606,"","","",everywhere,"","","",yes
http://purl.obolibrary.org/obo/OBI_0003074,Subject common name,Ciara_V4.txt::host_common_name,"","","","","",EUPATH_0000512,"","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0003084,Sample collection time post infection (days),Ciara_V4.txt::Days post-infection,"","","","","",EUPATH_0000613,"","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,Ciara_V4.txt::sample_type,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,Ciara_V4.txt::Treatment,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/PATO_0000047,Sex,Ciara_V4.txt::host_sex,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,Ciara_V4.txt::region,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,Ciara_V4.txt::body_site,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,Ciara_V4.txt::body_product,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,Ciara_V4.txt::body_habitat,"","","","","","","","","","","","","",""
