colOrder,IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,notes,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
19,http://purl.obolibrary.org/obo/EUPATH_0000009,Wall material,parede,1,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Predominant material on the outer walls,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,parent from db lookup,Predominant material on the outer walls,"0 - Masonry, 1 - Wood, 2 - Rammed earth, 3 - Straw, 4 - Other material",,,,,Brazil Rio Azul,,,,,,,,,
21,http://purl.obolibrary.org/obo/EUPATH_0000006,Floor material,piso,2,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Predominant materials on the internal floor,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,parent from db lookup,Predominant materials on the internal floor,"1 - Wood, 2 - Ceramics, 3 - Cement, 4 - Other material",,,,,Brazil Rio Azul,,,,,,,,,
23,http://purl.obolibrary.org/obo/EUPATH_0000003,Roof material,cobert,3,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Predominant materials on the roof of the house,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,parent from db lookup,Predominant materials on the roof of the house,"0 - Fiber cement/asbestos, 1 - Aluminium, 2 - Wood, 3 - Clay tile, 4 - Other",,,,,Brazil Rio Azul,,,,,,,,,
24,http://purl.obolibrary.org/obo/EUPATH_0064454,Other roof material,cobert_outro,4,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,parent from db lookup,Other material? Which?,Text,,,,,Brazil Rio Azul,,,,,,,,,
25,http://purl.obolibrary.org/obo/CLINEPIDB_00014,Roof lining or slab,forro,5,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Is there lining or roof slab?,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,Is there lining or roof slab,"0 - No, 1 - Yes",,,,,Brazil Rio Azul,,,,,,,,,
26,http://purl.obolibrary.org/obo/EUPATH_0011593,Room count,comodos,6,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Number of rooms in the house,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,parent from db lookup,Number of rooms in the house,Integer,,,,,Brazil Rio Azul,,,,,,,,,
27,http://purl.obolibrary.org/obo/EUPATH_0000025,Sleeping rooms in dwelling count,dorm,7,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,How many rooms serve as bedrooms for the household residents?,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,parent from db lookup,How many rooms serve as dormitories for the household residents?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
28,http://purl.obolibrary.org/obo/EUPATH_0022114,Bed count,camas,8,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,How many beds are there in this household?,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,parent from db lookup,How many beds are there in this household?,Integer,,,,,Brazil Rio Azul,,,,,,,,,
31,http://purl.obolibrary.org/obo/CLINEPIDB_00016,Bathroom count,banheiros,9,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,How many bathrooms for the exclusive use of residents are there in this household? (Including those located on the land or property),Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,How many bathrooms for the exclusive use of residents are there in this household? (Including those located on the land or property),Integer,,,,,Brazil Rio Azul,,,,,,,,,yes
32,http://purl.obolibrary.org/obo/CLINEPIDB_00017,Household bathing location,localbanho,10,icemr1_brazil_rio_azul_(mancio lima)_04_07_2023,Residents' bathing place,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,Residents' bathing place,"0 - Indoors, 1 - Outdoors, 2- Both",,,,,Brazil Rio Azul,,,,,,,,,
