colOrder,overallOrder,display_Order,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,cookbookValues,termType,notesforOnt,notesforProvider,notesForDL,uniqueVar
47,"","",ab_swell,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Is the abdomen swollen?,"0=No, 1=Yes","","","","",score_sm_cohort_ken_tan_march3_2020::ab_swell
8,"","",age,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Age of study participant,,"","","","",score_sm_cohort_ken_tan_march3_2020::age
23,"","",arm,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Mid-arm circumference,,"","","","",score_sm_cohort_ken_tan_march3_2020::arm
19,"","",asc_binary,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Ascaris infection: Presence or Absence,"0=Negative, 1=Positive","","","","",score_sm_cohort_ken_tan_march3_2020::asc_binary
61,"","",ascites,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Is ascites present?,"0=No, 1=Yes","","","","",score_sm_cohort_ken_tan_march3_2020::ascites
50,"","",caudal_edge,score_sm_cohort_ken_tan_march3_2020,"","","","","","",What is the caudal edge like?,"0=Sharp, 1=Rounded","","","","",score_sm_cohort_ken_tan_march3_2020::caudal_edge
1,"","",country_code,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Country code,KEN=Kenya; TAN=Tanzania,"","","","",score_sm_cohort_ken_tan_march3_2020::country_code
29,"","",emotion_pql_c,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Emotional PedsQL subscale based on child's responses,,"","","","",score_sm_cohort_ken_tan_march3_2020::emotion_pql_c
34,"","",emotion_pql_p,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Emotional PedsQL subscale based on parent's responses,,"","","","",score_sm_cohort_ken_tan_march3_2020::emotion_pql_p
64,"","",gb_shape,score_sm_cohort_ken_tan_march3_2020,"","","","","","",What is the shape of the gallbaldder,"0=Normal, 1=Irregular","","","","",score_sm_cohort_ken_tan_march3_2020::gb_shape
63,"","",gb_thick,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Gallbladder thickness,,"","","","",score_sm_cohort_ken_tan_march3_2020::gb_thick
24,"","",hgb,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Hemoglobin measured using capillary blood,,"","","","",score_sm_cohort_ken_tan_march3_2020::hgb
21,"","",hght,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Height measured using standardized technique (stadiometer),,"","","","",score_sm_cohort_ken_tan_march3_2020::hght
18,"","",hook_binary,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Hookworm infection: Presence or Absence,"0=Negative, 1=Positive","","","","",score_sm_cohort_ken_tan_march3_2020::hook_binary
65,"","",l_port_br_ext,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Left portal branch external walls,,"","","","",score_sm_cohort_ken_tan_march3_2020::l_port_br_ext
67,"","",l_port_br_int,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Left portal branch internal walls,,"","","","",score_sm_cohort_ken_tan_march3_2020::l_port_br_int
39,"","",liver_consis,score_sm_cohort_ken_tan_march3_2020,"","","","","","","If liver is palpable, what is its consistency?","1=Soft, 2=Firm, 3=Hard, 8=Not palpable","","","","",score_sm_cohort_ken_tan_march3_2020::liver_consis
38,"","",liver_palp,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Is liver palpable?,"0=No, 1=Yes","","","","",score_sm_cohort_ken_tan_march3_2020::liver_palp
62,"","",liver_pattern,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Liver pattern,"A, B, C, D, E, F","","","","",score_sm_cohort_ken_tan_march3_2020::liver_pattern
48,"","",liver_shape,score_sm_cohort_ken_tan_march3_2020,"","","","","","",What is the liver shape?,"0=Convex-concave, 1=Biconvex","","","","",score_sm_cohort_ken_tan_march3_2020::liver_shape
49,"","",liver_surf,score_sm_cohort_ken_tan_march3_2020,"","","","","","",What is the liver surface like?,"0=Normal, 1=Irregular","","","","",score_sm_cohort_ken_tan_march3_2020::liver_surf
46,"","",liver_tender,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Is liver tender?,"0=No, 1=Yes","","","","",score_sm_cohort_ken_tan_march3_2020::liver_tender
51,"","",liver_texture,score_sm_cohort_ken_tan_march3_2020,"","","","","","",What is the liver texture like?,"0=Normal, 1=Irregular","","","","",score_sm_cohort_ken_tan_march3_2020::liver_texture
25,"","",malaria,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Malaria blood smear test,"0=Negative, 1=Positive","","","","",score_sm_cohort_ken_tan_march3_2020::malaria
57,"","",mcl,score_sm_cohort_ken_tan_march3_2020,"","","","","","",MCL length,,"","","","",score_sm_cohort_ken_tan_march3_2020::mcl
45,"","",mcl_l_palp,score_sm_cohort_ken_tan_march3_2020,"","","","","","","If spleen is palpable, what is left MCL?",,"","","","",score_sm_cohort_ken_tan_march3_2020::mcl_l_palp
41,"","",mcl_r_palp,score_sm_cohort_ken_tan_march3_2020,"","","","","","","If liver is palpable, what is the right mid-clavicular line (MCL) length?",,"","","","",score_sm_cohort_ken_tan_march3_2020::mcl_r_palp
16,"","",mean_epg,score_sm_cohort_ken_tan_march3_2020,"","","","","","","Mean Schistosoma mansoni infection intensity (eggs per gram of stool): arithmetic mean of sm1a_epg, sm1b_epg, sm2a_epg, sm2b_epg, sm3a_epg, sm3b_epg",,"","","","",score_sm_cohort_ken_tan_march3_2020::mean_epg
6,"","",person_id,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Person ID,,"","","","",score_sm_cohort_ken_tan_march3_2020::person_id
28,"","",phys_pql_c,score_sm_cohort_ken_tan_march3_2020,"","","","","","",Physical subscale for PedsQL (pediatric quality of life questionnaire) based on child's responses,,"","","","",score_sm_cohort_ken_tan_march3_2020::phys_pql_c
