variable,dataFile,keepDiscard,notesForDL,codebookDescription,cookbookValues,timeVarying,duplicated,dateTime
ab_swell,score_sm_cohort_ken_tan_march3_2020,"","",Is the abdomen swollen?,"0=No, 1=Yes", ,FALSE, 
age,score_sm_cohort_ken_tan_march3_2020,"","",Age of study participant,, ,FALSE, 
arm,score_sm_cohort_ken_tan_march3_2020,"","",Mid-arm circumference,, ,FALSE, 
asc_binary,score_sm_cohort_ken_tan_march3_2020,"","",Ascaris infection: Presence or Absence,"0=Negative, 1=Positive", ,FALSE, 
ascites,score_sm_cohort_ken_tan_march3_2020,"","",Is ascites present?,"0=No, 1=Yes", ,FALSE, 
caudal_edge,score_sm_cohort_ken_tan_march3_2020,"","",What is the caudal edge like?,"0=Sharp, 1=Rounded", ,FALSE, 
country_code,score_sm_cohort_ken_tan_march3_2020,"","",Country code,KEN=Kenya; TAN=Tanzania, ,FALSE, 
emotion_pql_c,score_sm_cohort_ken_tan_march3_2020,"","",Emotional PedsQL subscale based on child's responses,, ,FALSE, 
emotion_pql_p,score_sm_cohort_ken_tan_march3_2020,"","",Emotional PedsQL subscale based on parent's responses,, ,FALSE, 
gb_shape,score_sm_cohort_ken_tan_march3_2020,"","",What is the shape of the gallbaldder,"0=Normal, 1=Irregular", ,FALSE, 
gb_thick,score_sm_cohort_ken_tan_march3_2020,"","",Gallbladder thickness,, ,FALSE, 
hgb,score_sm_cohort_ken_tan_march3_2020,"","",Hemoglobin measured using capillary blood,, ,FALSE, 
hght,score_sm_cohort_ken_tan_march3_2020,"","",Height measured using standardized technique (stadiometer),, ,FALSE, 
hook_binary,score_sm_cohort_ken_tan_march3_2020,"","",Hookworm infection: Presence or Absence,"0=Negative, 1=Positive", ,FALSE, 
l_port_br_ext,score_sm_cohort_ken_tan_march3_2020,"","",Left portal branch external walls,, ,FALSE, 
l_port_br_int,score_sm_cohort_ken_tan_march3_2020,"","",Left portal branch internal walls,, ,FALSE, 
liver_consis,score_sm_cohort_ken_tan_march3_2020,"","","If liver is palpable, what is its consistency?","1=Soft, 2=Firm, 3=Hard, 8=Not palpable", ,FALSE, 
liver_palp,score_sm_cohort_ken_tan_march3_2020,"","",Is liver palpable?,"0=No, 1=Yes", ,FALSE, 
liver_pattern,score_sm_cohort_ken_tan_march3_2020,"","",Liver pattern,"A, B, C, D, E, F", ,FALSE, 
liver_shape,score_sm_cohort_ken_tan_march3_2020,"","",What is the liver shape?,"0=Convex-concave, 1=Biconvex", ,FALSE, 
liver_surf,score_sm_cohort_ken_tan_march3_2020,"","",What is the liver surface like?,"0=Normal, 1=Irregular", ,FALSE, 
