"variable","dataFile","codebookDescription","suggested_IRI","suggested_label","parent_in_ontology","parent_IRI","score"
"dss_id","vida_enrl.csv","Child's DSS ID","http://purl.obolibrary.org/obo/EUPATH_0010407","Qualified as DSS resident","Eligibility criteria","http://purl.obolibrary.org/obo/EUPATH_0010036","24.500328"
"dss_id","vida_enrl.csv","Child's DSS ID","http://purl.obolibrary.org/obo/EUPATH_0000094","Household ID","Household; Sample source","http://purl.obolibrary.org/obo/PCO_0000024; http://purl.obolibrary.org/obo/EUPATH_0000611","12.651338"
"dss_id","vida_enrl.csv","Child's DSS ID","http://purl.obolibrary.org/obo/EUPATH_0000095","Participant ID","Participant study details; Participant; Sample source","http://purl.obolibrary.org/obo/EUPATH_0000307; http://purl.obolibrary.org/obo/EUPATH_0000096; http://purl.obolibrary.org/obo/EUPATH_0000611","12.651338"
"dss_id","vida_enrl.csv","Child's DSS ID","http://purl.obolibrary.org/obo/EUPATH_0000493","Family ID","Household information","http://purl.obolibrary.org/obo/EUPATH_0000087","12.651338"
"dss_id","vida_enrl.csv","Child's DSS ID","http://purl.obolibrary.org/obo/EUPATH_0000494","Dwelling ID","Built-environment","http://purl.obolibrary.org/obo/ENVO_00000070","12.651338"
"dss_id","vida_enrl.csv","Child's DSS ID","http://purl.obolibrary.org/obo/EUPATH_0000577","Repository ID","Sample","http://purl.obolibrary.org/obo/EUPATH_0000609","12.651338"
"dss_id","vida_enrl.csv","Child's DSS ID","http://purl.obolibrary.org/obo/EUPATH_0000606","Subject ID","Sample source","http://purl.obolibrary.org/obo/EUPATH_0000611","12.651338"
"dss_id","vida_enrl.csv","Child's DSS ID","http://purl.obolibrary.org/obo/EUPATH_0010049","Case ID","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","12.651338"
"dss_id","vida_enrl.csv","Child's DSS ID","http://purl.obolibrary.org/obo/EUPATH_0024017","Caretaker ID","Individuals related to participant","http://purl.obolibrary.org/obo/EUPATH_0010037","12.651338"
"dss_id","vida_enrl.csv","Child's DSS ID","http://purl.obolibrary.org/obo/OBI_0001141","Host ID","Sample source","http://purl.obolibrary.org/obo/EUPATH_0000611","12.651338"
"childid","vida_enrl.csv","Child's study ID","http://purl.obolibrary.org/obo/EUPATH_0000095","Participant ID","Participant study details; Participant; Sample source","http://purl.obolibrary.org/obo/EUPATH_0000307; http://purl.obolibrary.org/obo/EUPATH_0000096; http://purl.obolibrary.org/obo/EUPATH_0000611","9.795875"
"childid","vida_enrl.csv","Child's study ID","http://purl.obolibrary.org/obo/EUPATH_0000584","Child's diet","Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000612","8.87242"
"childid","vida_enrl.csv","Child's study ID","http://purl.obolibrary.org/obo/EUPATH_0000585","Child's diet (by month)","Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000612","7.1087008"
"childid","vida_enrl.csv","Child's study ID","http://purl.obolibrary.org/obo/EUPATH_0000639","Study group","Human or Animal; Sample source","http://purl.obolibrary.org/obo/EUPATH_0000612; http://purl.obolibrary.org/obo/EUPATH_0000611","6.4712486"
"childid","vida_enrl.csv","Child's study ID","http://purl.obolibrary.org/obo/EUPATH_0005031","Study cohort","Sample source","http://purl.obolibrary.org/obo/EUPATH_0000611","6.4712486"
"childid","vida_enrl.csv","Child's study ID","http://purl.obolibrary.org/obo/EUPATH_0010047","Study center","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","6.4712486"
"childid","vida_enrl.csv","Child's study ID","http://purl.obolibrary.org/obo/EUPATH_0010374","Study year","Participant study details; Administrative information","http://purl.obolibrary.org/obo/EUPATH_0000307; http://purl.obolibrary.org/obo/EUPATH_0010035","6.4712486"
"childid","vida_enrl.csv","Child's study ID","http://purl.obolibrary.org/obo/EUPATH_0015457","Study arm","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","6.4712486"
"childid","vida_enrl.csv","Child's study ID","http://purl.obolibrary.org/obo/EUPATH_0021094","Study site","Geographic location","http://purl.obolibrary.org/obo/GAZ_00000448","6.4712486"
"childid","vida_enrl.csv","Child's study ID","http://purl.obolibrary.org/obo/EUPATH_0030002","Study type","Participant study details","http://purl.obolibrary.org/obo/EUPATH_0000307","6.4712486"
"caseid","vida_enrl.csv","","http://purl.obolibrary.org/obo/EUPATH_0010049","Case ID","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","10.501939"
"enroll_date","vida_enrl.csv","Enrollment date","http://purl.obolibrary.org/obo/EUPATH_0000151","Enrollment date","Participant study details","http://purl.obolibrary.org/obo/EUPATH_0000307","20.624397"
"enroll_date","vida_enrl.csv","Enrollment date","http://purl.obolibrary.org/obo/EUPATH_0010042","Enrollment date, matched case","Matched case","http://purl.obolibrary.org/obo/EUPATH_0010002","20.509693"
"enroll_date","vida_enrl.csv","Enrollment date","http://purl.obolibrary.org/obo/EUPATH_0000091","Visit date","Observation details","http://purl.obolibrary.org/obo/EUPATH_0000310","10.361106"
"enroll_date","vida_enrl.csv","Enrollment date","http://purl.obolibrary.org/obo/EUPATH_0000150","Death date","Death information","http://purl.obolibrary.org/obo/EUPATH_0000671","10.361106"
"enroll_date","vida_enrl.csv","Enrollment date","http://purl.obolibrary.org/obo/EUPATH_0004991","Observation date","Observation details","http://purl.obolibrary.org/obo/EUPATH_0000310","10.361106"
"enroll_date","vida_enrl.csv","Enrollment date","http://purl.obolibrary.org/obo/EUPATH_0005007","Withdrawl date","Participant study details","http://purl.obolibrary.org/obo/EUPATH_0000307","10.361106"
"enroll_date","vida_enrl.csv","Enrollment date","http://purl.obolibrary.org/obo/EUPATH_0010319","Rehydration date","Rehydration therapy","http://purl.obolibrary.org/obo/EUPATH_0010024","10.361106"
"enroll_date","vida_enrl.csv","Enrollment date","http://purl.obolibrary.org/obo/EUPATH_0011213","Vaccination date","Treatment","http://purl.obolibrary.org/obo/OGMS_0000090","10.361106"
"enroll_date","vida_enrl.csv","Enrollment date","http://purl.obolibrary.org/obo/EUPATH_0011220","Deworming date","Treatment","http://purl.obolibrary.org/obo/OGMS_0000090","10.361106"
"enroll_date","vida_enrl.csv","Enrollment date","http://purl.obolibrary.org/obo/EUPATH_0015440","Registration date","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","10.361106"
"type","vida_enrl.csv","Case or control status","http://purl.obolibrary.org/obo/EUPATH_0010375","Case or control subject","Participant; Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000096; http://purl.obolibrary.org/obo/EUPATH_0000612","20.385923"
"type","vida_enrl.csv","Case or control status","http://purl.obolibrary.org/obo/EUPATH_0030002","Study type","Participant study details","http://purl.obolibrary.org/obo/EUPATH_0000307","11.722332"
"type","vida_enrl.csv","Case or control status","http://purl.obolibrary.org/obo/PATO_0001895","Mating type","Organism under investigation","http://purl.obolibrary.org/obo/EUPATH_0000104","11.722332"
"type","vida_enrl.csv","Case or control status","http://purl.obolibrary.org/obo/EUPATH_0009016","Pathogen type","Stool microbiology test","http://purl.obolibrary.org/obo/EUPATH_0000724","11.026724"
"type","vida_enrl.csv","Case or control status","http://purl.obolibrary.org/obo/ENVO_01000744","Dwelling type","Dwelling characteristics; Dwelling chacteristics","http://purl.obolibrary.org/obo/EUPATH_0000303","10.036221"
"type","vida_enrl.csv","Case or control status","http://purl.obolibrary.org/obo/OBI_0100051","Sample type","Sample","http://purl.obolibrary.org/obo/EUPATH_0000609","9.671121"
"type","vida_enrl.csv","Case or control status","http://purl.obolibrary.org/obo/EUPATH_0024199","Family or friends","Overnight lodgings","http://purl.obolibrary.org/obo/EUPATH_0024205","7.542862"
"type","vida_enrl.csv","Case or control status","http://purl.obolibrary.org/obo/EUPATH_0010002","Matched case","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","6.8245163"
"type","vida_enrl.csv","Case or control status","http://purl.obolibrary.org/obo/EUPATH_0010049","Case ID","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","6.8245163"
"type","vida_enrl.csv","Case or control status","http://purl.obolibrary.org/obo/EUPATH_0010119","Control eligibility check date","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","6.765671"
"vida_case","vida_enrl.csv","Vida or Vida plus case","http://purl.obolibrary.org/obo/EUPATH_0010375","Case or control subject","Participant; Human or Animal","http://purl.obolibrary.org/obo/EUPATH_0000096; http://purl.obolibrary.org/obo/EUPATH_0000612","13.929812"
"vida_case","vida_enrl.csv","Vida or Vida plus case","http://purl.obolibrary.org/obo/EUPATH_0010002","Matched case","Participant","http://purl.obolibrary.org/obo/EUPATH_0000096","13.649033"
"vida_case","vida_enrl.csv","Vida or Vida plus case","http://purl.obolibrary.org/obo/EUPATH_0010049","Case ID","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","13.649033"
"vida_case","vida_enrl.csv","Vida or Vida plus case","http://purl.obolibrary.org/obo/EUPATH_0010405","Sex, matched case","Matched case","http://purl.obolibrary.org/obo/EUPATH_0010002","12.14269"
"vida_case","vida_enrl.csv","Vida or Vida plus case","http://purl.obolibrary.org/obo/EUPATH_0010042","Enrollment date, matched case","Matched case","http://purl.obolibrary.org/obo/EUPATH_0010002","10.935786"
"vida_case","vida_enrl.csv","Vida or Vida plus case","http://purl.obolibrary.org/obo/EUPATH_0010120","Age, matched case (months)","Matched case","http://purl.obolibrary.org/obo/EUPATH_0010002","10.935786"
"vida_case","vida_enrl.csv","Vida or Vida plus case","http://purl.obolibrary.org/obo/EUPATH_0010406","Birth date, matched case","Matched case","http://purl.obolibrary.org/obo/EUPATH_0010002","10.935786"
"vida_case","vida_enrl.csv","Vida or Vida plus case","http://purl.obolibrary.org/obo/EUPATH_0015432","Index case enrolled as MSD or LSD","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","10.730261"
