"variable","dataFile","codebookDescription","suggested_IRI","suggested_label","parent_in_ontology","parent_IRI","score"
"dss_id","vida_enrl.csv","","http://purl.obolibrary.org/obo/EUPATH_0010407","Qualified as DSS resident","Eligibility criteria","http://purl.obolibrary.org/obo/EUPATH_0010036","17.44236"
"dss_id","vida_enrl.csv","","http://purl.obolibrary.org/obo/EUPATH_0010407","Qualified as DSS resident","Eligibility criteria","http://purl.obolibrary.org/obo/EUPATH_0010036","17.44236"
"dss_id","vida_enrl.csv","","http://purl.obolibrary.org/obo/EUPATH_0010407","Qualified as DSS resident","Eligibility criteria","http://purl.obolibrary.org/obo/EUPATH_0010036","17.44236"
"dss_id","vida_enrl.csv","","http://purl.obolibrary.org/obo/EUPATH_0000094","Household ID","Household; Sample source","http://purl.obolibrary.org/obo/PCO_0000024; http://purl.obolibrary.org/obo/EUPATH_0000611","6.348487"
"dss_id","vida_enrl.csv","","http://purl.obolibrary.org/obo/EUPATH_0000095","Participant ID","Participant study details; Participant; Sample source","http://purl.obolibrary.org/obo/EUPATH_0000307; http://purl.obolibrary.org/obo/EUPATH_0000096; http://purl.obolibrary.org/obo/EUPATH_0000611","6.348487"
"dss_id","vida_enrl.csv","","http://purl.obolibrary.org/obo/EUPATH_0000493","Family ID","Household information","http://purl.obolibrary.org/obo/EUPATH_0000087","6.348487"
"dss_id","vida_enrl.csv","","http://purl.obolibrary.org/obo/EUPATH_0000494","Dwelling ID","Built-environment","http://purl.obolibrary.org/obo/ENVO_00000070","6.348487"
"dss_id","vida_enrl.csv","","http://purl.obolibrary.org/obo/EUPATH_0000577","Repository ID","Sample","http://purl.obolibrary.org/obo/EUPATH_0000609","6.348487"
"dss_id","vida_enrl.csv","","http://purl.obolibrary.org/obo/EUPATH_0000606","Subject ID","Sample source","http://purl.obolibrary.org/obo/EUPATH_0000611","6.348487"
"dss_id","vida_enrl.csv","","http://purl.obolibrary.org/obo/EUPATH_0010049","Case ID","Administrative information","http://purl.obolibrary.org/obo/EUPATH_0010035","6.348487"
"childid","vida_enrl.csv","","http://purl.obolibrary.org/obo/EUPATH_0000095","Participant ID","Participant study details; Participant; Sample source","http://purl.obolibrary.org/obo/EUPATH_0000307; http://purl.obolibrary.org/obo/EUPATH_0000096; http://purl.obolibrary.org/obo/EUPATH_0000611","3.5887005"
"childid","vida_enrl.csv","","http://purl.obolibrary.org/obo/EUPATH_0000095","Participant ID","Participant study details; Participant; Sample source","http://purl.obolibrary.org/obo/EUPATH_0000307; http://purl.obolibrary.org/obo/EUPATH_0000096; http://purl.obolibrary.org/obo/EUPATH_0000611","3.5887005"
"childid","vida_enrl.csv","","http://purl.obolibrary.org/obo/EUPATH_0000095","Participant ID","Participant study details; Participant; Sample source","http://purl.obolibrary.org/obo/EUPATH_0000307; http://purl.obolibrary.org/obo/EUPATH_0000096; http://purl.obolibrary.org/obo/EUPATH_0000611","3.5887005"
