colOrder,overallOrder,displayOrder,variable_dataFile,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL
1,,,study_year,score_seasonal_allyears_suds_aug16_2019,http://purl.obolibrary.org/obo/EUPATH_0010374,Study year,,Household,,,Study data collection year,"Baseline-2015
Y1 -2016
Y2-2017
Y3-2018
Y4 -2019",variable,This study was conducted over 5 years and parasitologic data was collected each year.,,
2,,,study_arm,score_seasonal_allyears_suds_aug16_2019,http://purl.obolibrary.org/obo/EUPATH_0015457,Study arm,Abbreviation refers to randomization group. Villages were randomized into one of four arms and given different treatment regimens. Refer to study page for more detail.,Household,,,"Study arm : 1, 2, 3, 4","1=Annual mass drug administration (MDA) with praziquantel and albendazole before the peak transmission season of schistosomiasis (November/December); 2=Annual MDA with praziquantel and albendazole after the peak transmission season of schistosomiasis (March/April), 3= Two yearly treatments before and after peak transmission of schistosomiasis (November/December and March/April), 4=Annual MDA with praziquantel and albendazole before peak transmission of schistosomiasis (November/December), coupled with chemical snail control using niclosamide",variable,Study villages were randomized into one of four arms and given different treatment regimens. ,,
4,,,village_id,score_seasonal_allyears_suds_aug16_2019,http://purl.obolibrary.org/obo/EUPATH_0030004,Village code,,Household,,,,,variable,,,
6,,,age,score_seasonal_allyears_suds_aug16_2019,http://purl.obolibrary.org/obo/EUPATH_0000120,Age at enrollment,Age in years,Participant,,,Age (years),,variable,,,
7,,,x_sect,score_seasonal_allyears_suds_aug16_2019,http://purl.obolibrary.org/obo/EUPATH_0030022,Age group at enrollment,,Participant,,,"Generated based on age: 0_4= 0-4 years old, 5_8= 5-8 years old, 9_12= 9 to 12 years old, Teenage= 13 to 17 years, Adult= 18+ years.",,variable,,,
8,,,sex,score_seasonal_allyears_suds_aug16_2019,http://purl.obolibrary.org/obo/PATO_0000047,Sex,,Participant,,,Sex,"F=Female, M=Male, N=No Data",variable,,,
9,,,sm_binary,score_seasonal_allyears_suds_aug16_2019,,"Schistosoma mansoni, by microscopy","Presence or absence of Schistosoma mansoni eggs in study participant,  based on detection in the stool sample.",Sample,Schistosoma in stool,,Presence or absence of Schistosoma mansoni eggs in study participant,"0=Negative, 1=Positive, .=Missing",variable,This variable gives binary (yes/no) measure of S. mansoni infection in this study participant. If either of the two slides (two preceding variables) had at least 1 egg then the participant is positive for Sm infection. Other binary variables in this dataset were calculated in the same way. ,Non-raw data,
10,,,hook_binary,score_seasonal_allyears_suds_aug16_2019,,"Hookworm, by microscopy","Presence or absence of hookworm eggs in study participant, based on detection in the stool sample",Sample,Ancylostomatoidea in stool,,Presence or absence of hookworm eggs in study participant,"0=Negative, 1=Positive, .=Missing",value,,Non-raw data,
11,,,asc_binary,score_seasonal_allyears_suds_aug16_2019,,"Ascaris lumbricoides, by microscopy","Presence or absence of ascaris eggs in study participant,  based on detection in the the stool sample",Sample,Ascaris in stool,,Presence or absence of ascaris eggs in study participant,"0=Negative, 1=Positive, .=Missing",value,,Non-raw data,
12,,,trich_binary,score_seasonal_allyears_suds_aug16_2019,,"Trichuris trichiura, by microscopy","Presence or absence of trichuris eggs in study participant,  based on detection in the stool sample",Sample,Trichuris in stool,,Presence or absence of trichuris eggs in study participant,"0=Negative, 1=Positive, .=Missing",value,,Non-raw data,
13,,,sh_binary,score_seasonal_allyears_suds_aug16_2019,,"Schistosoma haematobium, by microscopy","Presence or absence of Schistosoma haematobium eggs in study participant,  based on detection the urine sample",Sample,Schistosoma in urine,,Presence or absence of Schistosoma haematobium eggs in study participant,"0=Negative, 1=Positive, .=Missing",value,"If 1 or more Sh eggs were found, the participant is positive for Sh. ",Non-raw data,
14,,,sh_eggs_per10ml,score_seasonal_allyears_suds_aug16_2019,,"Schistosoma haematobium (per 10 ml), by microcsopy",Number of S. haematobium eggs calculated per 10 ml urine,Sample,Schistosoma in urine,,Number of Schistosoma haematobium eggs calculated per 10 ml urine.,,value,"This is the standard infection measure: eggs found per 10 ml urine. This variable is calculated from two collected variables ""urine_vol"" and ""sh_eggs"".",Non-raw data,
15,,,long,score_seasonal_allyears_suds_aug16_2019,http://purl.obolibrary.org/obo/OBI_0001621,Longitude (degrees),,Household,,,Longitude,,variable,,,
16,,,lat,score_seasonal_allyears_suds_aug16_2019,http://purl.obolibrary.org/obo/OBI_0001620,Latitude (degrees),,Household,,,Latitude,,variable,,,
