colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
3,interview0::country,interview0,http://purl.obolibrary.org/obo/ENVO_00000009,Country,,Community,,,Country,,variable,,,,,PPFP Choices KenyaPP,,,yes,,,,,
4,interview0::int_control,interview0,http://purl.obolibrary.org/obo/EUPATH_0015457,Study arm,,Participant,,,Study arm,,variable,,,,,PPFP Choices KenyaPP,,,yes,,,,,
5,interview0::county,interview0,,County in Kenya,,Community,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,County,"1=Kilifi, 2=Meru",variable,new term,,,,PPFP Choices KenyaPP,,,,,,,,
6,interview0::screening_consent,interview0,,Consent for screening,Do you agree?,Participant,http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,Do you agree?,"0=Does not agree, 1=Agree",variable,new term,,,,PPFP Choices KenyaPP,,,,,,,,
8,interview0::stay_district,interview0,,Plan to move away,Do you plan to move away from this district within the next 12 months?,Participant,http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,Do you plan to move away from this district within the next 12 months,"0=No, 1=Yes",variable,new term,,,,PPFP Choices KenyaPP,,,,,,,,
9,interview0::deliver_health_facility,interview0,http://purl.obolibrary.org/obo/EUPATH_0047237,Intended delivery location,Are you planning to deliver your baby at a healthcare facility?,Participant,,,Are you planning to deliver your baby at a healthcare facility?,"0=No, 1=Yes",variable,,,,,PPFP Choices KenyaPP,,,,,,,,
10,interview0::deliver_study_facility,interview0,,Intended facility name,At which facility do you plan to deliver your baby?,Participant,http://purl.obolibrary.org/obo/EUPATH_0042001,Labor and delivery,At which facility do you plan to deliver your baby?,,variable,new term,,,,PPFP Choices KenyaPP,,,,,,,,
11,interview0::ga_weeks,interview0,http://purl.obolibrary.org/obo/ONTONEO_00000255,Gestational age,Calculated from LMP,Participant,,,Calculated from LMP,,variable,,,yes,,PPFP Choices KenyaPP,weeks,,,,,,,
12,interview0::eligible_by_ga,interview0,http://purl.obolibrary.org/obo/EUPATH_0047281,'Participant eligibility by gestational age,Check client eligibility by Gestational Age,Participant,,,Check client eligibility by Gestational Age,,variable,,,,,PPFP Choices KenyaPP,,,,,,,,
13,interview0::final_eligible,interview0,http://purl.obolibrary.org/obo/EUPATH_0010418,'Eligible for enrollment,Final Check for Client Eligibility,Participant,,,Final Check for Client Eligibility,,variable,,,,,PPFP Choices KenyaPP,,,,,,,,
14,interview0::consent,interview0,http://purl.obolibrary.org/obo/EUPATH_0010420,'Consent for enrollment given,Client agreed to participate?,Participant,,,Client agreed to participate?,"0=Declined to participate, 
1=Agreed to participate",variable,,,,,PPFP Choices KenyaPP,,,,,,,,
15,interview0::contact_info,interview0,,Contact information provided,Client provided contact information for the coversheet,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,'Administrative information,Client provided contact information for the coversheet,"0=No, 1=Yes",variable,new term,,,,PPFP Choices KenyaPP,,,,,,,,
16,interview0::int_0_q1e,interview0,http://purl.obolibrary.org/obo/EUPATH_0047060,'Antenatal care visits count,How many times did you visit ANY health facility to receive antenatal care for this pregnancy before today (excluding the current visit)?,Participant,,,How many times did you visit ANY health facility to receive antenatal care for this pregnancy before today?  INTERVIEWER: Please remember to exclude the current visit from the woman's total count of the number of times she has visited ANY facility for this pregnancy BEFORE today.,,variable,,yes,,,PPFP Choices KenyaPP,,,,,,,,
