uniqueVar,dataSet,variable,dataFile,variable_dataFile,file,colOrder,type,example,dateTime,formatCode,minValue,maxValue,values,uniqueValueCount,percentMissing,flag,keepDiscard,definition,category,termType,notesForOnt,notesForProvider,codebookDescription,codebookValues,notesForDL
elicit_tac_datafile::pid,ELICIT_TAC,pid,elicit_tac_datafile,pid,ELICIT_TAC_datafile.csv,1,chr,TZ1C1001,NA,NA,n/a,n/a,>10 unique values,1141,0,NA,discard,participant id number,,,,,participant id number,,
elicit_tac_datafile::scf_date,ELICIT_TAC,scf_date,elicit_tac_datafile,scf_date,ELICIT_TAC_datafile.csv,2,chr,3/20/2018,date?,%d/%m/%Y,n/a,n/a,>10 unique values,526,0,NA,keep,sample collection date,,,,,sample collection date,,
elicit_tac_datafile::irs_ran_subgroup_anti,ELICIT_TAC,irs_ran_subgroup_anti,elicit_tac_datafile,irs_ran_subgroup_anti,ELICIT_TAC_datafile.csv,3,chr,ANTI-B,NA,NA,n/a,n/a,"ANTI-A, ANTI-B",2,0,NA,keep,Antibiotic arm,,,,,Antibiotic arm,"Anti-A: Placebo, Anti-B: Antimicrobials",
elicit_tac_datafile::irs_ran_subgroup_nic,ELICIT_TAC,irs_ran_subgroup_nic,elicit_tac_datafile,irs_ran_subgroup_nic,ELICIT_TAC_datafile.csv,4,chr,NIC-A,NA,NA,n/a,n/a,"NIC-A, NIC-B",2,0,NA,keep,Nicotinamide arm,,,,,Nicotinamide arm,"Nic-A: Placebo, Nic-B: Nicotinamide",
elicit_tac_datafile::adenovirus_40_41,ELICIT_TAC,adenovirus_40_41,elicit_tac_datafile,adenovirus_40_41,ELICIT_TAC_datafile.csv,5,dbl,40,NA,NA,6.016,40,6.016 to 40,299,0.004930779,NA,keep,Cycle threshold,,,,,Cycle threshold,,
elicit_tac_datafile::campylobacter_jejuni_coli,ELICIT_TAC,campylobacter_jejuni_coli,elicit_tac_datafile,campylobacter_jejuni_coli,ELICIT_TAC_datafile.csv,6,dbl,40,NA,NA,16.86,40,16.86 to 40,1514,0.005499716,NA,keep,Cycle threshold,,,,,Cycle threshold,,
elicit_tac_datafile::cryptosporidium,ELICIT_TAC,cryptosporidium,elicit_tac_datafile,cryptosporidium,ELICIT_TAC_datafile.csv,7,dbl,40,NA,NA,12.45,40,12.45 to 40,824,0.004741134,NA,keep,Cycle threshold,,,,,Cycle threshold,,
elicit_tac_datafile::e_bieneusi,ELICIT_TAC,e_bieneusi,elicit_tac_datafile,e_bieneusi,ELICIT_TAC_datafile.csv,8,dbl,40,NA,NA,16.283,40,16.283 to 40,757,0.00531007,NA,keep,Cycle threshold,,,,,Cycle threshold,,
elicit_tac_datafile::giardia,ELICIT_TAC,giardia,elicit_tac_datafile,giardia,ELICIT_TAC_datafile.csv,9,dbl,19.159,NA,NA,11.104,40,11.104 to 40,1528,0.007585815,NA,keep,Cycle threshold,,,,,Cycle threshold,,
elicit_tac_datafile::norovirus_gii,ELICIT_TAC,norovirus_gii,elicit_tac_datafile,norovirus_gii,ELICIT_TAC_datafile.csv,10,dbl,21.847,NA,NA,16.486,40,16.486 to 40,778,0.014602693,NA,keep,Cycle threshold,,,,,Cycle threshold,,
elicit_tac_datafile::shigella_eiec,ELICIT_TAC,shigella_eiec,elicit_tac_datafile,shigella_eiec,ELICIT_TAC_datafile.csv,11,dbl,40,NA,NA,16.443,40,16.443 to 40,591,0.005120425,NA,keep,Cycle threshold,,,,,Cycle threshold,,
