colOrder,dataFile,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType,termType
2,ELICIT_TAC_datafile.csv,scf_date,elicit_tac_datafile,http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,sample collection date,Sample,http://purl.obolibrary.org/obo/OBI_0000659,Sample collection process,sample collection date,,,yes,yes,yes,ELICIT_TAC,,,yes,,,,,,,variable
3,ELICIT_TAC_datafile.csv,irs_ran_subgroup_anti,elicit_tac_datafile,http://purl.obolibrary.org/obo/EUPATH_0049403,Antibiotic arm,Antibiotic arm,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Antibiotic arm,"Anti-A: Placebo, Anti-B: Antimicrobials",,yes,,,ELICIT_TAC,,,yes,,,,,,,variable
4,ELICIT_TAC_datafile.csv,irs_ran_subgroup_nic,elicit_tac_datafile,http://purl.obolibrary.org/obo/EUPATH_0049402,Nicotinamide arm,Nicotinamide arm,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,Nicotinamide arm,"Nic-A: Placebo, Nic-B: Nicotinamide",,yes,,,ELICIT_TAC,,,yes,,,,,,,variable
5,ELICIT_TAC_datafile.csv,adenovirus_40_41,elicit_tac_datafile,http://purl.obolibrary.org/obo/EUPATH_0015331,"Adenovirus 40/41, by TAC result",Cycle threshold,Sample,http://purl.obolibrary.org/obo/OBI_0003266,Raw virus data for stool,Cycle threshold,,need new ontology term,yes,,,ELICIT_TAC,,,,,,0,,,,variable
6,ELICIT_TAC_datafile.csv,campylobacter_jejuni_coli,elicit_tac_datafile,http://purl.obolibrary.org/obo/EUPATH_0015341,"Campylobacter jejuni or C. coli, by TAC result",Cycle threshold,Sample,http://purl.obolibrary.org/obo/OBI_0003264,Raw bacteria data for stool,Cycle threshold,,,yes,,,ELICIT_TAC,,,,,,0,,,,variable
7,ELICIT_TAC_datafile.csv,cryptosporidium,elicit_tac_datafile,http://purl.obolibrary.org/obo/EUPATH_0015342,"Cryptosporidium, by TAC result",Cycle threshold,Sample,http://purl.obolibrary.org/obo/OBI_0003265,Raw eukaryota data for stool,Cycle threshold,,,yes,,,ELICIT_TAC,,,,,,0,,,,variable
8,ELICIT_TAC_datafile.csv,e_bieneusi,elicit_tac_datafile,http://purl.obolibrary.org/obo/EUPATH_0015350,"Enterocytozoon bieneusi, by TAC result",Cycle threshold,Sample,http://purl.obolibrary.org/obo/OBI_0003265,Raw eukaryota data for stool,Cycle threshold,,,yes,,,ELICIT_TAC,,,,,,0,,,,variable
9,ELICIT_TAC_datafile.csv,giardia,elicit_tac_datafile,http://purl.obolibrary.org/obo/EUPATH_0015360,"Giardia, by TAC result",Cycle threshold,Sample,http://purl.obolibrary.org/obo/OBI_0003265,Raw eukaryota data for stool,Cycle threshold,,,yes,,,ELICIT_TAC,,,,,,0,,,,variable
10,ELICIT_TAC_datafile.csv,norovirus_gii,elicit_tac_datafile,http://purl.obolibrary.org/obo/EUPATH_0015365,"Norovirus GII, by TAC result",Cycle threshold,Sample,http://purl.obolibrary.org/obo/OBI_0003266,Raw virus data for stool,Cycle threshold,,,yes,,,ELICIT_TAC,,,,,,0,,,,variable
11,ELICIT_TAC_datafile.csv,shigella_eiec,elicit_tac_datafile,http://purl.obolibrary.org/obo/EUPATH_0015383,"Shigella or EIEC, by TAC result",Cycle threshold,Sample,http://purl.obolibrary.org/obo/OBI_0003264,Raw bacteria data for stool,Cycle threshold,,,yes,,,ELICIT_TAC,,,,,,0,,,,variable
12,ELICIT_TAC_datafile.csv,EAEC,elicit_tac_datafile,http://purl.obolibrary.org/obo/EUPATH_0015389,"EAEC, by TAC result",Cycle threshold,Sample,http://purl.obolibrary.org/obo/OBI_0003264,Raw bacteria data for stool,Cycle threshold,,,yes,,,ELICIT_TAC,,,,,,0,,,,variable
13,ELICIT_TAC_datafile.csv,ST_ETEC,elicit_tac_datafile,http://purl.obolibrary.org/obo/EUPATH_0015392,"ETEC ST-pos, by TAC result",Cycle threshold,Sample,http://purl.obolibrary.org/obo/OBI_0003264,Raw bacteria data for stool,Cycle threshold,,hmmm maybe not this term because of the ops?,yes,,,ELICIT_TAC,,,,,,0,,,,variable
14,ELICIT_TAC_datafile.csv,LT_ETEC,elicit_tac_datafile,http://purl.obolibrary.org/obo/EUPATH_0015355,"ETEC LT-pos, by TAC result",Cycle threshold,Sample,http://purl.obolibrary.org/obo/OBI_0003264,Raw bacteria data for stool,Cycle threshold,,,yes,,,ELICIT_TAC,,,,,,0,,,,variable
15,ELICIT_TAC_datafile.csv,tEPEC,elicit_tac_datafile,http://purl.obolibrary.org/obo/EUPATH_0015396,"Typical EPEC, by TAC result",Cycle threshold,Sample,http://purl.obolibrary.org/obo/OBI_0003264,Raw bacteria data for stool,Cycle threshold,,,yes,,,ELICIT_TAC,,,,,,0,,,,variable
16,ELICIT_TAC_datafile.csv,STEC,elicit_tac_datafile,http://purl.obolibrary.org/obo/EUPATH_0015398,"STEC, by TAC result",Cycle threshold,Sample,http://purl.obolibrary.org/obo/OBI_0003264,Raw bacteria data for stool,Cycle threshold,,,yes,,,ELICIT_TAC,,,,,,0,,,,variable
