IRI,label,displayOrder,variable,dataFile,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,replaces
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,,http://www.w3.org/2002/07/owl#Thing,,,category,
http://purl.obolibrary.org/obo/EUPATH_0000407,District,2,district.of.residence,mergedindiacovid,District of residence,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,District of residence,,variable,
http://purl.obolibrary.org/obo/EUPATH_0021095,State,1,state.of.residence,mergedindiacovid,State of residence,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,State of residence,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049002,Village or town,3,village.town,mergedindiacovid,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,Village or town,,variable,
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,1,,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category,
http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,,,,,Observation,,http://www.w3.org/2002/07/owl#Thing,,,category,
http://purl.obolibrary.org/obo/EUPATH_0049020,Human metapneumovirus infection,4,human.metapneumovirus,mergedindiacovid,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Human metapneumovirus,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049019,Influenza A infection,3,influenza.a,mergedindiacovid,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Influenza A,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049008,Respiratory infection: influenza-like illness,2,respiratory.infection.influenza.like.illness,mergedindiacovid,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Respiratory infection- Infuenza-like illness,,variable,
http://purl.obolibrary.org/obo/NCIT_C173766,Severe Acute Respiratory Infection (SARI),1,respiratory.infection.sari,mergedindiacovid,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Respiratory infection Sari,,variable,
http://purl.obolibrary.org/obo/EUPATH_0000318,Admitting hospital,2,hospital.name,mergedindiacovid,,Observation,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospital name,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049013,Hospital district,4,hospital.district,mergedindiacovid,,Observation,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospital district,,variable,
http://purl.obolibrary.org/obo/EUPATH_0049012,Hospital state,3,hospital.state,mergedindiacovid,,Observation,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospital state,,variable,
http://purl.obolibrary.org/obo/EUPATH_0010995,Hospitalized,1,hospitalized,mergedindiacovid,,Observation,Hospitalization,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalized,,variable,
