colOrder,variable,dataFile,keepDiscard,definition,category,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,uniqueVar,dataSet,variable_dataFile,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag
1,case_id,agg_follow_up,discard,,,primary key for case,0,,,,NA,agg_follow_up::case_id,BetterBirth,case_id,dbl,25205,NA,NA,3318 to 324949,159843,0,duplicated variable
2,site_id,agg_follow_up,discard,,,foreign key to dim_sites,0,,,,NA,agg_follow_up::site_id,BetterBirth,site_id,int,640,NA,NA,100 to 642,120,0,duplicated variable
3,arm_name,agg_follow_up,keep,,,which arm the site is in (control; intervention),0,,,,NA,agg_follow_up::arm_name,BetterBirth,arm_name,chr,intervention,NA,NA,"control, intervention",2,0,duplicated variable
4,data_source,agg_follow_up,keep,,,"which form provided this data; ""multiple"" is possible value",0,,,,NA,agg_follow_up::data_source,BetterBirth,data_source,chr,cati_follow_up,NA,NA,"cati_follow_up, cati_remote_home_visit, cati_tl_follow_up, cati_tl_remote_home_visit, fida_follow_up, fida_tl_home_visit, multiple",7,0,NA
5,received,agg_follow_up,discard,,,"when the form with data was received; if multiple follow-up streams, this is the latest one",0,,,,NA,agg_follow_up::received,BetterBirth,received,chr,3/2/16 8:10,NA,NA,>10 unique values,158217,0,duplicated variable
6,response_person,agg_follow_up,keep,,,who provided the responses,1,,,,NA,agg_follow_up::response_person,BetterBirth,response_person,int,1,NA,NA,-1 to 3,4,0,NA
7,delivery_date,agg_follow_up,keep,,,"the delivery date, as specified by follow-up process",0,,,,NA,agg_follow_up::delivery_date,BetterBirth,delivery_date,chr,4/29/16,date?,%Y-%m-%d,>10 unique values,723,0.955149741,NA
8,delivery_type,agg_follow_up,keep,,,"the delivery type, as specified by the follow-up process",1,,,,NA,agg_follow_up::delivery_type,BetterBirth,delivery_type,int,NA,NA,NA,1 to 2,2,0,NA
9,num_of_births,agg_follow_up,keep,,,"the number of births, as specified by follow-up process",0,,,,NA,agg_follow_up::num_of_births,BetterBirth,num_of_births,int,NA,NA,NA,1 to 3,3,0,NA
10,baby_alive_at_discharge,agg_follow_up,keep,,,"was the baby alive at discharged (singletons only), as specified by follow-up process",1,,,,NA,agg_follow_up::baby_alive_at_discharge,BetterBirth,baby_alive_at_discharge,int,NA,NA,NA,0 to 1,2,0,NA
11,num_stillborn_dead_babies,agg_follow_up,keep,,,"how many babies did not survive birth (multiples only), as specified by follow-up process",1,,,,NA,agg_follow_up::num_stillborn_dead_babies,BetterBirth,num_stillborn_dead_babies,int,NA,NA,NA,0 to 2,3,0,NA
12,maternal_death_occurred,agg_follow_up,keep,,,How is the mother's health?,1,,,,NA,agg_follow_up::maternal_death_occurred,BetterBirth,maternal_death_occurred,int,NA,NA,NA,0 to 1,2,0,NA
13,maternal_death_7days,agg_follow_up,keep,,,Did the death occur within 7 days after delivery?,1,,,,NA,agg_follow_up::maternal_death_7days,BetterBirth,maternal_death_7days,int,NA,NA,NA,0 to 1,2,0,NA
14,baby1_death,agg_follow_up,keep,,,How is the baby's health?,1,,,,NA,agg_follow_up::baby1_death,BetterBirth,baby1_death,int,0,NA,NA,0 to 1,2,0,NA
15,baby1_death_7days,agg_follow_up,keep,,,Did the death occur within 7 days after delivery?,1,,,,NA,agg_follow_up::baby1_death_7days,BetterBirth,baby1_death_7days,int,NA,NA,NA,0 to 1,2,0,NA
16,baby2_death,agg_follow_up,keep,,,How is the baby's health (Baby 2)?,1,,,,NA,agg_follow_up::baby2_death,BetterBirth,baby2_death,int,NA,NA,NA,0 to 1,2,0,NA
17,baby2_death_7days,agg_follow_up,keep,,,Did the death occur within 7 days after delivery (Baby 2)?,1,,,,NA,agg_follow_up::baby2_death_7days,BetterBirth,baby2_death_7days,int,NA,NA,NA,0 to 1,2,0,NA
18,baby3_death,agg_follow_up,keep,,,How is the baby's health (Baby 3)?,1,,,,NA,agg_follow_up::baby3_death,BetterBirth,baby3_death,int,NA,NA,NA,0 to 1,2,0,NA
19,baby3_death_7days,agg_follow_up,keep,,,Did the death occur within 7 days after delivery (Baby 3)?,1,,,,NA,agg_follow_up::baby3_death_7days,BetterBirth,baby3_death_7days,int,NA,NA,NA,0 to 1,2,0,NA
20,fits,agg_follow_up,keep,,,Fits/Seizure during or after delivery at any time up until now,1,,,,NA,agg_follow_up::fits,BetterBirth,fits,int,0,NA,NA,0 to 3,4,0,NA
21,fits_7days,agg_follow_up,keep,,,Did the seizure occur within 7 days after delivery?,1,,,,NA,agg_follow_up::fits_7days,BetterBirth,fits_7days,int,NA,NA,NA,0 to 1,2,0,NA
22,loss_consciousness,agg_follow_up,keep,,,Loss of consciousness for > 1 hours during or after delivery at any time up until now?,1,,,,NA,agg_follow_up::loss_consciousness,BetterBirth,loss_consciousness,int,0,NA,NA,0 to 99,5,0,NA
23,loss_consciousness_7days,agg_follow_up,keep,,,Did this unconsciousness occur within 7 days after delivery?,1,,,,NA,agg_follow_up::loss_consciousness_7days,BetterBirth,loss_consciousness_7days,int,NA,NA,NA,0 to 2,3,0,NA
24,loss_consciousness_conf,agg_follow_up,keep,,,Reconfirm that unconsciousness was for at least an hour,1,,,,NA,agg_follow_up::loss_consciousness_conf,BetterBirth,loss_consciousness_conf,int,NA,NA,NA,0 to 2,3,0,NA
25,fever,agg_follow_up,keep,,,Fever during or after delivery at any time up until now?,1,,,,NA,agg_follow_up::fever,BetterBirth,fever,int,0,NA,NA,0 to 3,4,0,NA
26,fever_smelly_discharge,agg_follow_up,keep,,,Did this fever come with a smelly vaginal discharge?,1,,,,NA,agg_follow_up::fever_smelly_discharge,BetterBirth,fever_smelly_discharge,int,NA,NA,NA,0 to 2,3,0,NA
27,fever_7days,agg_follow_up,keep,,,Did the fever occur within 7 days after delivery?,1,,,,NA,agg_follow_up::fever_7days,BetterBirth,fever_7days,int,NA,NA,NA,0 to 2,3,0,NA
28,transfusion,agg_follow_up,keep,,,Receive a blood transfusion during or after delivery at any time up until now?,1,,,,NA,agg_follow_up::transfusion,BetterBirth,transfusion,int,0,NA,NA,0 to 3,4,0,NA
29,transfusion_7days,agg_follow_up,keep,,,Did the blood transfusion occur within 7 days after delivery?,1,,,,NA,agg_follow_up::transfusion_7days,BetterBirth,transfusion_7days,int,NA,NA,NA,0 to 1,2,0,NA
30,hysterectomy,agg_follow_up,keep,,,Have an operation to remove her uterus or womb at any time after delivery up until now?,1,,,,NA,agg_follow_up::hysterectomy,BetterBirth,hysterectomy,int,0,NA,NA,0 to 3,4,0,NA
31,hysterectomy_7days,agg_follow_up,keep,,,Did the operation occur within 7 days after delivery?,1,,,,NA,agg_follow_up::hysterectomy_7days,BetterBirth,hysterectomy_7days,int,NA,NA,NA,0 to 1,2,0,NA
32,stroke,agg_follow_up,keep,,,Have a stroke (paralysis) during or after delivery at any time up until now?,1,,,,NA,agg_follow_up::stroke,BetterBirth,stroke,int,0,NA,NA,0 to 3,4,0,NA
33,stroke_7days,agg_follow_up,keep,,,Did the stroke occur within 7 days after delivery?,1,,,,NA,agg_follow_up::stroke_7days,BetterBirth,stroke_7days,int,NA,NA,NA,0 to 1,2,0,NA
34,bleeding,agg_follow_up,keep,,,Lot of bleeding during or after delivery at any time up until now?,1,,,,NA,agg_follow_up::bleeding,BetterBirth,bleeding,int,0,NA,NA,0 to 3,4,0,NA
35,bleeding_amount,agg_follow_up,keep,,,"Did the blood wet her clothes, the bed, or the floor?",1,,,,NA,agg_follow_up::bleeding_amount,BetterBirth,bleeding_amount,int,NA,NA,NA,0 to 2,3,0,NA
36,bleeding_7days,agg_follow_up,keep,,,Did this bleeding occur within 7 days after delivery?,1,,,,NA,agg_follow_up::bleeding_7days,BetterBirth,bleeding_7days,int,NA,NA,NA,0 to 2,3,0,NA
37,baby_return,agg_follow_up,keep,,,"After the baby left the facility to go home, did anyone have to bring the baby back to a health care facility because of a problem?",1,,,,NA,agg_follow_up::baby_return,BetterBirth,baby_return,int,1,NA,NA,0 to 99,5,0,NA
38,baby_return_7days,agg_follow_up,keep,,,Did this visit to a health care facility occur within 7 days of delivery?,1,,,,NA,agg_follow_up::baby_return_7days,BetterBirth,baby_return_7days,int,1,NA,NA,0 to 1,2,0,NA
39,mother_return,agg_follow_up,keep,,,"After the mother left the facility, did she have to go back to a health care facility because of a problem?",1,,,,NA,agg_follow_up::mother_return,BetterBirth,mother_return,int,0,NA,NA,0 to 99,5,0,NA
40,mother_return_7days,agg_follow_up,keep,,,Did she have to visit the health care facility within 7 days of delivery?,1,,,,NA,agg_follow_up::mother_return_7days,BetterBirth,mother_return_7days,int,NA,NA,NA,0 to 2,3,0,NA
41,patient_facility_satis,agg_follow_up,keep,,,How satisfied are you with the care you received at this facility?,1,,,,NA,agg_follow_up::patient_facility_satis,BetterBirth,patient_facility_satis,int,1,NA,NA,1 to 5,5,0,NA
42,patient_recommend_fac,agg_follow_up,keep,,,How likely are you to recommend this facility to your friends or family for their delivery?,1,,,,NA,agg_follow_up::patient_recommend_fac,BetterBirth,patient_recommend_fac,int,1,NA,NA,1 to 5,5,0,NA
43,pexp_danger_signs_resp,agg_follow_up,keep,,,"Before you left the hospital, were you told to look for complications for which you should seek medical help? (Listen for respondent to mention any of the acceptable danger signs listed for mother or for baby)",1,,,,NA,agg_follow_up::pexp_danger_signs_resp,BetterBirth,pexp_danger_signs_resp,int,0,NA,NA,0 to 2,3,0,NA
44,pair_name,agg_follow_up,keep,,,pair to which the site belongs,NA,,,,NA,agg_follow_up::pair_name,BetterBirth,pair_name,chr,P3-P19,NA,NA,>10 unique values,60,0,duplicated variable
