"colOrder","variable","dataFile","IRI","label","definition","category","parentIRI","parentLabel","codebookDescription","codebookValues","termType","notesForOnt","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth","forceStringType"
"3","agg_follow_up::arm_name","agg_follow_up","EUPATH_0044124","Cluster study arm","","Community","","","which arm the site is in (control; intervention)","","variable","","","","","BetterBirth","","","","","","","","",""
"4","agg_follow_up::data_source","agg_follow_up","BFO_0000015","Observation type","","Participant","","","which form provided this data; ""multiple"" is possible value","","variable","","","","","BetterBirth","","","","","","","","",""
"6","agg_follow_up::response_person","agg_follow_up","EUPATH_0010123","Interviewee's relationship to participant","","Participant","","","who provided the responses","1	Mother
0	Husband
3	Other Immediate Family Member","variable","","","","","BetterBirth","","","","","","","","",""
"7","agg_follow_up::delivery_date","agg_follow_up","EUPATH_0042043","Delivery date","","Participant","","","the delivery date, as specified by follow-up process","","variable","","","","","BetterBirth","","","","","","","","",""
"8","agg_follow_up::delivery_type","agg_follow_up","EUPATH_0000581","Delivery mode","","Participant","","","the delivery type, as specified by the follow-up process","1	Normal
2	C-Section
99	Unable to Complete Call","variable","","","","","BetterBirth","","","","","","","","",""
"9","agg_follow_up::num_of_births","agg_follow_up","EUPATH_0042087","Infant count","Number of infants born to the participant during the study","Participant","","","the number of births, as specified by follow-up process","","variable","","","","","BetterBirth","","","","","","","","",""
"","agg_follow_up::num_stillborn_dead_babies_2","agg_follow_up","","Dead infant count","Number of infants born to the participant during the study who did not survive birth (i.e. stillbirth)","Participant","EUPATH_0042001","Labor and delivery","how many babies did not survive birth","","variable,derived","","","","","BetterBirth","","","","","","","","",""
"12","agg_follow_up::maternal_death_occurred","agg_follow_up","EUPATH_0038398","Vital status","","Participant","","","How is the mother's health?","0	Alive
1	Dead
99	Unable to Complete Call","variable","","","","","BetterBirth","","","","","","","","",""
"13","agg_follow_up::maternal_death_7days","agg_follow_up","","Died within 7 days of delivery","","Participant","EUPATH_0000671","Death information","Did the death occur within 7 days after delivery?","1	Yes
0	No
2	Unknown","variable","","","","","BetterBirth","","","","","","","","",""
"14","agg_follow_up::baby1_death","agg_follow_up","EUPATH_0049850","Child vital status","","Participant","EUPATH_0042396","Child observation details","How is the baby's health?","0	Alive
1	Dead
99	Unable to Complete Call","variable","","","","","BetterBirth","","","","","","","","",""
"15","agg_follow_up::baby1_death_7days","agg_follow_up","","Child died within 7 days of delivery","","Participant","EUPATH_0042389","Child death information","Did the death occur within 7 days after delivery?","1	Yes
0	No
2	Unknown","variable","","","","","BetterBirth","","","","","","","","",""
"16","agg_follow_up::baby2_death","agg_follow_up","","Child 2 vital status","","Participant","EUPATH_0042396","Child observation details","How is the baby's health (Baby 2)?","0	Alive
1	Dead","variable","","","","","BetterBirth","","","","","","","","",""
"17","agg_follow_up::baby2_death_7days","agg_follow_up","","Child 2 died within 7 days of delivery","","Participant","EUPATH_0042389","Child death information","Did the death occur within 7 days after delivery (Baby 2)?","1	Yes
0	No
2	Unknown","variable","","","","","BetterBirth","","","","","","","","",""
"18","agg_follow_up::baby3_death","agg_follow_up","","Child 3 vital status","","Participant","EUPATH_0042396","Child observation details","How is the baby's health (Baby 3)?","0	Alive
1	Dead","variable","","","","","BetterBirth","","","","","","","","",""
"19","agg_follow_up::baby3_death_7days","agg_follow_up","","Child 3 died within 7 days of delivery","","Participant","EUPATH_0042389","Child death information","Did the death occur within 7 days after delivery (Baby 3)?","1	Yes
0	No
2	Unknown","variable","","","","","BetterBirth","","","","","","","","",""
"","","","EUPATH_0021002","Symptoms","Symptoms that occurred at any point during or after delivery, up until the follow-up interview. If the participant had a fever, they were asked if it came with smelly vaginal discharge","Participant","EUPATH_0000309","Signs and symptoms","","","multifilter","","","","","BetterBirth","","","","","","","","",""
"20","agg_follow_up::fits","agg_follow_up","SYMP_0000124","Seizures","","Participant","EUPATH_0021002","Symptoms","Fits/Seizure during or after delivery at any time up until now","1	Yes
0	No
2	Unknown
3	Refused to Answer
99	Unable to Complete Call","value","","","","","BetterBirth","","","","","","","","",""
"","","","","Symptoms in 7 days after delivery","Symptoms that occurred within 7 days after delivery","Participant","EUPATH_0000309","Signs and symptoms","","","multifilter","","","","","BetterBirth","","","","","","","","",""
"21","agg_follow_up::fits_7days","agg_follow_up","","Seizures","","Participant","","Symptoms in 7 days after delivery","Did the seizure occur within 7 days after delivery?","1	Yes
0	No
2	Unknown","value","","","","","BetterBirth","","","","","","","","",""
"22","agg_follow_up::loss_consciousness","agg_follow_up","","Loss of consciousness","","Participant","EUPATH_0021002","Symptoms","Loss of consciousness for > 1 hours during or after delivery at any time up until now?","1	Yes
0	No
2	Unknown
3	Refused to Answer
99	Unable to Complete Call","value","","","","","BetterBirth","","","","","","","","",""
"23","agg_follow_up::loss_consciousness_7days","agg_follow_up","","Loss of consciousness","","Participant","","Symptoms in 7 days after delivery","Did this unconsciousness occur within 7 days after delivery?","1	Yes
0	No
2	Unknown","value","","","","","BetterBirth","","","","","","","","",""
"24","agg_follow_up::loss_consciousness_conf","agg_follow_up","","Unconscious for >1 hour","Confirmation that any loss of consciousness was for >1 hour","Participant","EUPATH_0000309","Signs and symptoms","Reconfirm that unconsciousness was for at least an hour","1	Yes
0	No
2	Unknown","variable","","","","","BetterBirth","","","","","","","","",""
"25","agg_follow_up::fever","agg_follow_up","EUPATH_0000100","Subjective fever","","Participant","EUPATH_0021002","Symptoms","Fever during or after delivery at any time up until now?","1	Yes
0	No
2	Unknown
3	Refused to Answer
99	Unable to Complete Call","value","","","","","BetterBirth","","","","","","","","",""
"26","agg_follow_up::fever_smelly_discharge","agg_follow_up","","Smelly vaginal discharge ","","Participant","EUPATH_0021002","Symptoms","Did this fever come with a smelly vaginal discharge?","1	Yes
0	No
2	Unknown","value","","","","","BetterBirth","","","","","","","","",""
"27","agg_follow_up::fever_7days","agg_follow_up","","Subjective fever","","Participant","","Symptoms in 7 days after delivery","Did the fever occur within 7 days after delivery?","1	Yes
0	No
2	Unknown","value","","","","","BetterBirth","","","","","","","","",""
"28","agg_follow_up::transfusion","agg_follow_up","EUPATH_0021160","Blood transfusion","Participant received a blood transfusion during or after delivery at any time up until the follow-up interview","Participant","","","Receive a blood transfusion during or after delivery at any time up until now?","1	Yes
0	No
2	Unknown
3	Refused to Answer
99	Unable to Complete Call","variable","","","","","BetterBirth","","","","","","","","",""
"29","agg_follow_up::transfusion_7days","agg_follow_up","","Blood transfusion in 7 days after delivery","Participant received a blood transfusion within 7 days after delivery","Participant","OGMS_0000090","Treatment","Did the blood transfusion occur within 7 days after delivery?","1	Yes
0	No
2	Unknown","variable","","","","","BetterBirth","","","","","","","","",""
"30","agg_follow_up::hysterectomy","agg_follow_up","","Hysterectomy","Participant had an operation to remove her uterus or womb at any time after delivery up until the follow-up interview","Participant","OGMS_0000090","Treatment","Have an operation to remove her uterus or womb at any time after delivery up until now?","1	Yes
0	No
2	Unknown
3	Refused to Answer
99	Unable to Complete Call","variable","","","","","BetterBirth","","","","","","","","",""
"31","agg_follow_up::hysterectomy_7days","agg_follow_up","","Hysterectomy in 7 days after delivery","Participant had an operation to remove her uterus or womb within 7 days after delivery","Participant","OGMS_0000090","Treatment","Did the operation occur within 7 days after delivery?","1	Yes
0	No
2	Unknown","variable","","","","","BetterBirth","","","","","","","","",""
"32","agg_follow_up::stroke","agg_follow_up","","Stroke or paralysis","","Participant","EUPATH_0021002","Symptoms","Have a stroke (paralysis) during or after delivery at any time up until now?","1	Yes
0	No
2	Unknown
3	Refused to Answer
99	Unable to Complete Call","value","","","","","BetterBirth","","","","","","","","",""
"33","agg_follow_up::stroke_7days","agg_follow_up","","Stroke or paralysis","","Participant","","Symptoms in 7 days after delivery","Did the stroke occur within 7 days after delivery?","1	Yes
0	No
2	Unknown","value","","","","","BetterBirth","","","","","","","","",""
"34","agg_follow_up::bleeding","agg_follow_up","","Bleeding","","Participant","EUPATH_0021002","Symptoms","Lot of bleeding during or after delivery at any time up until now?","1	Yes
0	No
2	Unknown
3	Refused to Answer
99	Unable to Complete Call","value","","","","","BetterBirth","","","","","","","","",""
"35","agg_follow_up::bleeding_amount","agg_follow_up","","Heavy bleeding","If the participant had bleeding, whether it wet her clothes, the bed, or the floor","Participant","EUPATH_0000309","Signs and symptoms","Did the blood wet her clothes, the bed, or the floor?","1	Yes
0	No
2	Unknown","variable","","","","","BetterBirth","","","","","","","","",""
"36","agg_follow_up::bleeding_7days","agg_follow_up","","Bleeding","","Participant","","Symptoms in 7 days after delivery","Did this bleeding occur within 7 days after delivery?","1	Yes
0	No
2	Unknown","value","","","","","BetterBirth","","","","","","","","",""
"37","agg_follow_up::baby_return","agg_follow_up","","Child returned to health facility","After the infant was born and left the facility, whether they were brought back to a health care facility because of a problem","Participant","EUPATH_0042347","Child hospitalization","After the baby left the facility to go home, did anyone have to bring the baby back to a health care facility because of a problem?","1	Yes
0	No
2	Unknown
3	Refused to Answer
99	Unable to Complete Call","variable","","","","","BetterBirth","","","","","","","","",""
"38","agg_follow_up::baby_return_7days","agg_follow_up","","Child returned to health facility within 7 days after birth","After the infant was born and left the facility, whether they were brought back to a health care facility within 7 days of birth because of a problem","Participant","EUPATH_0042347","Child hospitalization","Did this visit to a health care facility occur within 7 days of delivery?","1	Yes
0	No
2	Unknown","variable","","","","","BetterBirth","","","","","","","","",""
"39","agg_follow_up::mother_return","agg_follow_up","","Returned to health facility","After the participant left the facility following delivery, whether she had to go back to a health care facility because of a problem","Participant","EUPATH_0000308","Hospitalization","After the mother left the facility, did she have to go back to a health care facility because of a problem?","1	Yes
0	No
2	Unknown
3	Refused to Answer
99	Unable to Complete Call","variable","","","","","BetterBirth","","","","","","","","",""
"40","agg_follow_up::mother_return_7days","agg_follow_up","","Returned to health facility within 7 days after delivery","After the participant left the facility, whether she had to go back to a health care facility within 7 days of delivery due to a problem","Participant","EUPATH_0000308","Hospitalization","Did she have to visit the health care facility within 7 days of delivery?","1	Yes
0	No
2	Unknown","variable","","","","","BetterBirth","","","","","","","","",""
"41","agg_follow_up::patient_facility_satis","agg_follow_up","","Satisfied with care","How satisfied the participant is with the care they received at this facility","Participant","EUPATH_0015677","Health care attitudes","How satisfied are you with the care you received at this facility?","1	Very satisfied
2	Somewhat satisfied
3	Somewhat unsatisfied
4	Very unsatisfied
5	No answer given","variable","","","","","BetterBirth","","","","","","","","",""
"42","agg_follow_up::patient_recommend_fac","agg_follow_up","","Recommend health center","How likely the participant is to recommend this facility to their friends or family for their delivery","Participant","EUPATH_0015677","Health care attitudes","How likely are you to recommend this facility to your friends or family for their delivery?","1	Very likely
2	Somewhat likely
3	Somewhat unlikely
4	Not likely at all
5	No answer given","variable","","","","","BetterBirth","","","","","","","","",""
