colOrder,variable,dataFile,IRI,label,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
3,ea_level_dataset::intarm_actual,ea_level_dataset,http://purl.obolibrary.org/obo/EUPATH_0044124,Cluster study arm,Intervention arm,Community,,,(first) intarm_actual,"""RO"", ""RV"", ""TO"", ""TV""",variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
53,ea_level_dataset::mohss_first_date,ea_level_dataset,,MOHSS first date,Ministry of Health and Social Services first date,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(first) mohss_first_date,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
20,ea_level_dataset::ea_first_case_date,ea_level_dataset,,First case date,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(max) ea_first_case_date_pat,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
88,ea_level_dataset::average_annual_incidence,ea_level_dataset,,Average annual incidence,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
7,ea_level_dataset::ea_type | sdss_index_deidentified_forclinepidb::ea_type,ea_level_dataset,,Area type,EA_Type,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,EA_Type,"Rural, Urban",variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
42,ea_level_dataset::mean_hh_distance_to_hf_km,ea_level_dataset,,Average distance to health facility,Mean household distance to health facility in the cluster,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,km,http://purl.obolibrary.org/obo/EUPATH_0020269,,,,,,
40,ea_level_dataset::mean_nearest_hh_distance_meters,ea_level_dataset,,Average distance to the  nearest household,,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,(mean) nearest_hh_distance_meters,,variable,,,,,Namibia_RACD_rfMDA_RAVC,m,http://purl.obolibrary.org/obo/UO_0000008,,,,,,
66,ea_level_dataset::mohss_breeding_sites_identified,ea_level_dataset,,Mosquito breeding sites identified count,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(sum) breeding_sites_identified,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
67,ea_level_dataset::mohss_breeding_sites_treated,ea_level_dataset,,Mosquito breeding sites treated count,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(sum) breeding_sites_treated,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
30,ea_level_dataset::ea_person_time_years,ea_level_dataset,,Cluster person time,Person time based on cluster level,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,person-year,,,,,,,
34,ea_level_dataset::ea_cases_covered,ea_level_dataset,,Cases covered by intervention count,Cases covered by an intervention,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,cases covered by an intv,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
35,ea_level_dataset::ea_cases_covered_r,ea_level_dataset,,Cases covered by RACD intervention count,Cases covered by a RACD (reactive case detection) intervention,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,cases covered by a RACD intv,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
36,ea_level_dataset::ea_cases_covered_t,ea_level_dataset,,Cases covered by TPE intervention count,Cases covered by a TPE (targeted parasite elimination) intervention,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,cases covered by a TPE intv,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
12,ea_level_dataset::constituency | individual_deidentified_forclinepidb::constituency |sdss_index_deidentified_forclinepidb::constituency,ea_level_dataset,,Constituency,constituency- from EA data,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,constituency- from EA data,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
91,ea_level_dataset::cumulative_incidence_2012_2016,ea_level_dataset,,Cumulative incidence 2012-2016,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
92,ea_level_dataset::cumulative_incidence_2014,ea_level_dataset,,Cumulative incidence 2013-2014,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,Cumulative incidence 2013-2014,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
90,ea_level_dataset::cumulative_incidence_2016,ea_level_dataset,,"Cumulative incidence over 2013, 2014, and 2016",,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,"Cumulative incidence over 2013, 2014, and 2016",,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
73,ea_level_dataset::date_first_intervention_2016,ea_level_dataset,,Date of first intervention in 2016,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,(min) date_first_intervention_2016,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
22,ea_level_dataset::eight_wks_post_intervention,ea_level_dataset,,Date of 8 weeks after first intervention,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,Date eight weeks after first intv date in EA,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
21,ea_level_dataset::first_intervention_date_2017,ea_level_dataset,,Date of first intervention in 2017,,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,Date of first intv in EA,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
17,ea_level_dataset::medianlstmedianealag2_fixed,ea_level_dataset,,Daytime land surface temperature,EA daytime land surface temperature,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,EA daytime land surface temp,,variable,,,,,Namibia_RACD_rfMDA_RAVC,C,http://purl.obolibrary.org/obo/UO_0000027|UO_0000027,,,,,,
15,ea_level_dataset::medianevimedianealag2,ea_level_dataset,,Enhanced Vegetation Index,EA EVI for January-July 2017,Community,http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,EA EVI for January-July 2017,,variable,,,,,Namibia_RACD_rfMDA_RAVC,,,,,,,,
