variable,variable2,values,mappedTerm,valueOrder
cdclustername,cdclustername,3,3,
cdclustername,cdclustername,7,7,
cdclustername,cdclustername,8,8,
cdq1akeypopulation,cdq1akeypopulation,1,Female sex worker (FSW),
cdq1akeypopulation,cdq1akeypopulation,2,Men who have sex with men (MSM),
cdq1akeypopulation,cdq1akeypopulation,3,AGYW,
q1bkeypopother1,q1bkeypopother1,Bisexual,Bisexual,
q1bkeypopother1,q1bkeypopother1,MSW,MSW,
q15aworkingdaysperweek,q15aworkingdaysperweek,0.5,0.5,
q15aworkingdaysperweek,q15aworkingdaysperweek,1,1,
q15aworkingdaysperweek,q15aworkingdaysperweek,2,2,
q15aworkingdaysperweek,q15aworkingdaysperweek,3,3,
q15aworkingdaysperweek,q15aworkingdaysperweek,3.5,3.5,
q15aworkingdaysperweek,q15aworkingdaysperweek,4,4,
q15aworkingdaysperweek,q15aworkingdaysperweek,5,5,
q15aworkingdaysperweek,q15aworkingdaysperweek,6,6,
q15aworkingdaysperweek,q15aworkingdaysperweek,7,7,
q24ahowmanypeoplelivethere,q24ahowmanypeoplelivethere,1,1,
q24ahowmanypeoplelivethere,q24ahowmanypeoplelivethere,2,2,
q24ahowmanypeoplelivethere,q24ahowmanypeoplelivethere,3,3,
q24ahowmanypeoplelivethere,q24ahowmanypeoplelivethere,4,4,
q24ahowmanypeoplelivethere,q24ahowmanypeoplelivethere,5,5,
q24ahowmanypeoplelivethere,q24ahowmanypeoplelivethere,6,6,
q24ahowmanypeoplelivethere,q24ahowmanypeoplelivethere,7,7,
q24ahowmanypeoplelivethere,q24ahowmanypeoplelivethere,8,8,
q24ahowmanypeoplelivethere,q24ahowmanypeoplelivethere,9,9,
q24ahowmanypeoplelivethere,q24ahowmanypeoplelivethere,10,10,
q24ahowmanypeoplelivethere,q24ahowmanypeoplelivethere,11,11,
q24ahowmanypeoplelivethere,q24ahowmanypeoplelivethere,12,12,
q24ahowmanypeoplelivethere,q24ahowmanypeoplelivethere,13,13,
q24ahowmanypeoplelivethere,q24ahowmanypeoplelivethere,14,14,
q24ahowmanypeoplelivethere,q24ahowmanypeoplelivethere,20,20,
q24bspecifyother1,q24bspecifyother1,10,10,
q24bspecifyother1,q24bspecifyother1,11,11,
q24bspecifyother1,q24bspecifyother1,12,12,
q24bspecifyother1,q24bspecifyother1,13,13,
q24bspecifyother1,q24bspecifyother1,14,14,
q24bspecifyother1,q24bspecifyother1,20,20,
q24bspecifyother1,q24bspecifyother1,5,5,
q24bspecifyother1,q24bspecifyother1,6,6,
q24bspecifyother1,q24bspecifyother1,7,7,
q24bspecifyother1,q24bspecifyother1,8,8,
q24bspecifyother1,q24bspecifyother1,9,9,
q24bspecifyother1,q24bspecifyother1,Eight,8,
q24bspecifyother1,q24bspecifyother1,Eight People,8,
q24bspecifyother1,q24bspecifyother1,Eleven People,11,
q24bspecifyother1,q24bspecifyother1,Five,5,
q24bspecifyother1,q24bspecifyother1,Five People,5,
q24bspecifyother1,q24bspecifyother1,Nine People,9,
q24bspecifyother1,q24bspecifyother1,Seven,7,
q24bspecifyother1,q24bspecifyother1,Seven People,7,
q24bspecifyother1,q24bspecifyother1,Six People,6,
q24bspecifyother1,q24bspecifyother1,Ten people,10,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,0,0,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,400,400,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,500,500,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,600,600,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,1000,1000,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,2000,2000,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,2100,2100,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,3000,3000,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,4000,4000,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,5000,5000,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,6000,6000,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,6300,6300,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,7000,7000,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,8000,8000,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,8400,8400,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,9000,9000,
q30asourceofincomeagriculture,q30asourceofincomeagriculture,10000,10000,
