colOrder,overallOrder,display_Order,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,cookbookValues,termType,notesforOnt,notesforProvider,notesForDL
,,,SHINE_Baseline_Household_Data_editSWS::clusterid,SHINE_Baseline_Household_Data_editSWS,ttp://purl.obolibrary.org/obo/EUPATH_0035024,Cluster ID,,Household,,,,,variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::electricity,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0021084,Electricity,,Household,,,p16:Electricity from mains?,"1. yes,
2. no",value,,,
,,,SHINE_Baseline_Household_Data_editSWS::ext_wall_brickCement,SHINE_Baseline_Household_Data_editSWS,,Brick or cement,,Household,External wall material,http://purl.obolibrary.org/obo/EUPATH_0022002,,,value,,,
,,,SHINE_Baseline_Household_Data_editSWS::ext_wall_concrete,SHINE_Baseline_Household_Data_editSWS,,Concrete,,Household,External wall material,http://purl.obolibrary.org/obo/EUPATH_0022002,,,value,,,
,,,SHINE_Baseline_Household_Data_editSWS::ext_wall_earth,SHINE_Baseline_Household_Data_editSWS,,Earth,,Household,External wall material,http://purl.obolibrary.org/obo/EUPATH_0022002,,,value,,,
,,,SHINE_Baseline_Household_Data_editSWS::ext_wall_grassStraw,SHINE_Baseline_Household_Data_editSWS,,Grass or straw,,Household,External wall material,http://purl.obolibrary.org/obo/EUPATH_0022002,,,value,,,
,,,SHINE_Baseline_Household_Data_editSWS::ext_wall_mud,SHINE_Baseline_Household_Data_editSWS,,Mud,,Household,External wall material,http://purl.obolibrary.org/obo/EUPATH_0022002,,,value,,,
,,,SHINE_Baseline_Household_Data_editSWS::csi,SHINE_Baseline_Household_Data_editSWS,,,,Observation,,,Coping strategy index,,variable,please hold a place ,need to confirm variable meaning,
,,,SHINE_Baseline_Household_Data_editSWS::ext_wall_stickWood,SHINE_Baseline_Household_Data_editSWS,,Stick or wood,,Household,External wall material,http://purl.obolibrary.org/obo/EUPATH_0022002,,,value,,,
,,,SHINE_Baseline_Household_Data_editSWS::ext_wall_tile,SHINE_Baseline_Household_Data_editSWS,,Tile,,Household,External wall material,http://purl.obolibrary.org/obo/EUPATH_0022002,,,value,,,
,,,SHINE_Baseline_Household_Data_editSWS::ext_wall_tin,SHINE_Baseline_Household_Data_editSWS,,Tin,,Household,External wall material,http://purl.obolibrary.org/obo/EUPATH_0022002,,,value,,,
,,,SHINE_Baseline_Household_Data_editSWS::floor_type,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0035008,Improved floor material,,Household,,,Type of floor,"0. improved floor,
1. unimproved floor,
2. mixed",variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::g02_drinking_water_source,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/ENVO_00003064,Drinking water source,,Household,,,g02:Type of water source used for drinking,"1. Piped into dwelling,
2. Piped into yard or plot,
3. Piped into public tap or standpipe,
4. Borehole,
5. Deep well, protected,
6. Deep well, unprotected,
7. Shallow well, protected,
8. Shallow well, unprotected,
9. Improvised shallow well,
10. Protected spring,
11. Unprotected spring,
12. Surface water (river/dam/stream/lake),
13. River bank/bed,
14. Rainwater harvester,
15. Water trucking/Bowser,
16. Bottled,
17. Other",variable/value,,,
,,,SHINE_Baseline_Household_Data_editSWS::g04_timeto_drinkingwater,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0035032,Time to drinking water source (min),,Household,,,g04: How long does it take to walk to the water point? Minutes,,variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::g39_toilet_type,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0025150,Toilet type,,Household,,,g39:Latrine/Toilet type,"1. flush,
2. Blair (VIP),
3. Pit with slab (non VIP),
4. Pit latrine without slab,
5. Composting",variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::g42_resp_latrine_use,SHINE_Baseline_Household_Data_editSWS,,Latrine Use,,Household,Waste disposal,http://purl.obolibrary.org/obo/EUPATH_0000596,What is latrine currently being used for?,,multifilter,drop the var but keep the label,,
,,,SHINE_Baseline_Household_Data_editSWS::handwash_water,SHINE_Baseline_Household_Data_editSWS,,Water,,Household,Item at handwashing station,,water available @ handwashing_baseline,"1. yes,
2. no",value,"please add parent ""Item at handwashing station"" under ""Hygiene""",,
,,,SHINE_Baseline_Household_Data_editSWS::handwashing_b0,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0010112,Hand washing location,,Household,,,availability of handwashing @ baseline,"1. yes,
2. no",variable,,,
,,,SHINE_Baseline_Household_Data_editSWS::hh_id,SHINE_Baseline_Household_Data_editSWS,http://purl.obolibrary.org/obo/EUPATH_0000094,Household ID,,Household,,,,,variable,,,
