entity,label,displayOrder,plabel
http://purl.obolibrary.org/obo/EUPATH_0015288,"Adenovirus serotypes 40/41, by ELISA",1,Adenovirus
http://purl.obolibrary.org/obo/EUPATH_0015289,"Adenovirus, not serotypes 40/41, by ELISA",2,Adenovirus
http://purl.obolibrary.org/obo/EUPATH_0010374,Study year,1,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010047,Study center,2,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,3,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010119,Control eligibility check date,4,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010050,All forms complete,5,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010052,All forms complete for all Good Pair members,6,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010055,Lab form status,7,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010051,All lab forms complete,8,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010053,All lab forms complete for all Good Pair members,9,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010061,60 day follow-up conducted,10,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010373,Participant ID at 1st enrollment,11,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010049,Case ID,12,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0000725,Participant ID for matched case,13,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010603,"Aeromonas, by bacteriology",1,Aeromonas
http://purl.obolibrary.org/obo/EUPATH_0015027,Cat,1,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0015028,Cow,2,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0015026,Dog,3,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0015030,Fowl,4,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0015024,Goat,5,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0015029,Rodents,6,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0015025,Sheep,7,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0015031,Other,8,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0015032,No animals,9,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),1,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0010078,Mean height (cm),2,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0010079,"Height, median (cm)",3,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0000661,BMI (kg/m**2),4,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0010093,BMI (median ht),5,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0010087,Mean MUAC (cm),6,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0010088,"MUAC, median (cm)",7,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0000733,Weight-for-age z-score,8,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0000734,Weight-for-length or -height z-score,9,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0010083,Weight-for-length or -height z-score (median ht),10,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0000689,Length- or height-for-age z-score,11,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0010082,Length- or height-for-age z-score (median ht),12,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0000662,BMI for age z-score,13,Anthropometry
