Variable,Original_var_name,From_data_dict,Variable descriptions,ValueFormat
x1,record_id,1,Record ID,
x2,event_name,1,Event Name,"1, Baseline"
x3,repeat_instrument,1,Repeat Instrument,
x4,repeat_instance,1,Repeat Instance,
x5,data_access_group,1,Data Access Group,
x6,longitude,1,Longitude,
x7,latitude,1,Latitude,
x8,record_create_date,1,Record create date,
x9,event_name,1,Event Name,"1, Baseline"
x10,cluster,1,Cluster,"1, Cluster 1 | 2, Cluster 3 | 3, Cluster 2"
x11,county,1,County,"1, County001 | 2, County003 | 3, County002 | 4, County008 | 5, County009 | 6, County010 | 7, County004 | 8, County006 | 9, County007 | 10, County005"
x12,fac_name,1,Facility Name,"101, <b style='color:blue'>********Cluster 1 Facilities*********</b> |1, Facility012 | 2, Facility026 | 3, Facility025 | 4, Facility071 | 5, Facility019 | 6, Facility062 | 7, Facility085 | 8, Facility070 | 9, Facility067 | 10, Facility054 | 11, Facility020 | 12, Facility066| 13, Facility060 | 14, Facility061 | 15, Facility065 | 16, Facility069 | 17, Facility053 | 72, Facility018 | 73, Facility009 | 102, <b style='color:blue'>********COUNTY 003 FACILITIES*********</b> | 18, Facility083 | 19, Facility082 | 20, Facility051 | 21, Facility086 | 22, Facility052 | 23, Facility089 | 24, Facility050 | 25, Facility087 | 69, Facility008 | 70, Facility006 | 71, Facility088 | 103, <b style='color:blue'>******** County002*********</b> | 26, Facility048 | 27, Facility047 | 28, Facility049 | 29, Facility001 | 30, Facility004 | 32, Facility002  | 35, Facility064 | 104, <b style='color:blue'>********County 008 Facilities*********</b> | 36, Facility003 | 37, Facility004 | 38, Facility042 | 39, Facility041 | 40, Facility078 | 74, Facility040 | 105, <b style='color:blue'>********COUNTY009 FACILITIES*********</b> | 41, Facility030 | 42, Facility034 | 43, Facility056 | 44, Facility014 | 45, Facility016 | 46, Facility033 | 47, Facility015 | 48, Facility036 | 49, Facility031| 75, Facility033| 76, Facility035 | 77, Facility029 | 78, Facility030 | 79, Facility031| 106, <b style='color:blue'>********COUNTY 010 FACILITIES*********</b> | 50, Facility059 | 51, Facility021 | 52, Facility058 | 53, Facility068 | 54, Facility032 | 107, <b style='color:blue'>********COUNTY004 FACILITIES*********</b> | 55, Facility080 | 56, Facility010 | 57, Facility011| 58, Facility022 | 59, Facility023 | 80, Facility045 | 81, Facility044 | 82, Facility057 | 83, Facility046 | 84, Facility043 | 108, <b style='color:blue'>********County006 FACILITIES*********</b> | 60, i | 61, Facility084 | 62, Facility013 | 63, Facility039 | 85, Facility072 | 86, Facility076 | 87, Facility075 | 88, Facility073 | 89, Facility074 | 109, <b style='color:blue'>********COUNTY007 FACILITIES*********</b> | 64, Facility024 | 65, Facility006 | 90, Facility063 | 91, Facility077 | 110, <b style='color:blue'>********County 005 FACILITIES*********</b> | 66, Facility028 | 67, Facility027 | 68, Facility081 | 92, Other facility not listed"
x13,other_fac,1,Other facility,
x14,interview_date,1,Enrollment Date/Date of Interview,
