term label	EUPATH defined term	mapped ontology term ID	Notes
abnormal_bleeding	ICEMR_abnormal_bleeding	HP_0001892	
age	OBI_0001169	EUPATH_0000113	
ards	ICEMR_ards	DOID_11394	
Availability of molecular data	ICEMR_availability_of_molecular_data	EUPATH_0000513	
cerebral	ICEMR_cerebral	DOID_14069	
Clinical Information	ICEMR_clinical_information	OGMS_0000014	
collection_type	ICEMR_collection_type	EUPATH_0000514	
coma	ICEMR_coma	HP_0001259	
comments	ICEMR_comments	OBI_0001898	
convulsions	ICEMR_convulsions	SYMP_0000596	
country	OBI_0001627	OBI_0001627	
data_consent	ICEMR_data_consent	EUPATH_0000515	
date_of_birth	ICEMR_date_of_birth	EUPATH_0000032	
electrolyte_disturbances	ICEMR_electrolyte_disturbances	EUPATH_0000516	
falciparum	ICEMR_falciparum	EUPATH_0000518	
fever	ICEMR_fever	EUPATH_0000097	
fever_duration	ICEMR_fever_duration	EUPATH_0000414	
follow_up_day	ICEMR_follow_up_day	EUPATH_0000525	
future_use_consent	ICEMR_future_use_consent	EUPATH_0000553	
Gametocyte detection	ICEMR_gametocyte_detection	EUPATH_0000528	
gametocyte_density_by_microscope	ICEMR_gametocyte_density_by_microscope	EUPATH_0000526	
gametocyte_density_by_rt_pcr	ICEMR_gametocyte_density_by_rt_pcr	EUPATH_0000527	
gametocytes	ICEMR_gametocytes	EUPATH_0000519	
gametocytes_detection_method	ICEMR_gametocytes_detection_method	EUPATH_0000529	
General Information of Study Subject	ICEMR_general_information_of_study_subject	EUPATH_0000096	
gps_latitude	ICEMR_gps_latitude	OBI_0001620	
gps_location	ICEMR_gps_location	EUPATH_0000530	
gps_longitude	ICEMR_gps_longitude	OBI_0001621	
gps_other	ICEMR_gps_other	EUPATH_0000530	combined with ICEMR_gps_location
health_status	ICEMR_health_status	OGMS_0000073	
hemoglobin_level	ICEMR_hemoglobin_level	EUPATH_0000047	
hospitalized	ICEMR_hospitalized	EUPATH_0000308	
host_genetics	ICEMR_host_genetics	EUPATH_0000531	
hypoglycemia	ICEMR_hypoglycemia	DOID_9993	
immune_responses	ICEMR_immune_responses	EUPATH_0000532	
Informed Consent	ICEMR_informed_consent	OBI_0000810	
irb_number	ICEMR_irb_number	EUPATH_0000535	
jaundice	ICEMR_jaundice	HP_0000952	
knowlesi	ICEMR_knowlesi	EUPATH_0000520	
Laboratory Methods and Results	ICEMR_laboratory_methods_and_results	OGMS_0000018	
malariae	ICEMR_malariae	EUPATH_0000521	
microscopy_result	ICEMR_microscopy_result	EUPATH_0000048	
Other signs/symptoms/diseases	ICEMR_other_signs/symptoms/diseases	EUPATH_0000309	
other_molecular	ICEMR_other_molecular	EUPATH_0000534	
ovale	ICEMR_ovale	EUPATH_0000522	
P_falciparum_gametocyte_density_by_microscope	ICEMR_p_falciparum_gametocyte_density_by_microscope	EUPATH_0000546	
P_falciparum_parasite_density_by_microscope	ICEMR_p_falciparum_parasite_density_by_microscope	EUPATH_0000550	
p_falciparum_parasite_density_by_pcr	ICEMR_p_falciparum_parasite_density_by_pcr	EUPATH_0000552	
p_falciparum_parasite_density_by_rt_pcr	ICEMR_p_falciparum_parasite_density_by_rt_pcr	EUPATH_0000552	
P_vivax_gametocyte_density_by_microscope	ICEMR_p_vivax_gametocyte_density_by_microscope	EUPATH_0000547	
p_vivax_gametocyte_density_by_rt_pcr	ICEMR_p_vivax_gametocyte_density_by_rt_pcr	EUPATH_0000548	
P_vivax_parasite_density_by_microscope	ICEMR_p_vivax_parasite_density_by_microscope	EUPATH_0000551	
p_vivax_parasite_density_by_pcr	ICEMR_p_vivax_parasite_density_by_pcr	EUPATH_0000549	
Parasite detection	ICEMR_parasite_detection	EUPATH_0000538	
parasite_density_by_microscope	ICEMR_parasite_density_by_microscope	EUPATH_0000537	
parasite_density_by_pcr	ICEMR_parasite_density_by_pcr	EUPATH_0000536	
parasite_genetics	ICEMR_parasite_genetics	EUPATH_0000533	
pcr_method	ICEMR_pcr_method	EUPATH_0000539	
pcr_result	ICEMR_pcr_result	EUPATH_0000540	
pregnancy_status	ICEMR_pregnancy_status	UBERON_0009097	
Presence of parasite species	ICEMR_presence_of_parasite_species	EUPATH_0000523	
rdt_result	ICEMR_rdt_result	EUPATH_0000541	
renal_failure	ICEMR_renal_failure	HP_0000083	
respiratory_distress	ICEMR_respiratory_distress	SYMP_0000642	
Sample Collection Location	ICEMR_sample_collection_location	EUPATH_0000542	
sample_id	ICEMR_sample_id	OBI_0001616	
sample_origin	ICEMR_sample_origin	EUPATH_0000543	
