variable,IRI,dataset,values,mappedTerms,notes
hyperten,,BC-3 enrollment database FINAL.dta,0,No,0=No and 1=Yes
hyperten,,BC-3 enrollment database FINAL.dta,1,Yes,
dmelitus,,BC-3 enrollment database FINAL.dta,0,,
dmelitus,,BC-3 enrollment database FINAL.dta,1,,
rheumatic,,BC-3 enrollment database FINAL.dta,0,,
rheumatic,,BC-3 enrollment database FINAL.dta,1,,
cardiac,,BC-3 enrollment database FINAL.dta,0,,
cardiac,,BC-3 enrollment database FINAL.dta,1,,
renal,,BC-3 enrollment database FINAL.dta,0,,
renal,,BC-3 enrollment database FINAL.dta,1,,
asthma,,BC-3 enrollment database FINAL.dta,0,,
asthma,,BC-3 enrollment database FINAL.dta,1,,
sickled,,BC-3 enrollment database FINAL.dta,0,,
sickled,,BC-3 enrollment database FINAL.dta,1,,
abdsurg,,BC-3 enrollment database FINAL.dta,0,,
abdsurg,,BC-3 enrollment database FINAL.dta,1,,
bldtrans,,BC-3 enrollment database FINAL.dta,0,,
bldtrans,,BC-3 enrollment database FINAL.dta,1,,
fracture,,BC-3 enrollment database FINAL.dta,0,,
fracture,,BC-3 enrollment database FINAL.dta,1,,
accident,,BC-3 enrollment database FINAL.dta,0,,
accident,,BC-3 enrollment database FINAL.dta,1,,
tobacco,,BC-3 enrollment database FINAL.dta,0,,
tobacco,,BC-3 enrollment database FINAL.dta,1,,
alcohol,,BC-3 enrollment database FINAL.dta,0,,
alcohol,,BC-3 enrollment database FINAL.dta,1,,
drugs,,BC-3 enrollment database FINAL.dta,0,,
drugs,,BC-3 enrollment database FINAL.dta,1,,
fdiabetes,,BC-3 enrollment database FINAL.dta,0,,
fdiabetes,,BC-3 enrollment database FINAL.dta,1,,
fhyperten,,BC-3 enrollment database FINAL.dta,0,,
fhyperten,,BC-3 enrollment database FINAL.dta,1,,
multigest,,BC-3 enrollment database FINAL.dta,0,,
multigest,,BC-3 enrollment database FINAL.dta,1,,
dallergy,,BC-3 enrollment database FINAL.dta,0,,
dallergy,,BC-3 enrollment database FINAL.dta,1,,
fetal,,BC-3 enrollment database FINAL.dta,0,Not Present,0= Not Present and 1= Present
fetal,,BC-3 enrollment database FINAL.dta,1,Present,
contractn,,BC-3 enrollment database FINAL.dta,0,,
contractn,,BC-3 enrollment database FINAL.dta,1,,
vagnalbd,,BC-3 enrollment database FINAL.dta,0,,
vagnalbd,,BC-3 enrollment database FINAL.dta,1,,
vagnalfd,,BC-3 enrollment database FINAL.dta,0,,
vagnalfd,,BC-3 enrollment database FINAL.dta,1,,
vdischarge,,BC-3 enrollment database FINAL.dta,0,,
vdischarge,,BC-3 enrollment database FINAL.dta,1,,
dysuria,,BC-3 enrollment database FINAL.dta,0,,
dysuria,,BC-3 enrollment database FINAL.dta,1,,
fterm1,,BC-3 enrollment database FINAL.dta,1,FT,Full Term
fterm1,,BC-3 enrollment database FINAL.dta,2,PM,Premature
fterm1,,BC-3 enrollment database FINAL.dta,9,Unk,Unknown
mode1,,BC-3 enrollment database FINAL.dta,0,V,Vagina
mode1,,BC-3 enrollment database FINAL.dta,1,C/S,Cesarean section
locat1,,BC-3 enrollment database FINAL.dta,0,Home,
locat1,,BC-3 enrollment database FINAL.dta,1,HF,Health facility
balive1,,BC-3 enrollment database FINAL.dta,1,Alive,
balive1,,BC-3 enrollment database FINAL.dta,2,Stillbirth,
sex1,,BC-3 enrollment database FINAL.dta,1,M,Male
sex1,,BC-3 enrollment database FINAL.dta,2,F,Female
alivenow1,,BC-3 enrollment database FINAL.dta,0,No,
alivenow1,,BC-3 enrollment database FINAL.dta,1,Yes,
fterm2,,BC-3 enrollment database FINAL.dta,1,,
fterm2,,BC-3 enrollment database FINAL.dta,2,,
fterm2,,BC-3 enrollment database FINAL.dta,9,,
mode2,,BC-3 enrollment database FINAL.dta,0,,
mode2,,BC-3 enrollment database FINAL.dta,1,,
locat2,,BC-3 enrollment database FINAL.dta,0,,
locat2,,BC-3 enrollment database FINAL.dta,1,,
balive2,,BC-3 enrollment database FINAL.dta,1,,
balive2,,BC-3 enrollment database FINAL.dta,2,,
sex2,,BC-3 enrollment database FINAL.dta,1,,
sex2,,BC-3 enrollment database FINAL.dta,2,,
alivenow2,,BC-3 enrollment database FINAL.dta,0,,
alivenow2,,BC-3 enrollment database FINAL.dta,1,,
fterm3,,BC-3 enrollment database FINAL.dta,1,,
fterm3,,BC-3 enrollment database FINAL.dta,2,,
fterm3,,BC-3 enrollment database FINAL.dta,9,,
mode3,,BC-3 enrollment database FINAL.dta,0,,
mode3,,BC-3 enrollment database FINAL.dta,1,,
locat3,,BC-3 enrollment database FINAL.dta,0,,
locat3,,BC-3 enrollment database FINAL.dta,1,,
balive3,,BC-3 enrollment database FINAL.dta,1,,
balive3,,BC-3 enrollment database FINAL.dta,2,,
sex3,,BC-3 enrollment database FINAL.dta,1,,
sex3,,BC-3 enrollment database FINAL.dta,2,,
alivenow3,,BC-3 enrollment database FINAL.dta,0,,
alivenow3,,BC-3 enrollment database FINAL.dta,1,,
fterm4,,BC-3 enrollment database FINAL.dta,1,,
fterm4,,BC-3 enrollment database FINAL.dta,2,,
