variable,dataFile,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag,notesForProvider,uniqueVar
abdpainae,Individual level database FINAL,discard,,(sum) abdpainAE,,NA,,,,aggregate observation data,Individual level database FINAL::abdpainae
abdpaindur,BC-3 enrollment database FINAL,discard,,Abdominal Duration,,NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::abdpaindur
abdpaindur,BC-3 mothers all visits database FINAL,keep,,Abdominal Duration,,NA,,,,,BC-3 mothers all visits database FINAL::abdpaindur
abdpaingrade,BC-3 enrollment database FINAL,discard,,Abdominal Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,DROP - Use all visits,BC-3 enrollment database FINAL::abdpaingrade
abdpaingrade,BC-3 mothers all visits database FINAL,keep,,Abdominal Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",NA,,,,,BC-3 mothers all visits database FINAL::abdpaingrade
abdsurg,BC-3 enrollment database FINAL,keep,,Past abdominal surgery,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::abdsurg
abortions,BC-3 enrollment database FINAL,discard,,Abortion,,NA,,,,DROP - Use calculated version,BC-3 enrollment database FINAL::abortions
aborty,BC-3 mothers delivery database FINAL,keep,,"Yes, the pregnancy resulted in an abortion","0=Spontaneous,
1=Elective",NA,,,,,BC-3 mothers delivery database FINAL::aborty
accident,BC-3 enrollment database FINAL,keep,,Major injury from road traffic accident,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::accident
actlabor,BC-3 screening database FINAL,discard,,Early or active labor (documented by cervical change with uterine contractions),"0 = No,
1=Yes",NA,,,,,BC-3 screening database FINAL::actlabor
adevent,BC-3 screening database FINAL,discard,,History of adverse event to SP or DP,"0 = No,
1=Yes",NA,,,,,BC-3 screening database FINAL::adevent
aedays,Individual level database FINAL,discard,,Days at risk for AE analyses,,NA,,,,,Individual level database FINAL::aedays
age,BC-3 enrollment database FINAL,keep,,Age in years,,NA,,,,,BC-3 enrollment database FINAL::age
age,BC-3 mothers expanded database FINAL,keep,,Age in years,,NA,,,,,BC-3 mothers expanded database FINAL::age
age,BC-3 screening database FINAL,discard,,Age in years:,numeric,NA,,,,,BC-3 screening database FINAL::age
age,BC-3 childs expanded database FINAL,discard,,Age in months,,NA,,,,,BC-3 childs expanded database FINAL::age
age0to12,BC-3 children individual level database FINAL,discard,,(sum) age0to12,,NA,,,,,BC-3 children individual level database FINAL::age0to12
age0to3,BC-3 children individual level database FINAL,discard,,(sum) age0to3,,NA,,,,,BC-3 children individual level database FINAL::age0to3
age16yrs,BC-3 screening database FINAL,discard,,Age>=16 years,"0 = No,
1=Yes",NA,,,,,BC-3 screening database FINAL::age16yrs
age3to9,BC-3 children individual level database FINAL,discard,,(sum) age3to9,,NA,,,,,BC-3 children individual level database FINAL::age3to9
age9to12,BC-3 children individual level database FINAL,discard,,(sum) age9to12,,NA,,,,,BC-3 children individual level database FINAL::age9to12
agecat,BC-3 childs expanded database FINAL,discard,,Age categories,,NA,,,,,BC-3 childs expanded database FINAL::agecat
agree,BC3_Household_Survey_Data,discard,,are you going to conduct the interview with this household?,"1=Yes, 2=No",NA,,,,,BC3_Household_Survey_Data::agree
ahwker,BC3_Household_Survey_Data,keep,,is there a community health worker who distributes malaria medicines in your village,"1=yes,2=No,8=Don’t know, -9=skipped",NA,,,,,BC3_Household_Survey_Data::ahwker
airbrcov,BC3_Household_Survey_Data,keep,,"observation: if the roon has airbricks, are the airbricks covered?","1=completely covered, 2=partially covered, 3=open, -9=skipped",NA,,,,,BC3_Household_Survey_Data::airbrcov
airbrick,BC3_Household_Survey_Data,keep,,observation: does the room have airbricks?,"1=Yes, 2=No, -9=Skipped",NA,,,,,BC3_Household_Survey_Data::airbrick
airbrickdich,BC3_Household_Survey_Data,discard,,Whether airbricks present,"0=Not present, 1=Present",NA,,,,,BC3_Household_Survey_Data::airbrickdich
airbrnum,BC3_Household_Survey_Data,keep,,observation: how many airbrick are in the room?,"1=1-3,2=4-6,3=6+,-9=skipped",NA,,,,,BC3_Household_Survey_Data::airbrnum
airbropn,BC3_Household_Survey_Data,keep,,observation: do the airbricks open to the outside?,"1=yes, 2=partially, 3 No,-9=skipped",NA,,,,,BC3_Household_Survey_Data::airbropn
alcohol,BC-3 enrollment database FINAL,keep,,Alcohol,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::alcohol
alivenow1,BC-3 enrollment database FINAL,keep,,Alive Now?,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::alivenow1
alivenow2,BC-3 enrollment database FINAL,keep,,Alive Now?,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::alivenow2
alivenow3,BC-3 enrollment database FINAL,keep,,Alive Now?,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::alivenow3
alivenow4,BC-3 enrollment database FINAL,keep,,Alive Now?,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::alivenow4
alivenow5,BC-3 enrollment database FINAL,keep,,Alive Now?,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::alivenow5
alivenow6,BC-3 enrollment database FINAL,keep,,Alive Now?,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::alivenow6
alivenow7,BC-3 enrollment database FINAL,keep,,Alive Now?,"0 = No,
1=Yes",NA,,,,,BC-3 enrollment database FINAL::alivenow7
