colOrder,overallOrder,displayOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL
204,204,,abdpaindur::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000154,Abdominal pain duration (days),Abdominal Duration,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000311,Abdominal Duration,,variable,,,
527,527,,abdpaindur::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000154,Abdominal pain duration (days),Abdominal Duration,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000311,Abdominal Duration,,variable,,,
203,203,,abdpaingrade::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/HP_0002027,Abdominal pain,Abdominal Grade,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Abdominal Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
526,526,,abdpaingrade::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/HP_0002027,Abdominal pain,Abdominal Grade,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Abdominal Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
54,54,,abdsurg::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Past abdominal surgery,Specified whether participant has had past abdominal surgery,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,Past abdominal surgery,"0 = No,
1=Yes",variable,,,
657,657,,aborty::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Pregnancy resulted in abortion,"Yes, the pregnancy resulted in an abortion",Observation,Delivery,,"Yes, the pregnancy resulted in an abortion","0=Spontaneous,
1=Elective",variable,,,
57,57,,accident::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Major road traffic injury,Has the participant had a major injury from road traffic accidents,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,Major injury from road traffic accident,"0 = No,
1=Yes",variable,,,
298,298,,AGE::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000113,Age at visit (years),age in years,Observation,Observation details ,http://purl.obolibrary.org/obo/EUPATH_0000310,age in years,,variable,,,
376,376,,age::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000113,Age at visit (years),,Observation,Observation details,http://purl.obolibrary.org/obo/EUPATH_0000310,Age in years,,variable,,,
389,389,,age::BC-3 childs expanded database FINAL,BC-3 childs expanded database FINAL,,Age at visit (months),,Observation,,,Age in months,,variable,,,
390,390,,agecat::BC-3 childs expanded database FINAL,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,,Observation,Observation,http://purl.obolibrary.org/obo/EUPATH_0000738,Age categories,,variable,,,
59,59,,alcohol::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Alcohol use,Does the participant take alcohol,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,Alcohol,"0 = No,
1=Yes",variable,,,
98,98,,alivenow1::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Child currently living,Specified whether the first child is alive now or not,Participant,Obstetric history,,Alive Now?,"0 = No,
1=Yes",variable,,,
274,274,,alt::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Alanine Aminotransferease (ALT) (IU/L) result,Results for ALT,Sample,Blood test,http://purl.obolibrary.org/obo/OGMS_0000058,alt,,variable,,,
838,838,,alt::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Alanine Aminotransferease (ALT) (IU/L) result,,Sample,Blood test,,ALT Lab,,variable,,,
346,346,,alt::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,,Alanine Aminotransferease (ALT) (IU/L) result,,Sample,Blood test,http://purl.obolibrary.org/obo/OGMS_0000058,ALT (IU/L) result,,variable,,,
275,275,,altgrade::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,ALT result grade,the ALT results grade,Sample,Blood test,,ALT grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",variable,,,
581,581,,altgrade::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,ALT result grade,,Sample,Blood test,http://purl.obolibrary.org/obo/OGMS_0000058,ALT (IU/L) grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",variable,,,
839,839,,altgrade::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,ALT result grade,,Sample,Blood test,,ALT grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",variable,,,
1162,1162,,altgrade::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,,,Observation,,,ALT (IU/L) grade,"0 = no grade,
1 = grade 1,
2 = grade 2,
3 = grade 3,
4 = grade 4
",variable,,Clinical finiding; Need better description,
260,260,,altrt::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Alanine Aminotransferease (ALT) sample collected,was the ALT done (blood serum),Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,ALT (red top),"0=Not collected,
1=Collected
",variable,,,
820,820,,altrt::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Alanine Aminotransferease (ALT) sample collected,ALT (red top),Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,ALT (red top),"0=Not collect, 
1=Collected
",variable,,,
338,338,,altrt::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,,Alanine Aminotransferease (ALT) sample collected,,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/EUPATH_0011482,ALT (red top),"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",variable,,,
190,190,,anorexdur::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000155,Anorexia duration (days),Anorexia Duration,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Anorexia Duration,,variable,,,
513,513,,anorexdur::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000155,Anorexia duration (days),Anorexia Duration,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Anorexia Duration,,variable,,,
1102,1102,,anorexdur::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000155,Anorexia duration (days),,Observation,Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309,Anorexia Duration,,variable,,,
189,189,,anorexgrade::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/SYMP_0000523,Anorexia,Anorexia Grade,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Anorexia Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
512,512,,anorexgrade::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Anorexia grade,Anorexia Grade,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Anorexia Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
1101,1101,,anorexgrade::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,,Anorexia grade,,Observation,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Anorexia Grade,"0 = absent,
1 = mild,
2 = moderate,
3 = severe,
4 = life threatening,
9 = unable to assess",variable,,,
8,8,,antibiot::BC-3 childs hospitalizations FINAL,BC-3 childs hospitalizations FINAL,,IV antibiotics,Specified Whether Intravenous antibiotics were given,Observation,Antibiotic administration,http://purl.obolibrary.org/obo/EUPATH_0011880,Intravenous antibiotics,"0=No,
1=Yes",variable,,,
379,379,,anyhb::BC-3 mothers expanded database FINAL,BC-3 mothers expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,Hemoglobin level (from CBC or hemocue),,variable,,,
443,443,,anyhb::BC-3 childs expanded database FINAL,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000047,Hemoglobin (g/dL),,Sample,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,Hemoglobin level (from CBC or hemocue),,variable,,Confirm units,
888,888,,anyHP::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,"Placental malaria, by histopathology",,Observation,Placental pathology test,,Any placental malaria by histopathology,"0=No,
1=Yes",variable,,,
942,942,,anyHP::Individual level database FINAL,Individual level database FINAL,,"Placental malaria, by histopathology",,Observation,Placental pathology test,,Any placental malaria by histopathology,"0=No,
1=Yes",variable,,,
1046,1046,,anyHP::BC-3 children individual level database FINAL,BC-3 children individual level database FINAL,,Placental malaria by histopathology,,Observation,Placental pathology test,,Any placental malaria by histopathology,"0=No,
1=Yes",variable,,,
450,450,,anymalaria::BC-3 childs expanded database FINAL,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000090,Malaria diagnosis,,Observation,Diagnosis,http://purl.obolibrary.org/obo/OGMS_0000073,Malaria diagnosed today,"0=No, 1=Yes",variable,,,
926,926,,APdichenroll::Individual level database FINAL,Individual level database FINAL,,"Asexual Plasmodium parasites present, by microscopy or PCR",,Sample,Plasmodium,http://purl.obolibrary.org/obo/NCBITaxon_5820,Parasite prevalence by microscopy or qPCR at enrollment,"0,1",variable,,,
52,52,,asthma::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Asthma,Specified whether participant has Asthma,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,Asthma,"0 = No,
1=Yes",variable,,,
1216,1216,,autopsy::BC-3 childs deaths FINAL,BC-3 childs deaths FINAL,,Death information,How was the cause of death ascertained,Participant,Demographics,http://purl.obolibrary.org/obo/EUPATH_0010981,information obtained as Autopsy report,1=checked,variable,,,
677,677,,b4dinfo::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Able to obtain delivery history,Was it possible to obtain information about the participant's previous deliveries,Participant,Labor and delivery,,Could you obtain this information before delivery?,"0=No,
1=Yes",variable,,,
95,95,,balive1::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Child born alive,Was the first child born alive or it was a still birth,Observation,Obstetric history,,Born Alive or Stillbirth,"1=Alive,
2=stillbirth",variable,,,
811,811,,bcord1::BC-3 mothers delivery database FINAL,BC-3 mothers delivery database FINAL,,Cord blood collected from first child,Was the cord blood collected if it was a single child,Observation,Blood sample collection process,http://purl.obolibrary.org/obo/OGMS_0000064,Cord blood1,"0=Not collect, 
1=Collected
",variable,Single child,,
172,172,,bednet::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0024123,Bednets,1. Do you have a bednet?,Observation,Personal vector intervention,http://purl.obolibrary.org/obo/EUPATH_0021097,Do you have a bednet?,"0=No,
1=Yes,
9=Unknown",variable,,,
297,297,,bioconsent::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Biologic specimen consent given,Mother provided informed consent for use of biological specimens for her and her,Participant,Eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,Mother provided informed consent for use of biological specimens for her and her,"0 = No,
1=Yes",variable,,,
478,478,,bioconsent::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,,Biologic specimen consent given,,Participant,Eligibility criteria,http://purl.obolibrary.org/obo/EUPATH_0010036,Mother provided informed consent for use of biological specimens for her and her,1=yes,variable,,,
97,97,,birthwt1::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Prior childs birth weight (kg),What was the birth weight of the first child in kgs,Participant,Obstetric history,,Birth wt (kg),,variable,,,
55,55,,bldtrans::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,,Past blood transfusions,Specified whether participant has had any blood transfusion in the past,Participant,Clinical history,http://purl.obolibrary.org/obo/OGMS_0000015,Past blood transfusions,"0 = No,
1=Yes",variable,,,
6,6,,blood::BC-3 childs hospitalizations FINAL,BC-3 childs hospitalizations FINAL,,Blood transfusion,Specified Whether blood transfusion was done,Observation,Treatment,http://purl.obolibrary.org/obo/OGMS_0000090,Blood transfusion,"0=No,
1=Yes",variable,,,
263,263,,bloodsmr::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0021081,Blood smear sample,Thick blood smear collected,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/OBI_0000655,Thick blood smear,"0=Not collected,
1=Done (not urgent),
2=Collected (urgent, malaria suspected)
",variable,,,
569,569,,bloodsmr::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/EUPATH_0021081,Blood smear sample,Thick blood smear collected,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/OBI_0000655,Thick blood smear,"0=Not Indicated,
1=Collected,
2=Forgot to collect,
3=Declined
",variable,,,
1150,1150,,bloodsmr::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0021081,Blood smear sample,,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/OBI_0000655,Thick blood smear,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined",variable,,,
437,437,,bloodsmr::BC-3 childs expanded database FINAL,BC-3 childs expanded database FINAL,http://purl.obolibrary.org/obo/EUPATH_0021081,Blood smear,,Sample,Blood sample collection process,http://purl.obolibrary.org/obo/OBI_0000655,Thick blood smear,"0=Not Indicated,1=Collected,2=Forgot to collect,3=Declined
",variable,,,
177,177,,bp::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,Systolic blood pressure (mmHg)' http://purl.obolibrary.org/obo/EUPATH_0021086,Blood pressure (mmHg),,Observation,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083,Blood Pressure (mm Hg),,variable,,Need to separate into systolic and diastolic,
500,500,,bp::BC-3 mothers all visits database FINAL,BC-3 mothers all visits database FINAL,http://purl.obolibrary.org/obo/EUPATH_0021087,Blood pressure (mmHg),,Observation,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083,Blood pressure (mm Hg),,variable,,Need to separate into systolic and diastolic,
1091,1091,,bp::BC-3 childs all visit database FINAL,BC-3 childs all visit database FINAL,http://purl.obolibrary.org/obo/EUPATH_0021087,Blood pressure (mmHg),,Observation,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083,Blood pressure (mm Hg),,variable,,,
287,287,,BSdich::BC-3 enrollment database FINAL,BC-3 enrollment database FINAL,http://purl.obolibrary.org/obo/EUPATH_0000048,"Asexual Plasmodium parasites present, by microscopy ",Was the blood smear positive or negative,Sample,Plasmodium,http://purl.obolibrary.org/obo/NCBITaxon_5820,Blood smear dichotomized,"0=Negative BS, 1=Positive Bs",variable,,,
