colOrder,variable,dataFile,IRI,label,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType,notesForOnt,notesForProvider,notesForDL,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,type,example,dateTime,formatCode,values,uniqueValueCount,percentMissing,flag,variable_dataFile,uniqueVar
1,round,avenir census data clinepi,,Study round,Round of study,Community,Community administrative information,http://purl.obolibrary.org/obo/EUPATH_0035125,Round of study,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 1,1,0,duplicated variable,round,avenir census data clinepi::round |avenir community environment data clinepi::round |avenir household environment data clinepi::round |avenir population level data clinepi::round |avenir treatment data clinepi::round
9,latrinetype,avenir community environment data clinepi,,Type of sanitary installation sampled,Type of sanitary installation that to be sampled,Community,Community facilities,http://purl.obolibrary.org/obo/EUPATH_0035122,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,6,,,1 to 6,4,0,,latrinetype,avenir community environment data clinepi::latrinetype
6,watertype,avenir community environment data clinepi,,Type of water source installation sampled,Type of water source installation that to be sampled,Community,Community drinking water source,http://purl.obolibrary.org/obo/EUPATH_0035119,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,3,,,1 to 6,6,0,,watertype,avenir community environment data clinepi::watertype
5,wateryn,avenir community environment data clinepi,,Whether the water source is located in the village,Whether the water source is located in the village,Community,Community water,http://purl.obolibrary.org/obo/EUPATH_0035121,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 2,2,0,,wateryn,avenir community environment data clinepi::wateryn
15,form.childrenrepeat.childrengroup.dobsourcewho,avenir census data clinepi,,"Date of birth, from who",The source of younger children's date of birth: From who,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010987,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,1,,,1 to 99,4,0.707755707,,form.childrenRepeat.childrenGroup.dobSourceWho,avenir census data clinepi::form.childrenrepeat.childrengroup.dobsourcewho
6,form.district,avenir census data clinepi,,District in Niger,Case's district,Community,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,Falmey,,,"Boboye, Dioundiou, Dogondoutchi, Dosso, Falmey, Gaya, Loga, Tibiri (Doutchi)",8,0,,form.district,avenir census data clinepi::form.district
5,form.region,avenir census data clinepi,,Region in Niger,Case's region,Community,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,Dosso,,,Dosso,1,0,,form.region,avenir census data clinepi::form.region
31,form.youthrepeat.youthgroup.dobsourceyouth,avenir census data clinepi,,Youth date of birth ,The source of older children's date of birth ,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010982,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,3,,,1 to 4,4,0.945105562,,form.youthRepeat.youthGroup.dobSourceYouth,avenir census data clinepi::form.youthrepeat.youthgroup.dobsourceyouth
33,form.youthrepeat.youthgroup.dobsourcewhoyouth,avenir census data clinepi,,"Youth date of birth, told by someone",The source of older children's date of birth: Told by someone,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010987,,,variable,,,,,,,"avenir,baseline",,,,,,,,,int,2,,,1 to 99,4,0.954864325,,form.youthRepeat.youthGroup.dobSourceWhoYouth,avenir census data clinepi::form.youthrepeat.youthgroup.dobsourcewhoyouth
16,form.childrenrepeat.childrengroup.dobsourcewhoother,avenir census data clinepi,,"Date of birth, other",The source of younger children's date of birth: From other,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010982,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,Oncle,,,>10 unique values,65,0.995193112,,form.childrenRepeat.childrenGroup.dobSourceWhoOther,avenir census data clinepi::form.childrenrepeat.childrengroup.dobsourcewhoother
34,form.youthrepeat.youthgroup.dobsourcewhootheryouth,avenir census data clinepi,,"Youth date of birth, Specify",The source of older children's date of birth: Other(Specify),Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010986,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,grand pere,,,>10 unique values,16,0.999648685,,form.youthRepeat.youthGroup.dobSourceWhoOtherYouth,avenir census data clinepi::form.youthrepeat.youthgroup.dobsourcewhootheryouth
32,form.youthrepeat.youthgroup.dobsourceotherdocyouth,avenir census data clinepi,,"Youth date of birth, document",The source of older children's date of birth: From document,Participant,Administrative information,http://purl.obolibrary.org/obo/EUPATH_0010035,,,variable,,,,,,,"avenir,baseline",,,,,,,,,chr,carnet de famille,,,"carnet de famille, carte de vaccination, NA",2,0.999972118,,form.youthRepeat.youthGroup.dobSourceOtherDocYouth,avenir census data clinepi::form.youthrepeat.youthgroup.dobsourceotherdocyouth
7,form.weight,avenir treatment data clinepi,http://purl.obolibrary.org/obo/IAO_0000414,Weight,Weight,Participant,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,,,variable,,,,,,,"avenir,baseline",,,,,,,,,dbl,6.8,,,1.02 to 19.6,836,0.814301264,,form.weight,avenir treatment data clinepi::form.weight
