position,name,type,isnumeric,format,vallab,varlab
1,studyid,long,1,%9.0g,studycode_num,Person ID numeric
2,studyvisit_num,byte,1,%10.0g,,Days after treatment start
3,month_year,str8,0,%9s,,Month/year
4,sex_bin,float,1,%9.0g,sex_bin,"Sex binary (Female = 0, Male =1)"
5,age_cat,float,1,%9.0g,age_cat,Age categories (5 years)
6,temp,float,1,%8.0g,,Temperature in celsius
7,trt_arm,float,1,%9.0g,trt_arm,"Treatment arm (1=DP, 2=DP-PQ, 3=PA, 4=PA-PQ)"
8,hbrsult,float,1,%8.0g,,Hb concentration g/dL
9,rdt_pos,byte,1,%8.0g,,"SD Bioline result (1=Positive, 0=Negative)"
10,mic_pf_pos,byte,1,%8.0g,,Microscopy positivity Pf
11,mic_pf_asc_ul,float,1,%9.0g,,Pf asexuals per uL
12,mic_pf_gct_ul,float,1,%9.0g,,Pf gametocytes per uL
13,qrtpcr_gct_ul,float,1,%9.0g,,qRTPCR total gametocytes per uL
14,mosq_total,float,1,%9.0g,,Mosquitoes dissected
15,mosq_pos,float,1,%9.0g,,Mosquitoes positive for oocysts
16,mean_ooc_all,float,1,%9.0g,,Mean oocysts accross all dissected mosquitoes
17,mean_ooc_pos,float,1,%9.0g,,Mean oocysts accross all infected mosquitoes
