variable	variable2	values	mappedTerm	valueOrder
_lab_rev_de::_abau_iscx	_lab_rev_de::_abau_iscx	0	No	
_lab_rev_de::_abau_iscx	_lab_rev_de::_abau_iscx	1	Yes	
_lab_rev_de::_abau_iscx	_lab_rev_de::_abau_iscx	NA	:::UNDEF:::	
_lab_rev_de::_abau_iscxg	_lab_rev_de::_abau_iscxg	0	No	
_lab_rev_de::_abau_iscxg	_lab_rev_de::_abau_iscxg	1	Yes	
_lab_rev_de::_abau_iscxg	_lab_rev_de::_abau_iscxg	NA	:::UNDEF:::	
_lab_rev_de::_abau_iscxq	_lab_rev_de::_abau_iscxq	1	2-9 (1+)	2
_lab_rev_de::_abau_iscxq	_lab_rev_de::_abau_iscxq	2	10-99 (2+)	3
_lab_rev_de::_abau_iscxq	_lab_rev_de::_abau_iscxq	3	100+ (3+)	4
_lab_rev_de::_abau_iscxq	_lab_rev_de::_abau_iscxq	4	1 (scanty)	1
_lab_rev_de::_abau_iscxq	_lab_rev_de::_abau_iscxq	NA	:::UNDEF:::	
_clin_rev_de::_abxbefbc	_clin_rev_de::_abxbefbc	0	No	
_clin_rev_de::_abxbefbc	_clin_rev_de::_abxbefbc	1	Yes	
_clin_rev_de::_abxbefbc	_clin_rev_de::_abxbefbc	8	Don't know	
_clin_rev_de::_abxbefbc	_clin_rev_de::_abxbefbc	9	Not applicable	
_clin_rev_de::_abxbefbc	_clin_rev_de::_abxbefbc	NA	:::UNDEF:::	
_clin_rev_de::_abxbefbc_time	_clin_rev_de::_abxbefbc_time	0	No	
_clin_rev_de::_abxbefbc_time	_clin_rev_de::_abxbefbc_time	1	Yes	
_clin_rev_de::_abxbefbc_time	_clin_rev_de::_abxbefbc_time	NA	:::UNDEF:::	
_clin_rev_de::_abxbefet_time	_clin_rev_de::_abxbefet_time	0	No	
_clin_rev_de::_abxbefet_time	_clin_rev_de::_abxbefet_time	1	Yes	
_clin_rev_de::_abxbefet_time	_clin_rev_de::_abxbefet_time	NA	:::UNDEF:::	
_clin_rev_de::_abxbefga_time	_clin_rev_de::_abxbefga_time	0	No	
_clin_rev_de::_abxbefga_time	_clin_rev_de::_abxbefga_time	1	Yes	
_clin_rev_de::_abxbefga_time	_clin_rev_de::_abxbefga_time	NA	:::UNDEF:::	
_clin_rev_de::_abxbefis	_clin_rev_de::_abxbefis	0	No	
_clin_rev_de::_abxbefis	_clin_rev_de::_abxbefis	1	Yes	
_clin_rev_de::_abxbefis	_clin_rev_de::_abxbefis	8	Don't know	
_clin_rev_de::_abxbefis	_clin_rev_de::_abxbefis	9	Not applicable	
_clin_rev_de::_abxbefis	_clin_rev_de::_abxbefis	NA	:::UNDEF:::	
_clin_rev_de::_abxbefis_time	_clin_rev_de::_abxbefis_time	0	No	
_clin_rev_de::_abxbefis_time	_clin_rev_de::_abxbefis_time	1	Yes	
_clin_rev_de::_abxbefis_time	_clin_rev_de::_abxbefis_time	NA	:::UNDEF:::	
_clin_rev_de::_abxbefla_time	_clin_rev_de::_abxbefla_time	0	No	
_clin_rev_de::_abxbefla_time	_clin_rev_de::_abxbefla_time	1	Yes	
_clin_rev_de::_abxbefla_time	_clin_rev_de::_abxbefla_time	NA	:::UNDEF:::	
_clin_rev_de::_abxbefnp	_clin_rev_de::_abxbefnp	0	No	
_clin_rev_de::_abxbefnp	_clin_rev_de::_abxbefnp	1	Yes	
_clin_rev_de::_abxbefnp	_clin_rev_de::_abxbefnp	8	Don't know	
_clin_rev_de::_abxbefnp	_clin_rev_de::_abxbefnp	9	Not applicable	
_clin_rev_de::_abxbefnp	_clin_rev_de::_abxbefnp	NA	:::UNDEF:::	
_clin_rev_de::_abxbefnp_time	_clin_rev_de::_abxbefnp_time	0	No	
_clin_rev_de::_abxbefnp_time	_clin_rev_de::_abxbefnp_time	1	Yes	
_clin_rev_de::_abxbefnp_time	_clin_rev_de::_abxbefnp_time	NA	:::UNDEF:::	
_clin_rev_de::_abxbefpf_time	_clin_rev_de::_abxbefpf_time	0	No	
_clin_rev_de::_abxbefpf_time	_clin_rev_de::_abxbefpf_time	1	Yes	
_clin_rev_de::_abxbefpf_time	_clin_rev_de::_abxbefpf_time	NA	:::UNDEF:::	
_clin_rev_de::_abxbefur	_clin_rev_de::_abxbefur	0	No	
_clin_rev_de::_abxbefur	_clin_rev_de::_abxbefur	1	Yes	
_clin_rev_de::_abxbefur	_clin_rev_de::_abxbefur	8	Don't know	
_clin_rev_de::_abxbefur	_clin_rev_de::_abxbefur	9	Not applicable	
_clin_rev_de::_abxbefur	_clin_rev_de::_abxbefur	NA	:::UNDEF:::	
_clin_rev_de::_abxbefur_time	_clin_rev_de::_abxbefur_time	0	No	
_clin_rev_de::_abxbefur_time	_clin_rev_de::_abxbefur_time	1	Yes	
_clin_rev_de::_abxbefur_time	_clin_rev_de::_abxbefur_time	NA	:::UNDEF:::	
_clin_rev_de::_abxref	_clin_rev_de::_abxref	0	No	
_clin_rev_de::_abxref	_clin_rev_de::_abxref	1	Yes	
_clin_rev_de::_abxref	_clin_rev_de::_abxref	8	Don't know	
_clin_rev_de::_abxref	_clin_rev_de::_abxref	9	Not applicable	
_clin_rev_de::_abxref	_clin_rev_de::_abxref	NA	:::UNDEF:::	
_clin_rev_de::_abxserum	_clin_rev_de::_abxserum	0	No	
_clin_rev_de::_abxserum	_clin_rev_de::_abxserum	1	Yes	
_clin_rev_de::_abxserum	_clin_rev_de::_abxserum	NA	:::UNDEF:::	
_lab_rev_de::_acal_iscx	_lab_rev_de::_acal_iscx	0	No	
_lab_rev_de::_acal_iscx	_lab_rev_de::_acal_iscx	1	Yes	
_lab_rev_de::_acal_iscx	_lab_rev_de::_acal_iscx	NA	:::UNDEF:::	
_lab_rev_de::_acal_iscxg	_lab_rev_de::_acal_iscxg	0	No	
_lab_rev_de::_acal_iscxg	_lab_rev_de::_acal_iscxg	1	Yes	
