URI	http://purl.obolibrary.org/obo/IAO_0000115
http://purl.obolibrary.org/obo/EUPATH_0000018	A brick with holes which is embedded in a wall to allow ventilation through it.
http://purl.obolibrary.org/obo/EUPATH_0000003	A building material used in the construction of a roof.
http://purl.obolibrary.org/obo/EUPATH_0000009	A building material used in the construction of a wall.
http://purl.obolibrary.org/obo/EUPATH_0000048	A categorical measurement datum that indicates the presence of blood cells with abnormal shapes using a value of positive or negative.
http://purl.obolibrary.org/obo/EUPATH_0000050	A clinical visit that is primarily for a regular examination.
http://purl.obolibrary.org/obo/EUPATH_0000096	A dependent continuant which is a feature of a human participant under investigation.
http://purl.obolibrary.org/obo/EUPATH_0000021	A device that is a sanitation fixture used primarily for the disposal of human urine and feces. 
http://purl.obolibrary.org/obo/EUPATH_0000089	A diagnosis based on positive blood smear in the absence of fever
http://purl.obolibrary.org/obo/EUPATH_0000043	A diagnosis of complicated malaria based on WHO criteria that include the presence of parasite infections, most commonly P.falciparum, and any one or more of symptoms/signs of serious organ failures or abnormalities, including cerebral malaria, severe anemia, generalized convulsions, hypoglycemia, respiratory distress, fluid and electrolyte disturbances, acute renal failure, ARDS, circulatory collapse, abnormal bleeding, and Jaundice.
http://purl.obolibrary.org/obo/EUPATH_0000042	A diagnosis of complicated malaria with signs and symptoms that are not listed as criteria used to diagnose severe malaria. 
http://purl.obolibrary.org/obo/EUPATH_0000038	A diagnosis of malaria which depends on the demonstration of parasites in the blood, usually by microscopy. Additional laboratory findings may include mild anemia, mild decrease in blood platelets (thrombocytopenia), elevation of bilirubin, and elevation of aminotransferases.
http://purl.obolibrary.org/obo/EUPATH_0000088	A diagnosis of uncomplicated malaria that occurs with the first trimester of pregnancy.
http://purl.obolibrary.org/obo/EUPATH_0000090	A diagnosis to indicate whether a person has marlaria or not. It has value yes or no.
http://purl.obolibrary.org/obo/EUPATH_0000098	A function to provide fresh air to a closed space.
http://purl.obolibrary.org/obo/EUPATH_0000034	A genotype information which is about the presence and degree of alpha-thalassemia, a form of thalassemia involving the number of functional HBA1 and HBA2 genes.
