# version-2
variable	values	mappedTerm	valueOrder
tick_sex	M	Male	1
tick_sex	F	Female	2	
host_sex	M	Male	1
host_sex	F	Female	2	
ehrlichia_anaplasma_pos	Y	Yes	1
ehrlichia_anaplasma_pos	N	No	2
ehrlichia_anaplasma_pos	NA	Not tested	3
borrelia_pos	Y	Yes	1
borrelia_pos	N	No	2
borrelia_pos	NA	Not tested	3
apicomplexa_pos	Y	Yes	1
apicomplexa_pos	N	No	2
apicomplexa_pos	NA	Not tested	3
rickettsia_pos	Y	Yes	1
rickettsia_pos	N	No	2
rickettsia_pos	NA	Not tested	3
powassan_pos	Y	Yes	1
powassan_pos	N	No	2
powassan_pos	NA	Not tested	3
#date_collected	2024-04-04	2023-04-04
