Term Ontology ID	Display Label	Term Parent Ontology ID	Term Parent display Label	Data Dictionary ID	Data Dictionary Label (es)	Term Type
ICEMR_0000001	Animal Information	EUPATH_0000093	Dwelling	AMAZONIA_0000001	Información de los Animales	category
OGMS_0000015	Clinical History	EUPATH_0000307	Participant Study Details	AMAZONIA_0000002	Historial clinico	category
EUPATH_0000093	Dwelling	http://www.w3.org/2002/07/owl#Thing		AMAZONIA_0000003	Vivienda	category
EUPATH_0000302	Facilities	EUPATH_0000093	Dwelling	AMAZONIA_0000004	Instalaciones	category
GAZ_00000448	Geographic location	http://www.w3.org/2002/07/owl#Thing		AMAZONIA_0000005	Ubicación geográfica	category
OGMS_0000018	Laboratory Findings	EUPATH_0000328	Visit	AMAZONIA_0000006	Descubrimientos de laboratorio	category
EUPATH_0000057	Medication	EUPATH_0000328	Visit	AMAZONIA_0000007	Medicación	category
EUPATH_0000096	Participant	http://www.w3.org/2002/07/owl#Thing		AMAZONIA_0000008	Partícipe	category
EUPATH_0000307	Participant Study Details	EUPATH_0000096	Participant	AMAZONIA_0000009	Participante Detalles del estudio	category
EUPATH_0000303	Physical Characteristics	EUPATH_0000093	Dwelling	AMAZONIA_0000010	Características físicas	category
OGMS_0000083	Physical Examination	EUPATH_0000328	Visit	AMAZONIA_0000011	Examen físico	category
EUPATH_0000304	Socioeconomic Factors	EUPATH_0000093	Dwelling	AMAZONIA_0000012	Factores socioeconómicos	category
EUPATH_0000309	Symptoms	EUPATH_0000328	Visit	AMAZONIA_0000013	Los síntomas	category
ICEMR_0000002	Traveling Details	EUPATH_0000096	Participant	AMAZONIA_0000014	Detalles que viajan	category
ICEMR_0000003	Vector Intervention	EUPATH_0000093	Dwelling	AMAZONIA_0000015	Intervención del vector	category
EUPATH_0000328	Visit	http://www.w3.org/2002/07/owl#Thing		AMAZONIA_0000016	Visitar	category
EUPATH_0000310	Visit Details	EUPATH_0000328	Visit	AMAZONIA_0000017	visita detalles	category
ICEMR_0000004	Employment Details	EUPATH_0000096	Participant	AMAZONIA_0000018	Detalles de Empleo	category
ICEMR_0101034	Animals on property	ICEMR_0000001	Animal Information	AMAZONIA_0100001	Animales que viven en la casa	variable
ICEMR_0102002	Infections w/ p. viv	OGMS_0000015	Clinical History	AMAZONIA_0100002	MalViv	variable
