IRI,label,Notes,variable,definition,parentIRI,parentLabel,replaces,ISA_Type,ISA_Parent
http://purl.obolibrary.org/obo/OBI_0000995,Administration of material to specimen,Assay,administration of material to specimen,,http://www.w3.org/2002/07/owl#Thing,,,protocol,
http://purl.obolibrary.org/obo/OBI_0000626,DNA sequencing,Assay,DNA Sequencing,,http://www.w3.org/2002/07/owl#Thing,,,protocol,
http://purl.obolibrary.org/obo/OBI_0003077,Entomology,Vector information (can be as sample source as well),,,http://www.w3.org/2002/07/owl#Thing,,EUPATH_0000327,,
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,sample collection location,,,http://www.w3.org/2002/07/owl#Thing,,,,
http://purl.obolibrary.org/obo/GO_0016570,Histone modification,Assay,,,http://www.w3.org/2002/07/owl#Thing,,,,
http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,pathogen information that studied in the experiments,,,http://www.w3.org/2002/07/owl#Thing,,,,
http://purl.obolibrary.org/obo/EUPATH_0000609,Sample,sample information,,,http://www.w3.org/2002/07/owl#Thing,,,,
http://purl.obolibrary.org/obo/OBI_0000659,Sample collection,sample collection process related information,specimen collection,,http://www.w3.org/2002/07/owl#Thing,,,protocol,
http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,host organism + enviromental material where the sample collected from,,,http://www.w3.org/2002/07/owl#Thing,,,,
http://purl.obolibrary.org/obo/CHEBI_23888,Compound,,Compound,,http://purl.obolibrary.org/obo/OBI_0000995,Administration of material to specimen,,protocol parameter,
http://purl.obolibrary.org/obo/CHEBI_2682,Amphotericin B,,AmB,,http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/CHEBI_55346,Anidulafungin,,AND,,http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/CHEBI_474180,Caspofungin,,CSF,,http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/CHEBI_16240,Hydrogen peroxide (H2O2),,H2O2,,http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/CHEBI_15765,L-dopa,,LDOPA Ave+Std Dev | LDOPA,,http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/CHEBI_600520,Micafungin,,MF,,http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/CHEBI_7488,Natamycin,,mic_of_natamycin,,http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/CHEBI_34905,Paraquat,,Paraquat Ave+Std Dev,,http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/OMP_0006055,Resistance to azole,,,,http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/PHIPO_0000675,Resistance to itraconazole,,,,http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/PHIPO_0000625,Resistance to posaconazole,,,,http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/PHIPO_0000590,Resistance to voriconazole,,,,http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/CHEBI_61049,Tacrolimus,,mic_of_fk506,,http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/CHEBI_81781,Tebuconazole,,mic_of_tebuconazole,,http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/CHEBI_9448,Terbinafine,,mic_of_terbinafine,,http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/CHEBI_35727,Triazoles,,Triazole,,http://purl.obolibrary.org/obo/OMP_0000274,Anti-fungal agent resistance,,characteristicQualifier,Sample
http://purl.obolibrary.org/obo/CMO_0000026,Hemoglobin concentration (g/dL),,Hemoglobin concentration (g/dL),,http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/CMO_0001303,Lactate (mmol/L),,Lactate (mmol/L),,http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/CMO_0000031,Lymphocyte count  (x109/L),,Lymphocyte count  (x109/L),,http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/CMO_0000038,Mean cell volume (fL),,Mean cell volume (fL),,http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/CMO_0000032,Monocyte count  (x109/L),,Monocyte count  (x109/L),,http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/CMO_0000030,Neutrophil count  (x109/L),,Neutrophil count  (x109/L),,http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005038,P. falciparum HRP2 (ng/mL),,PfHRP2 (ng/mL),,http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005039,Parasite density by RNA sequencing (/ul),,Parasite density (/ul),,http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/CMO_0000371,Percentage lymphocytes,,Percentage lymphocytes,,http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/CMO_0000374,Percentage monocytes,,Percentage monocytes,,http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/CMO_0000370,Percentage neutrophils,,Percentage neutrophils,,http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005032,Percentage parasitemia,,Percentage parasitemia,,http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/CMO_0000029,Platelet count (x109/L),,Platelet count (x109/L),,http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005037,Presence of sickling hemoglobin,,Sickle cell screen,,http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/CMO_0000025,Red blood cell count (x1012/L),,Red blood cell count (x1012/L),,http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/CMO_0000027,Total White Cell Count (x109/L),,Total White Cell Count (x109/L),,http://purl.obolibrary.org/obo/OBI_0003243,Blood assay datum,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/GENEPIO_0000092,Average mapping coverage,,,,http://purl.obolibrary.org/obo/OBI_0000626,DNA sequencing,EUPATH_0000454,,
http://purl.obolibrary.org/obo/OBI_0003056,Proportion mapped reads,,,,http://purl.obolibrary.org/obo/OBI_0000626,DNA sequencing,EUPATH_0000455,,
http://purl.obolibrary.org/obo/EUPATH_0005009,Cumulative female Anopheles count,,cumMosq,"Cumulative female Anophelene mosquito counts to date of sample sample collection, calculated from monthly CDC light trap counts",http://purl.obolibrary.org/obo/OBI_0003077,Entomology,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/EUPATH_0005008,Nightly female Anophelese count,,nightlyMosq,"Female Anophelene mosquito counts per night, calculated from monthly CDC light trap counts",http://purl.obolibrary.org/obo/OBI_0003077,Entomology,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/ENVO_00000856,"City, village, or region",,city,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/GAZ_00000013,Continent,,continent,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/ENVO_00000009,Country,,country,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,OBI_0001627 | ENVO_00000004,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0001620,Latitude,,latitude coordinate measurement datum,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,characteristicQualifier,Source
http://purl.obolibrary.org/obo/OBI_0001621,Longitude,,longitude coordinate measurement datum,,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,characteristicQualifier,Source
http://www.ebi.ac.uk/efo/EFO_0000264,Antibody,,Antibody,,http://purl.obolibrary.org/obo/GO_0016570,Histone modification,,protocol parameter,
http://purl.obolibrary.org/obo/NCBITAXON_9852,Alces alces,,Moose,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_28680,Anas acuta,,Anas acuta,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_28694,Brachyramphus marmoratus,,Brachyramphus marmoratus,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_8853,Branta canadensis,,Branta canadensis,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_56282,Branta sandvicensis,,Branta sandvicensis,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_371907,Bubo scandiacus,,Bubo scandiacus,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITAXON_57401,Centropus,,COUCAL,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
http://purl.obolibrary.org/obo/NCBITaxon_2709557,Circus hudsonius,,Circus hudsonius,,http://purl.obolibrary.org/obo/OBI_0100026,Host organism,,characteristicValue,characteristicQualifier
