variable	variable2	values	mappedTerm	valueOrder
mordor_mortality_public::phase	mordor_mortality_public::phase	1	Phase 1	1
mordor_mortality_public::phase	mordor_mortality_public::phase	2	Phase 2	2
mordor_mortality_public::phase	mordor_mortality_public::phase	3	Phase 3	3
mordor_mortality_public::phase	mordor_mortality_public::phase	4	Phase 4	4
mordor_mortality_public::phase	mordor_mortality_public::phase	5	Phase 5	5
mordor_mortality_public::phase	mordor_mortality_public::phase	6	Phase 6	6
mordor_mortality_public::phase	mordor_mortality_public::phase	7	Phase 7	7
mordor_mortality_public::phase	mordor_mortality_public::phase	8	Phase 8	8
mordor_mortality_public::phase	mordor_mortality_public::phase	9	Phase 9	9
mordor_mortality_public::phase	mordor_mortality_public::phase	10	Phase 10	10
mordor_mortality_public::district	mordor_mortality_public::district	BOBOYE	BOBOYE	1
mordor_mortality_public::district	mordor_mortality_public::district	BOBOYE-1	BOBOYE-1	2
mordor_mortality_public::district	mordor_mortality_public::district	BOBOYE-2	BOBOYE-2	3
mordor_mortality_public::district	mordor_mortality_public::district	BOBOYE-3	BOBOYE-3	4
mordor_mortality_public::district	mordor_mortality_public::district	BOBOYE-4	BOBOYE-4	5
mordor_mortality_public::district	mordor_mortality_public::district	BOBOYE-5	BOBOYE-5	6
mordor_mortality_public::district	mordor_mortality_public::district	LOGA	LOGA	1
mordor_mortality_public::district	mordor_mortality_public::district	LOGA-1	LOGA-1	2
mordor_mortality_public::district	mordor_mortality_public::district	LOGA-2	LOGA-2	3
mordor_mortality_public::mort	mordor_mortality_public::mort	FALSE	No	1
mordor_mortality_public::mort	mordor_mortality_public::mort	TRUE	Yes	2
mordor_mortality_public::moved	mordor_mortality_public::moved	FALSE	No	1
mordor_mortality_public::moved	mordor_mortality_public::moved	TRUE	Yes	2
mordor_mortality_public::gender	mordor_mortality_public::gender	Female	Female	1
mordor_mortality_public::gender	mordor_mortality_public::gender	Male	Male	2
mordor_mortality_public::death.date	mordor_mortality_public::death.date	NA	::UNDEF::	
mordor_mortality_public::person.time	mordor_mortality_public::person.time	NA	::UNDEF::	
mordor_mortality_public::treatment.group	mordor_mortality_public::treatment.group	azithro	Azithromycin	1
mordor_mortality_public::treatment.group	mordor_mortality_public::treatment.group	placebo	Placebo	2
mordor_mortality_public::timepoint	mordor_mortality_public::timepoint	begin	Beginning	1
mordor_mortality_public::timepoint	mordor_mortality_public::timepoint	end	End	2
mordor_mortality_public::trialstage       mordor_mortality_public::trialstage       stage1   MORDOR I	1 
mordor_mortality_public::trialstage       mordor_mortality_public::trialstage       stage2   MORDOR II	2
mordor_mortality_public::trialstage       mordor_mortality_public::trialstage       stage3   MORDOR III	3
