#version-2
variable	values	mappedTerm	valueOrder
shine_maternal_baseline_data::b06mom_marital_status	1	Married	
shine_maternal_baseline_data::b06mom_marital_status	2	Cohabitating partner	
shine_maternal_baseline_data::b06mom_marital_status	3	Divorced/separated	
shine_maternal_baseline_data::b06mom_marital_status	4	Widowed	
shine_maternal_baseline_data::b06mom_marital_status	5	Never married	
shine_maternal_baseline_data::b08religion_mult_cat	1	Protestant	
shine_maternal_baseline_data::b08religion_mult_cat	2	Apostolic	
shine_maternal_baseline_data::b08religion_mult_cat	3	Catholic	
shine_maternal_baseline_data::b08religion_mult_cat	4	Other Christian	
shine_maternal_baseline_data::b08religion_mult_cat	5	Muslim	
shine_maternal_baseline_data::b08religion_mult_cat	6	Pentecostal	
shine_maternal_baseline_data::b08religion_mult_cat	7	Other religion	
shine_maternal_baseline_data::b08religion_mult_cat	8	No religion	
shine_month12_intervention_uptake_data::cc01	1	Yes	
shine_month12_intervention_uptake_data::cc01	2	No	
shine_month12_intervention_uptake_data::cc11	1	Yes	
shine_month12_intervention_uptake_data::cc11	2	No	
shine_month12_intervention_uptake_data::cc11	99	Don't know	
shine_month12_intervention_uptake_data::cc15	1	Yes	
shine_month12_intervention_uptake_data::cc15	2	No	
shine_month12_intervention_uptake_data::cc15	99	Don't know	
shine_month12_intervention_uptake_data::ch_dd_animal	0	No	
shine_month12_intervention_uptake_data::ch_dd_animal	1	Yes	
shine_month12_intervention_uptake_data::ch_dd_iron	0	No	
shine_month12_intervention_uptake_data::ch_dd_iron	1	Yes	
shine_month12_intervention_uptake_data::ch_dds_vitafv	0	No	
shine_month12_intervention_uptake_data::ch_dds_vitafv	1	Yes	
shine_month12_intervention_uptake_data::ch_mdds	0	Doesn't meet	2
shine_month12_intervention_uptake_data::ch_mdds	1	Meets	1
shine_ecd_data::disability	1	Yes	
shine_ecd_data::disability	2	No	
shine_ecd_data::fci_gc14_1	1	Yes	
shine_ecd_data::fci_gc14_1	2	No	
shine_ecd_data::fci_gc14_1	3	Not assessed	
shine_ecd_data::fci_gc14_2	1	Yes	
shine_ecd_data::fci_gc14_2	2	No	
shine_ecd_data::fci_gc14_2	3	Not assessed	
shine_ecd_data::fci_gc14_3	1	Yes	
shine_ecd_data::fci_gc14_3	2	No	
shine_ecd_data::fci_gc14_3	3	Not assessed	
shine_study_level_factors_data::district	1	Chirumhanzu	
shine_study_level_factors_data::district	2	Shurugwi	
shine_month12_intervention_uptake_data::ec03_04_cat	1	Yes	
shine_month12_intervention_uptake_data::ec03_04_cat	2	No	
shine_baseline_household_data::electricity	1	Yes	
shine_baseline_household_data::electricity	2	No	
shine_baseline_household_data::floor_type	0	Improved floor	
shine_baseline_household_data::floor_type	1	Unimproved floor	
shine_baseline_household_data::floor_type	2	Mixed	
shine_baseline_household_data::roof_type	0	Improved roof	
shine_baseline_household_data::roof_type	1	Unimproved roof	
shine_baseline_household_data::roof_type	2	Mixed	
shine_baseline_household_data::g02_drinking_water_source	1	Piped into dwelling	
shine_baseline_household_data::g02_drinking_water_source	2	Piped into yard or plot	
shine_baseline_household_data::g02_drinking_water_source	3	Piped into public tap or standpipe	
shine_baseline_household_data::g02_drinking_water_source	4	Borehole	
shine_baseline_household_data::g02_drinking_water_source	5	Deep well protected	
shine_baseline_household_data::g02_drinking_water_source	6	Deep well unprotected	
shine_baseline_household_data::g02_drinking_water_source	7	Shallow well protected	
shine_baseline_household_data::g02_drinking_water_source	8	Shallow well unprotected	
shine_baseline_household_data::g02_drinking_water_source	9	Improvised shallow well	
shine_baseline_household_data::g02_drinking_water_source	10	Protected spring	
shine_baseline_household_data::g02_drinking_water_source	11	Unprotected spring	
shine_baseline_household_data::g02_drinking_water_source	12	Surface water (river/dam/stream/lake)	
shine_baseline_household_data::g02_drinking_water_source	13	River bank/bed	
shine_baseline_household_data::g02_drinking_water_source	14	Rainwater harvester	
shine_baseline_household_data::g02_drinking_water_source	15	Water trucking/Bowser	
shine_baseline_household_data::g02_drinking_water_source	16	Bottled	
shine_baseline_household_data::g02_drinking_water_source	17	Other	
shine_baseline_household_data::g39_toilet_type	1	Flush	
shine_baseline_household_data::g39_toilet_type	2	Blair (VIP)	
shine_baseline_household_data::g39_toilet_type	3	Pit with slab (Non VIP)	
shine_baseline_household_data::g39_toilet_type	4	Pit latrine without slab	
shine_baseline_household_data::g39_toilet_type	5	Composting	
shine_month12_intervention_uptake_data::gb27	1	Yes	
shine_month12_intervention_uptake_data::gb27	2	No	
shine_month12_intervention_uptake_data::gb27	88	:::UNDEF:::	
shine_month12_intervention_uptake_data::gb27	99	Don't know	
shine_month12_intervention_uptake_data::gb38	1	Yes	
shine_month12_intervention_uptake_data::gb38	2	No	
shine_month12_intervention_uptake_data::gb38	88	:::UNDEF:::	
shine_month12_intervention_uptake_data::gb38	99	Don't know	
shine_month12_intervention_uptake_data::gb44_3	1	Did not wash/rinse	
shine_month12_intervention_uptake_data::gb44_3	2	Toilet/latrine	
shine_month12_intervention_uptake_data::gb44_3	3	Rubbish pit	
shine_month12_intervention_uptake_data::gb44_3	4	Yard	
shine_month12_intervention_uptake_data::gb44_3	5	Don't remember	
shine_month12_intervention_uptake_data::gb44_3	9	Other	
shine_baseline_household_data::handwash_water	1	Yes	
shine_baseline_household_data::handwash_water	2	No	
shine_baseline_household_data::handwashing_b0	1	Yes	
shine_baseline_household_data::handwashing_b0	2	No	
shine_baseline_household_data::hh_mdds	0	Doesn't meet	2
shine_baseline_household_data::hh_mdds	1	Meets	1
shine_baseline_household_data::hh_mdds	88	:::UNDEF:::	
shine_study_level_factors_data::hub	1	Mvuma	
shine_study_level_factors_data::hub	2	Shurugwi	
shine_study_level_factors_data::hub	3	St Theresa	
shine_study_level_factors_data::hub	4	Tongogara	
shine_baseline_household_data::hwstation_items_b0	1	Yes	
shine_baseline_household_data::hwstation_items_b0	2	No	
shine_baseline_household_data::improve_latrine	1	Yes	
shine_baseline_household_data::improve_latrine	2	No	
shine_baseline_household_data::improved_water	1	Yes	
shine_baseline_household_data::improved_water	2	No	
shine_baseline_household_data::improvedfloorcat	0	Unimproved floor	
