IRI,new IRI,label,category,parentIRI,parentLabel,replaces
http://purl.obolibrary.org/obo/ENVO_00000004,http://purl.obolibrary.org/obo/ENVO_00000009,Country,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,OBI_0001627
http://purl.obolibrary.org/obo/NCIT_C92867,http://purl.obolibrary.org/obo/NCIT_C92904,Abdominal pain/contractions,Participant,http://purl.obolibrary.org/obo/EUPATH_0042003,Obstetric symptoms,
http://purl.obolibrary.org/obo/DRON_00017034,http://purl.obolibrary.org/obo/CHEBI_92511,Ketotifen,Participant,http://purl.obolibrary.org/obo/EUPATH_0025092,Medication,
http://purl.obolibrary.org/obo/EUPATH_0015076,http://purl.obolibrary.org/obo/HP_0000490,Sunken eye,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,
http://purl.obolibrary.org/obo/SYMP_0000064,http://purl.obolibrary.org/obo/HP_0002829,Joint pains,Participant,http://purl.obolibrary.org/obo/EUPATH_0021002,Symptoms,
http://purl.bioontology.org/ontology/SNOMEDCT/83088009,http://purl.obolibrary.org/obo/NCBITaxon_28090,Acinetobacter lwoffi,Human,http://purl.obolibrary.org/obo/EUPATH_0009104,Bacteria detected,
http://purl.obolibrary.org/obo/NCBITaxon_11118,http://purl.obolibrary.org/obo/NCBITaxon_2501931,Coronavirus,Human,http://purl.obolibrary.org/obo/EUPATH_0009090,Virus detected,
http://purl.obolibrary.org/obo/FLU_0001025,http://purl.obolibrary.org/obo/OBI_0002748,Passage history,Household,http://purl.obolibrary.org/obo/EUPATH_0000611,Sample source,
http://purl.obolibrary.org/obo/EUPATH_0000015,http://purl.obolibrary.org/obo/ENVO_01000825,Eaves,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,
http://purl.obolibrary.org/obo/EUPATH_0000340,http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,
http://purl.obolibrary.org/obo/EUPATH_0000345,http://purl.obolibrary.org/obo/OMRSE_00002045,Education level,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,
http://purl.obolibrary.org/obo/EUPATH_0000368,http://purl.obolibrary.org/obo/ENVO_01001260,Garbage disposal,Household,http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,
