entity,label,displayOrder,plabel
http://purl.obolibrary.org/obo/EUPATH_0015288,"Adenovirus serotypes 40/41, by ELISA",1,Adenovirus
http://purl.obolibrary.org/obo/EUPATH_0015289,"Adenovirus, not serotypes 40/41, by ELISA",2,Adenovirus
http://purl.obolibrary.org/obo/EUPATH_0010047,Study center,3,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0000725,Participant ID for matched case,14,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010036,Eligibility criteria,2,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010049,Case ID,13,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010119,Control eligibility check date,10,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010055,Lab form status,11,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010061,60 day follow-up conducted,12,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0015404,"At registration, currently enrolled in GEMS1A as an LSD Case",4,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0015405,"At registration, currently enrolled in GEMS1A as an MSD Case",5,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0015413,Eligible for enrollment in LSD study,7,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0015414,Eligible for enrollment in MSD study,8,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0015426,Eligibility form date,9,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0015432,Index case enrolled as MSD or LSD,9,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0015440,Registration date,6,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0015457,Study arm,1,Administrative information
http://purl.obolibrary.org/obo/EUPATH_0010603,"Aeromonas, by bacteriology",1,Aeromonas
http://purl.obolibrary.org/obo/EUPATH_0015422,Dysentery,,Aggregated illness data
http://purl.obolibrary.org/obo/EUPATH_0015401,"Ancylostoma duodenale, by Real Time PCR",,Ancylostoma duodenale
http://purl.obolibrary.org/obo/EUPATH_0015431,"Hookworm, by Real Time PCR",,Ancylostomatoidea
http://purl.obolibrary.org/obo/EUPATH_0015027,Cat,1,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0015028,Cow,2,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0015026,Dog,3,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0015030,Fowl,4,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0015024,Goat,5,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0015029,Rodents,6,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0015025,Sheep,7,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0015031,Other,8,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0015032,No animals,9,Animals on property
http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),1,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0010078,Mean height (cm),2,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0010079,"Height, median (cm)",3,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0000661,BMI (kg/m**2),4,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0010093,BMI (median ht),5,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0010087,Mean MUAC (cm),6,Anthropometry
http://purl.obolibrary.org/obo/EUPATH_0010088,"MUAC, median (cm)",7,Anthropometry
