colOrder,variable,dataset,keepDiscard,notesForDL,codebookDescription,codebookValues,timeVarying,duplicated,dateTime,flag
1,MSD,gems1a_case_control_study_data,keep,,Did child have moderate-to-severe diarrhea,,,,,
2,dysentery_ind,gems1a_case_control_study_data,keep,,Was dysentery indicated?,,,,,
3,SITE,gems1a_case_control_study_data,keep,,Country,Categorical,,,,
4,CENTER,gems1a_case_control_study_data,keep,,3-Digit Center Number,,,,,
5,CHILDID,gems1a_case_control_study_data,keep,,Child ID,Num,,,,
6,CASEID,gems1a_case_control_study_data,keep,,"Child ID of Case, used to group Cases and matching Control",Num,,,,
7,Type,gems1a_case_control_study_data,keep,,Identify Observation as a Case or Control,Case,,,,
8,Study,gems1a_case_control_study_data,keep,,Enrolled in MSD Study or LSD Study,,,,,
9,LSD,gems1a_case_control_study_data,keep,,Did child have Less Severe Diarrhea?,,,,,
14,agegroup,gems1a_case_control_study_data,keep,,Calculated Age Group from base_age,1,,,,
15,ENROLLDATE,gems1a_case_control_study_data,keep,,"Date of Enrollment (or visit date on form 3, 2, 6)",DATE,,,Yes,
16,LAB_SPECIMEN_ID,gems1a_case_control_study_data,keep,,Lab Specimen ID,Num,,,,
17,LAB_PAIR,gems1a_case_control_study_data,keep,,"Good Case-Control lab pair, enrolled, labeled and all forms",0,,,,
33,Wealth_Index,gems1a_case_control_study_data,keep,,"Household wealth index, numerical",,,,,
34,wiq,gems1a_case_control_study_data,keep,,Categorical Rank for wealth index,,,,,
36,F2_DATE,gems1a_case_control_study_data,keep,,Registration Log Date Completed,DATE,,,Yes,
40,F2_AGE,gems1a_case_control_study_data,keep,,Age,Num,,,,
41,F2_GENDER,gems1a_case_control_study_data,keep,,Gender?,0,,,,
42,F2_HOSP,gems1a_case_control_study_data,keep,,Hospitalized?,0,,,,
43,F2_DSS,gems1a_case_control_study_data,keep,,Qualifies for DSS?,1,,,,
44,F2_LOOSE_STOOLS,gems1a_case_control_study_data,keep,,Three or more abnormally loose or watery stools in the previous 24 hour period,1,,,,
48,F3_DATE,gems1a_case_control_study_data,keep,,Date eligibility form was completed,Date,,,Yes,
50,F3_CHILDBIRTH,gems1a_case_control_study_data,keep,,Child's Birthdate,Date,,,Yes,
51,F3_AGE,gems1a_case_control_study_data,drop,,Age in Months,Num,,,,
52,F3_GENDER,gems1a_case_control_study_data,keep,,,0,,,,
53,F3_CHILD_DSS,gems1a_case_control_study_data,keep,,Does the Child Qualify as a DSS Resident?,1,,,,
54,F3_AGE59,gems1a_case_control_study_data,keep,,Is this child 0-59 months of Age,1,,,,
55,F3_ABN_LOOSE,gems1a_case_control_study_data,keep,,Did this child pass 3 or more abnormally loose stools during the previous 24 hours?,1,,,,
56,F3_DRH_7,gems1a_case_control_study_data,keep,,Did current diarrhea episode begin within the previous 7 days?,1,,,,
57,F3_DRH7DAY,gems1a_case_control_study_data,keep,,"Before this episode began, did the child have at least 7 days without Diarrhea?",1,,,,
58,F3_QUALIFY_GEMS1A,gems1a_case_control_study_data,drop,,"Based on qualifying checklist, does this child qualify for GEMS 1A?",0/1,,,,
62,F3_LSD_CASE,gems1a_case_control_study_data,keep,,Is this child currently enrolled in GEMS1A as an LSD Case?,0/1,,,,
63,F3_MSD_CASE,gems1a_case_control_study_data,keep,,Is this child currently enrolled in GEMS1A as an MSD Case?,0/1,,,,
64,F3_DRH_SUNKEYES,gems1a_case_control_study_data,keep,,"Does the Child have any one of following: Sunken eyes, more than normal",0,,,,
65,F3_DRH_TURGOR,gems1a_case_control_study_data,keep,,Does the Child have any one of following: Loss of skin turgor,0,,,,
66,F3_DRH_IV,gems1a_case_control_study_data,keep,,Does the Child have any one of following: intravenous rehydration administered or prescribed?,0,,,,
67,F3_DRH_DYS,gems1a_case_control_study_data,keep,,Does the Child have any one of the following: dysentery (diarrhea with visible blood in stool observed or reported),0,,,,
68,F3_DRH_HOSP,gems1a_case_control_study_data,keep,,Does the Child have any one of the following: hospitalized with diarrhea or dysentery,0,,,,
69,F3_CHILD_MSD,gems1a_case_control_study_data,keep,,Is the child eligible for enrollment in the MSD study,,,,,
71,F3_CHILD_LSD,gems1a_case_control_study_data,keep,,Is the child eligible for enrollment in the LSD study,,,,,
74,F3_CONSENT,gems1a_case_control_study_data,keep,,Was consent obtained?,1,,,,
75,F3_ANTIBIOTIC,gems1a_case_control_study_data,keep,,Was child given antibiotic before whole stool sample could be collected?,0,,,,
76,F3_STOOL_SMPL,gems1a_case_control_study_data,keep,,"If no to 'was child given ab', was a stool sample collected from the child within 12 hours of registration?",1,,,,
77,F3_RECT_SWAB,gems1a_case_control_study_data,keep,,"if Yes to 'was child given ab', were rectal swabs taken before antibiotics and was a whole stool collected within 12 hours of registration?",1,,,,
78,F3_CHILD_ENROLL,gems1a_case_control_study_data,keep,,Was the child enrolled?,1,,,,
87,F4A_DATE,gems1a_case_control_study_data,keep,,Enrollment (Non-Medical) Date,Date,,,Yes,
89,F4A_PRIMCARE,gems1a_case_control_study_data,keep,,Who is Child's Primary Caretaker?,1,,,,
90,F4A_PRIMCARE_SPEC,gems1a_case_control_study_data,drop,,"Other primary caretaker, specify",Char,,,,
91,F4A_RELATIONSHIP,gems1a_case_control_study_data,keep,,What is your relationship to the Child?,1,,,,
92,F4A_RELATION_SPEC,gems1a_case_control_study_data,drop,,"Other relation, specify",Char,,,,
93,F4A_MOM_LIVE,gems1a_case_control_study_data,keep,,Where does Child's mother live?,1,,,,
94,F4A_DAD_LIVE,gems1a_case_control_study_data,keep,,Where does Child's father live?,1,,,,
95,F4A_PRIM_SCHL,gems1a_case_control_study_data,keep,,How far did the child's primary caretaker go in school?,1,,,,
96,F4A_PPL_HOUSE,gems1a_case_control_study_data,keep,,How many people have been living regularly in your household for the past 6 months?,Num,,,,
97,F4A_PPL_SLEEP,gems1a_case_control_study_data,keep,,How many people have been sleeping regularly in your household for the past 6 months?,Num,,,,
98,F4A_YNG_CHILDREN,gems1a_case_control_study_data,keep,,How many children younger than 60 months live in the household?,Num,,,,
99,F4A_SLP_ROOMS,gems1a_case_control_study_data,keep,,How many rooms in your household are used for sleeping?,Num,,,,
100,F4A_FLOOR,gems1a_case_control_study_data,keep,,What is the predominant floor in the house of Child?,1,,,,
101,F4A_FLOOR_SPEC,gems1a_case_control_study_data,drop,,"What is the predominant floor in the house of Child, Specify",Char,,,,
102,F4A_HOUSE_ELEC,gems1a_case_control_study_data,keep,,Does your household have Electricity?,0,,,,
103,F4A_HOUSE_BIKE,gems1a_case_control_study_data,keep,,Does your household have a bicycle/rickshaw?,0,,,,
104,F4A_HOUSE_PHONE,gems1a_case_control_study_data,keep,,Does your household have a telephone (mobile or non-mobile)?,0,,,,
105,F4A_HOUSE_TELE,gems1a_case_control_study_data,keep,,Does your household have a television?,0,,,,
106,F4A_HOUSE_CAR,gems1a_case_control_study_data,keep,,Does your household have a Car/Truck?,0,,,,
107,F4A_HOUSE_CART,gems1a_case_control_study_data,keep,,Does your household have a Animal-drawn cart?,0,,,,
108,F4A_HOUSE_SCOOT,gems1a_case_control_study_data,keep,,Does your household have a Motorcycle/Scooter?,0,,,,
