"colOrder","variable","uniqueVar","dataFile","IRI","label","definition","category","parentLabel","parentIRI","codebookDescription","codebookValues","termType","notesForOnt"
"1","x...intervalname","x...intervalname|crf1_mali project 1 data","crf1_mali project 1 data","BFO_0000015","Observation type","","Observation","Observation","EUPATH_0000738","","","variable",""
"5","country","country|crf1_mali project 1 data","crf1_mali project 1 data","OBI_0001627","Country","","Household","Geographic location","GAZ_00000448","Country of pt enrollment","1, no, Senegal
2, no, Gambia
3, no, Mali","variable",""
"6","region","region|crf1_mali project 1 data","crf1_mali project 1 data","","Region","","Household","Geographic location","GAZ_00000448","Region of Pt enrollment","1, no, THIES
2, no, GAMBISSARA
3, no, SEGOU
4, no, KOULIKORO","variable",""
"7","hc","hc|crf1_mali project 1 data","crf1_mali project 1 data","EUPATH_0025072","Health center","","Household","Geographic location","GAZ_00000448","Health Center of the point of enrollment","1, no, SLAP de Thiès
2, no, Medina Fall Post1
3, no, Medina Fall Post2
4, no, Gambissara HC
5, no, Cscom Dangassa
6, no, Cscom Kolia Bambana
7, no, Not in a HC
-77, no, Missing","variable",""
"8","dov","dov|crf1_mali project 1 data","crf1_mali project 1 data","EUPATH_0004991","Observation date","","Observation","Observation details","EUPATH_0000310","A4_CRF1","","variable",""
"10","village","village|crf1_mali project 1 data","crf1_mali project 1 data","ENVO_01000773","Village","","Household","Geographic location","GAZ_00000448","Village of Residence (Choose only one answer)","1, no, Medina Fall
2, no, Gambissara town
3, no, Sare Jawbeh
4, no, Fula Mori Boch
5, no, Sare Bondo
6, no, Dangassa
7, no, Koila Bamana
66, no, Other
-77, no, Missing","variable",""
"17","doc","doc|crf1_mali project 1 data","crf1_mali project 1 data","EUPATH_0000151","Enrollment date","","Participant","Participant study details","EUPATH_0000307","Date of signature of the assent/consent form","","variable",""
"21","dob","dob|crf1_mali project 1 data","crf1_mali project 1 data","EFO_0004950","Birth date","","Participant","Demographics","EUPATH_0010981","C1_CRF1","","variable",""
"22","gender","gender|crf1_mali project 1 data","crf1_mali project 1 data","PATO_0000047","Sex","","Participant","Demographics","EUPATH_0010981","C2_CRF1","1, no, Male
2, no, Female
-77, no, Missing","variable",""
"23","age_yr","age_yr|crf1_mali project 1 data","crf1_mali project 1 data","","Age at enrollment (years)","","Participant","Participant study details","EUPATH_0000307","C3A_CRF1","","variable",""
"24","age_month","age_month|crf1_mali project 1 data","crf1_mali project 1 data","","Age at enrollment (months)","","Participant","Participant study details","EUPATH_0000307","C3B_CRF1","","variable",""
