"colOrder","variable","dataFile","IRI","label","definition","category","parentIRI","parentLabel","codebookDescription","codebookValues","termType","notesForOnt","repeated","is_temporal","mergeKey","dataSet","unitLabel","unitIRI","is_featured","hidden","scale","defaultDisplayRangeMin","defaultDisplayRangeMax","defaultBinWidth"
"24","1_participants::age","1_participants","http://purl.obolibrary.org/obo/EUPATH_0000120","Age at enrollment","","Participant","http://purl.obolibrary.org/obo/EUPATH_0010035","Administrative information","C.3 CRF1","","variable","","","","","West Africa ICEMR","","","yes","","","","",""
"19","3_oservations_passive_case_dete::antibiotic","3_oservations_passive_case_dete","","Antibiotics in last 2 weeks","","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","Antibiotic","1, no, Yes
0, no, No
-77, yes, Missing on the form","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"18","3_oservations_passive_case_dete::antimalaria","3_oservations_passive_case_dete","","Antimalarial in last 2 weeks","","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","Antimalaria treatment","1, no, Yes
0, no, No
-77, yes, Missing on the form","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"42","2_observations_cross::asexpf1","2_observations_cross","http://purl.obolibrary.org/obo/EUPATH_0000550","Plasmodium falciparum asexual stages, by microscopy result","","Sample","","","Number of <b>P falciparum</b> asexual parasites: (if no P.falciparum, 0)","-88, -88, Skip
-77, -77, Missing on the form","variable","","","","","West Africa ICEMR","/uL","","","","","","",""
"175","3_oservations_passive_case_dete::asexpf1","3_oservations_passive_case_dete","http://purl.obolibrary.org/obo/EUPATH_0000550","Plasmodium falciparum asexual stages, by microscopy result","","Sample","","","Number of P Falciparum asexual stages","-88, -88, Skip
-77, -77, Missing on the form","variable","","","","","West Africa ICEMR","/uL","","","","","","",""
"12","2_observations_cross::b1","2_observations_cross","http://purl.obolibrary.org/obo/EUPATH_0022053","Present at visit","","Participant","http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details","Is the patient present in the village/quarter?","1, no, Yes
0, no, No
-77, no, Missing in the form","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"13","2_observations_cross::b2","2_observations_cross","http://purl.obolibrary.org/obo/EUPATH_0027015","Fever or malaria in last 6 months","","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","Has the patient had an episode of fever/ malaria in the past 6 months","1, no, Yes
0, no, No
-77, no, Missing in the form","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"14","2_observations_cross::b21","2_observations_cross","http://purl.obolibrary.org/obo/EUPATH_0027016","Fever or malaria in last 6 months count","","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","<b>B.2.1</b> If yes, how many","-99, -99, Does not know
-88, -88, Skip; no episodes
-77, -77, Missing in the form","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"15","2_observations_cross::b22","2_observations_cross","http://purl.obolibrary.org/obo/EUPATH_0027017","Month of fever or malaria in last 6 months","","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","<b>B.2.2</b> If yes, at which month","1, no, Jan
2, no, Feb
3, no, Mar
4, no, Apr
5, no, May
6, no, Jun
7, no, Jul
8, no, Aug
9, no, Sep
10, no, Oct
11, no, Nov
12, no, Dec
-88, no, no episode
-99, no, patient does not know
-77, no, missing in the form","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"16","2_observations_cross::b23","2_observations_cross","http://purl.obolibrary.org/obo/EUPATH_0027018","Fever or malaria in last 6 months diagnostic method","","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","<b>B.2.3</b> If yes, how was the diagnosis made ?","1, no, Blood test
0, no, No blood test
-99, no, Does not know
-88, no, No malaria
-77, no, Missing in the form","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"22","3_oservations_passive_case_dete::body_temperature","3_oservations_passive_case_dete","http://purl.obolibrary.org/obo/EUPATH_0000110","Temperature","","Participant","","","Body Temperature","-77, -77, Missing on the form","variable","","yes","","","West Africa ICEMR","C","","","","","","",""
"21","3_oservations_passive_case_dete::body_weight","3_oservations_passive_case_dete","http://purl.obolibrary.org/obo/IAO_0000414","Weight","","Participant","","","Body weight","-77, -77, Missing on the form","variable","","yes","","","West Africa ICEMR","kg","","","","","","",""
"13","3_oservations_passive_case_dete::chills","3_oservations_passive_case_dete","http://purl.obolibrary.org/obo/EUPATH_0024091","Chills","","Participant","","","Chills","1, no, Yes
0, no, No
-77, yes, Missing on the form","value","","yes","","","West Africa ICEMR","","","","","","","",""
"27","3_oservations_passive_case_dete::coma","3_oservations_passive_case_dete","http://purl.obolibrary.org/obo/HP_0001259","Coma","","Participant","","","Coma","1, no, Yes
0, no, No
-77, yes, Missing on the form","value","","yes","","","West Africa ICEMR","","","","","","","",""
"29","3_oservations_passive_case_dete::convulsion","3_oservations_passive_case_dete","http://purl.obolibrary.org/obo/SYMP_0000596","Convulsions","","Participant","","","Convulsion","1, no, Yes
0, no, No
-77, yes, Missing on the form","value","","yes","","","West Africa ICEMR","","","","","","","",""
"26","3_oservations_passive_case_dete::dias_blood_pressure","3_oservations_passive_case_dete","http://purl.obolibrary.org/obo/EUPATH_0021087","Diastolic blood pressure","","Participant","","","Diastolic Blood pressure","-77, -77, Missing on the form","variable","","yes","","","West Africa ICEMR","mmHg","","","","","","",""
"15","1_participants::dob","1_participants","http://www.ebi.ac.uk/efo/EFO_0004950","Birth date","","Participant","http://purl.obolibrary.org/obo/EUPATH_0010981","Demographics","Date of birth","","variable","","","","","West Africa ICEMR","","","","","","","",""
"6","2_observations_cross::dob","2_observations_cross","http://www.ebi.ac.uk/efo/EFO_0004950","Birth date","","Participant","http://purl.obolibrary.org/obo/EUPATH_0010981","Demographics","Date of birth","","variable","","","","","West Africa ICEMR","","","","","","","",""
"6","3_oservations_passive_case_dete::dob","3_oservations_passive_case_dete","http://www.ebi.ac.uk/efo/EFO_0004950","Birth date","","Participant","http://purl.obolibrary.org/obo/EUPATH_0010981","Demographics","Date of birth","","variable","","","","","West Africa ICEMR","","","","","","","",""
"7","1_participants::dov","1_participants","http://purl.obolibrary.org/obo/EUPATH_0004991","Observation date","","Participant","http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details","Date of visit","","variable","","yes","yes","","West Africa ICEMR","","","yes","","","","",""
"11","2_observations_cross::dov","2_observations_cross","http://purl.obolibrary.org/obo/EUPATH_0004991","Observation date","","Participant","http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details","Date of visit","","variable","","yes","yes","","West Africa ICEMR","","","","","","","",""
"10","3_oservations_passive_case_dete::dov","3_oservations_passive_case_dete","http://purl.obolibrary.org/obo/EUPATH_0004991","Observation date","","Participant","http://purl.obolibrary.org/obo/EUPATH_0000310","Observation details","Date of visit","","variable","","yes","yes","","West Africa ICEMR","","","","","","","",""
"44","1_participants::edta","1_participants","http://purl.obolibrary.org/obo/EUPATH_0032048","EDTA-treated sample","","Sample","http://purl.obolibrary.org/obo/OBI_0000655","Blood sample","Sample collected onto EDTA tube","1, no, Yes
0, no, No
-77, no, Missing","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"30","2_observations_cross::edta","2_observations_cross","http://purl.obolibrary.org/obo/EUPATH_0032048","EDTA-treated sample","","Sample","http://purl.obolibrary.org/obo/OBI_0000655","Blood sample","Sample collected onto EDTA tube","1, no, Yes
0, no, No
-77, no, Missing","variable","","","","","West Africa ICEMR","","","","","","","",""
"41","3_oservations_passive_case_dete::edta","3_oservations_passive_case_dete","http://purl.obolibrary.org/obo/EUPATH_0032048","EDTA-treated sample","","Sample","http://purl.obolibrary.org/obo/OBI_0000655","Blood sample","Sample collected onto EDTA tube","1, no, Yes
0, no, No
-77, no, Missing","variable","","","","","West Africa ICEMR","","","","","","","",""
"20","1_participants::ethnicity","1_participants","http://purl.obolibrary.org/obo/OMRSE_00000205","Ethnicity","","Participant","","","Ethnic Group","1, no, Wolof
2, no, S<U+00E9>r<U+00E8>re
3, no, Peulh/Fula
4, no, Bambara
5, no, Sarakhol<U+00E9>/Serehule
6, no, Soc<U+00E9>/Mandinka/Malinke
7, no, Diola/Jola
8, no, Maure
9, no, Bozo/somono
10, no, Dogon
66, no, Other
-99, no, Unknown
-77, no, Missing","variable","","","","","West Africa ICEMR","","","","","","","",""
"9","2_observations_cross::ethnicity","2_observations_cross","http://purl.obolibrary.org/obo/OMRSE_00000205","Ethnicity","","Participant","","","Ethnic Group","1, no, Wolof
2, no, S<U+00E9>r<U+00E8>re
3, no, Peulh/Fula
4, no, Bambara
5, no, Sarakhol<U+00E9>/Serehule
6, no, Soc<U+00E9>/Mandinka/Malinke
7, no, Diola/Jola
8, no, Maure
9, no, Bozo/somono
10, no, Dogon
66, no, Other
-99, no, Unknown
-77, no, Missing","variable","","","","","West Africa ICEMR","","","","","","","",""
"9","3_oservations_passive_case_dete::ethnicity","3_oservations_passive_case_dete","http://purl.obolibrary.org/obo/OMRSE_00000205","Ethnicity","","Participant","","","Ethnic Group","1, no, Wolof
2, no, S<U+00E9>r<U+00E8>re
3, no, Peulh/Fula
4, no, Bambara
5, no, Sarakhol<U+00E9>/Serehule
6, no, Soc<U+00E9>/Mandinka/Malinke
7, no, Diola/Jola
8, no, Maure
9, no, Bozo/somono
10, no, Dogon
66, no, Other
-99, no, Unknown
-77, no, Missing","variable","","","","","West Africa ICEMR","","","","","","","",""
"12","3_oservations_passive_case_dete::fever","3_oservations_passive_case_dete","http://purl.obolibrary.org/obo/EUPATH_0024089","Fever","","Participant","","","Fever","1, no, Yes
0, no, No
-77, yes, Missing on the form","value","","yes","","","West Africa ICEMR","","","","","","","",""
"34","1_participants::fever24","1_participants","http://purl.obolibrary.org/obo/EUPATH_0000100","Subjective fever","","Participant","http://purl.obolibrary.org/obo/EUPATH_0021002","Symptoms","Fever in the previous 24 h?","1, no, Yes
0, no, No
-99, no, Unknown
-77, no, Missing","value","","yes","","","West Africa ICEMR","","","","","","","",""
"20","2_observations_cross::fever24","2_observations_cross","http://purl.obolibrary.org/obo/EUPATH_0000100","Subjective fever","","Participant","http://purl.obolibrary.org/obo/EUPATH_0021002","Symptoms","Fever in the previous 24 h?","1, no, Yes
0, no, No
-99, no, Unknown
-77, no, Missing","value","","yes","","","West Africa ICEMR","","","","","","","",""
"42","1_participants::filter","1_participants","http://purl.obolibrary.org/obo/EUPATH_0000127","Filter paper sample","","Sample","http://purl.obolibrary.org/obo/OBI_0000655","Blood sample","Sample collected on filter paper in a 14mm circle","1, no, Yes
0, no, No
-77, no, Missing","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"28","2_observations_cross::filter","2_observations_cross","http://purl.obolibrary.org/obo/EUPATH_0000127","Filter paper sample","","Sample","http://purl.obolibrary.org/obo/OBI_0000655","Blood sample","Sample collected on filter paper in a 14mm circle","1, no, Yes
0, no, No
-77, no, Missing","variable","","","","","West Africa ICEMR","","","","","","","",""
"39","3_oservations_passive_case_dete::filter","3_oservations_passive_case_dete","http://purl.obolibrary.org/obo/EUPATH_0000127","Filter paper sample","","Sample","http://purl.obolibrary.org/obo/OBI_0000655","Blood sample","Sample collected on filter paper in a 14mm circle","1, no, Yes
0, no, No
-77, no, Missing","variable","","","","","West Africa ICEMR","","","","","","","",""
"53","3_oservations_passive_case_dete::g11_duration","3_oservations_passive_case_dete","","Penicillin derivatives in last 2 weeks treatment duration","Duration of taking penicillin derivatives, including amoxicillin, penicillin, ampicillin, and gentamicin, in the last two weeks","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","Duration of treatment","-99, -99, Don't know
-77, -77, Missing","variable","","yes","","","West Africa ICEMR","days","","","","","","",""
"54","3_oservations_passive_case_dete::g12_date_last_used","3_oservations_passive_case_dete","","Penicillin derivatives in last 2 weeks last date used","Last date of taking penicillin derivatives, including amoxicillin, penicillin, ampicillin, and gentamicin, in the last two weeks","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","Date last used","","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"56","3_oservations_passive_case_dete::g13_doses_day","3_oservations_passive_case_dete","","Penicillin derivatives in last 2 weeks doses per day","Number of penicillin derivatives, including amoxicillin, penicillin, ampicillin, and gentamicin, doses per day in the last two weeks","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","# Doses/Day","-99, -99, Don't know
-88, -88, Not applicable
-77, -77, Missing","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"57","3_oservations_passive_case_dete::g21_duration","3_oservations_passive_case_dete","","Co-trimoxazole in last 2 weeks treatment duration","","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","Duration of treatment","-99, -99, Don't know
-77, -77, Missing","variable","","yes","","","West Africa ICEMR","days","","","","","","",""
"58","3_oservations_passive_case_dete::g22_date_last_used","3_oservations_passive_case_dete","","Co-trimoxazole in last 2 weeks last date used","","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","Date last used","","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"60","3_oservations_passive_case_dete::g23_doses_day","3_oservations_passive_case_dete","","Co-trimoxazole in last 2 weeks doses per day","","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","# Doses/Day","-99, -99, Don't know
-88, -88, Not applicable
-77, -77, Missing","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"61","3_oservations_passive_case_dete::g31_duration","3_oservations_passive_case_dete","","Tetracycline in last 2 weeks treatment duration","","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","Duration of treatment","-99, -99, Don't know
-77, -77, Missing","variable","","yes","","","West Africa ICEMR","days","","","","","","",""
"62","3_oservations_passive_case_dete::g32_date_last_used","3_oservations_passive_case_dete","","Tetracycline in last 2 weeks last date used","","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","Date last used","","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"64","3_oservations_passive_case_dete::g33_doses_day","3_oservations_passive_case_dete","","Tetracycline in last 2 weeks doses per day","","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","# Doses/Day","-99, -99, Don't know
-88, -88, Not applicable
-77, -77, Missing","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"65","3_oservations_passive_case_dete::g41_duration","3_oservations_passive_case_dete","","Other antibiotics in last 2 weeks treatment duration","","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","Duration of treatment","-99, -99, Don't know
-77, -77, Missing","variable","","yes","","","West Africa ICEMR","days","","","","","","",""
"66","3_oservations_passive_case_dete::g42_date_last_used","3_oservations_passive_case_dete","","Other antibiotics in last 2 weeks last date used","","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","Date last used","","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"68","3_oservations_passive_case_dete::g43_doses_day","3_oservations_passive_case_dete","","Other antibiotics in last 2 weeks doses per day","","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","# Doses/Day","-99, -99, Don't know
-88, -88, Not applicable
-77, -77, Missing","variable","","yes","","","West Africa ICEMR","","","","","","","",""
"69","3_oservations_passive_case_dete::g44_other_antibiotic","3_oservations_passive_case_dete","","Other antibiotics in last 2 weeks specified","","Participant","http://purl.obolibrary.org/obo/OGMS_0000015","Clinical history","If other in G.4, specify:","","variable","","yes","","","West Africa ICEMR","","","","","","","",""
